MutantNo,[FAIL | TIME | EXC | LIVE]
2,FAIL
3,FAIL
4,LIVE
5,FAIL
14,FAIL
15,FAIL
16,LIVE
17,LIVE
18,LIVE
19,LIVE
20,LIVE
21,LIVE
22,LIVE
23,LIVE
24,FAIL
38,FAIL
39,FAIL
40,LIVE
41,FAIL
42,FAIL
43,FAIL
44,FAIL
115,LIVE
116,LIVE
117,LIVE
118,LIVE
121,FAIL
131,FAIL
169,FAIL
170,LIVE
173,LIVE
174,FAIL
175,FAIL
176,LIVE
181,LIVE
182,FAIL
192,LIVE
193,FAIL
196,FAIL
200,FAIL
391,FAIL
392,LIVE
393,LIVE
394,LIVE
395,LIVE
396,LIVE
397,LIVE
398,LIVE
399,LIVE
406,FAIL
407,FAIL
408,LIVE
409,FAIL
410,FAIL
411,FAIL
412,LIVE
413,LIVE
414,LIVE
415,LIVE
416,FAIL
417,FAIL
418,FAIL
419,FAIL
420,FAIL
421,FAIL
423,FAIL
424,LIVE
425,LIVE
426,LIVE
427,LIVE
428,FAIL
429,FAIL
430,FAIL
431,LIVE
433,FAIL
434,FAIL
