TestNo,MutantNo
1,630
1,631
1,634
1,635
1,637
1,1022
1,1024
2,234
2,236
2,628
2,631
2,635
2,667
2,669
2,1021
2,1022
2,1024
2,1025
2,1027
2,1164
2,1169
2,1177
2,1188
3,235
3,237
3,628
3,631
3,632
3,635
3,636
3,637
3,641
3,643
3,659
3,661
3,669
3,670
3,673
3,674
3,682
3,1021
3,1022
3,1024
3,1025
3,1027
3,1164
3,1168
3,1169
3,1177
3,1183
3,1188
4,628
4,629
4,631
4,1022
4,1024
4,1164
4,1168
4,1169
4,1177
5,631
5,634
5,635
5,662
5,663
5,665
5,1021
5,1022
5,1024
5,1025
5,1027
5,1164
5,1169
5,1177
5,1188
6,628
6,631
6,635
6,637
6,1022
6,1024
7,235
7,237
7,628
7,631
7,632
7,635
7,636
7,637
7,641
7,643
7,659
7,661
7,669
7,670
7,673
7,674
7,682
7,1021
7,1022
7,1024
7,1025
7,1027
7,1143
7,1151
7,1152
7,1153
7,1156
7,1157
7,1161
7,1164
7,1168
7,1169
7,1172
7,1173
7,1175
7,1176
7,1179
7,1181
7,1187
7,1188
7,1190
7,1191
7,1192
8,950
8,952
8,962
8,1037
