CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
1650,1,1,7,54,54,7,4,3,0,283,54
4634,2,2,12,97,97,19,13,10,0,271,151
7732,3,4,14,107,107,33,31,20,0,257,258
10540,4,5,1,111,111,34,32,28,0,256,369
12905,5,8,3,106,106,37,42,33,0,253,475
13936,6,11,0,54,54,37,44,37,0,253,529
17497,7,11,17,109,109,54,68,56,0,236,638
27118,8,54,4,165,165,58,68,60,0,232,803
27119,9,58,0,0,0,58,68,60,0,232,803
27119,10,76,0,0,0,58,68,60,0,232,803
