TestNo,MutantNo
1,5
1,6
1,7
2,5
2,6
2,7
3,5
3,6
3,7
3,14
3,15
3,50
4,5
4,6
4,7
4,16
4,17
4,18
4,19
4,50
5,94
5,95
5,96
5,97
5,98
5,99
5,100
5,101
5,102
5,103
5,104
5,105
5,106
5,107
5,108
5,109
5,110
5,111
5,112
5,113
5,114
5,115
5,116
5,117
5,118
5,119
5,120
5,121
5,122
5,123
5,124
5,125
5,126
5,127
5,133
5,134
5,135
5,136
6,5
6,6
6,7
7,5
7,6
7,7
7,37
7,38
8,5
8,6
8,7
8,10
8,11
8,12
8,50
9,5
9,6
9,7
9,34
9,35
9,36
10,5
10,6
10,7
10,13
11,5
11,6
11,7
11,16
11,17
11,18
11,19
11,22
11,50
12,5
12,6
12,7
12,39
12,40
13,5
13,6
13,7
13,31
13,32
13,33
14,5
14,6
14,7
15,5
15,6
15,7
16,5
16,6
16,7
16,41
16,42
17,5
17,6
17,7
17,43
17,44
17,45
17,50
18,5
18,6
18,7
19,5
19,6
19,7
20,5
20,6
20,7
20,37
20,38
21,5
21,6
21,7
21,34
21,35
21,36
22,5
22,6
22,7
22,13
23,5
23,6
23,7
23,39
23,40
24,5
24,6
24,7
24,31
24,32
24,33
25,5
25,6
25,7
26,5
26,6
26,7
26,8
26,9
27,5
27,6
27,7
28,5
28,6
28,7
28,46
28,47
28,50
29,5
29,6
29,7
30,5
30,6
30,7
30,30
31,5
31,6
31,7
32,5
32,6
32,7
32,41
32,42
33,5
33,6
33,7
34,5
34,6
34,7
34,43
34,44
34,45
34,50
35,5
35,6
35,7
36,5
36,6
36,7
37,94
37,95
37,96
37,97
37,98
37,99
37,100
37,101
37,102
37,103
37,104
37,117
37,119
37,120
37,121
37,122
37,123
37,124
37,125
37,126
37,127
37,133
37,134
37,135
37,136
37,167
37,168
38,214
38,215
38,216
38,217
38,218
38,219
39,214
39,215
39,216
39,217
39,218
39,219
40,151
40,152
40,153
40,154
40,155
40,156
40,214
40,215
40,216
40,217
40,218
40,219
40,309
40,310
40,311
41,214
41,215
41,216
41,217
41,218
41,219
42,5
42,6
42,7
42,30
43,5
43,6
43,7
44,5
44,6
44,7
44,10
44,11
44,12
44,50
45,5
45,6
45,7
45,16
45,17
45,18
45,19
45,22
45,23
45,24
45,25
45,26
45,27
45,50
46,5
46,6
46,7
47,5
47,6
47,7
47,14
47,15
47,50
48,5
48,6
48,7
48,16
48,17
48,18
48,19
48,20
48,21
48,50
49,214
49,215
49,216
49,217
49,218
49,219
57,214
57,215
57,216
57,217
57,218
57,219
58,214
58,215
58,216
58,217
58,218
58,219
59,214
59,215
59,216
59,217
59,218
59,219
60,214
60,215
60,216
60,217
60,218
60,219
61,214
61,215
61,216
61,217
61,218
61,219
62,214
62,215
62,216
62,217
62,218
62,219
63,214
63,215
63,216
63,217
63,218
63,219
64,214
64,215
64,216
64,217
64,218
64,219
65,151
65,152
65,153
65,154
65,155
65,156
65,214
65,215
65,216
65,217
65,218
65,219
65,223
65,224
65,225
65,226
67,159
69,214
69,215
69,216
69,217
69,218
69,219
69,239
69,240
69,241
69,242
69,243
69,244
69,245
69,246
69,247
69,248
70,214
70,215
70,216
70,217
70,218
70,219
70,235
70,236
70,249
70,250
70,251
70,252
70,253
70,254
70,260
70,261
70,262
70,263
70,264
70,265
70,266
71,214
71,215
71,216
71,217
71,218
71,219
71,235
71,236
71,249
71,250
71,251
71,252
71,253
71,254
71,260
71,261
71,262
71,263
71,264
71,265
71,266
72,214
72,215
72,216
72,217
72,218
72,219
73,151
73,152
73,153
73,154
73,155
73,156
73,214
73,215
73,216
73,217
73,218
73,219
73,312
73,314
73,315
73,316
73,317
74,214
74,215
74,216
74,217
74,218
74,219
74,312
74,313
75,151
75,152
75,153
75,154
75,155
75,156
75,214
75,215
75,216
75,217
75,218
75,219
75,313
75,314
75,315
75,316
75,317
76,151
76,152
76,153
76,154
76,155
76,156
76,214
76,215
76,216
76,217
76,218
76,219
76,221
76,223
76,224
76,225
76,226
77,214
77,215
77,216
77,217
77,218
77,219
78,214
78,215
78,216
78,217
78,218
78,219
78,221
78,222
79,214
79,215
79,216
79,217
79,218
79,219
79,221
79,222
80,151
80,152
80,153
80,154
80,155
80,156
80,214
80,215
80,216
80,217
80,218
80,219
80,267
80,268
80,269
80,270
80,276
80,277
80,278
80,279
81,214
81,215
81,216
81,217
81,218
81,219
82,151
82,152
82,153
82,154
82,155
82,156
82,214
82,215
82,216
82,217
82,218
82,219
82,314
82,315
82,316
82,317
83,5
83,6
83,7
83,48
83,49
84,160
85,151
85,152
85,153
85,154
85,155
85,156
85,214
85,215
85,216
85,217
85,218
85,219
85,235
85,237
85,249
85,250
85,251
85,252
85,253
85,254
85,260
85,261
85,262
85,263
85,264
85,265
85,267
85,268
85,269
85,270
85,271
85,272
85,273
85,274
85,275
85,276
85,277
85,278
85,279
85,280
85,281
85,282
85,283
85,284
85,285
86,123
86,124
86,125
86,126
86,127
86,128
86,129
86,130
86,131
86,132
86,133
86,134
86,135
86,136
86,167
86,168
87,5
87,68
87,69
87,70
88,139
88,140
89,214
89,215
89,216
89,217
89,218
89,219
90,78
90,79
90,80
90,81
90,82
90,88
90,89
90,90
90,91
90,92
90,167
90,168
91,214
91,215
91,216
91,217
91,218
91,219
91,220
92,151
92,152
92,153
92,154
92,155
92,156
92,214
92,215
92,216
92,217
92,218
92,219
92,231
92,232
92,233
92,234
93,151
93,152
93,153
93,154
93,155
93,156
93,214
93,215
93,216
93,217
93,218
93,219
93,235
93,236
93,237
93,238
93,249
93,250
93,251
93,252
93,253
93,254
93,260
93,261
93,262
93,263
93,264
93,266
93,267
93,268
93,269
93,270
93,271
93,272
93,273
93,274
93,275
93,276
93,277
93,278
93,279
93,280
93,281
93,282
93,286
93,287
93,288
93,289
93,290
93,291
93,292
94,151
94,152
94,153
94,154
94,155
94,156
94,214
94,215
94,216
94,217
94,218
94,219
94,302
94,303
94,304
94,305
95,151
95,152
95,153
95,154
95,155
95,156
95,214
95,215
95,216
95,217
95,218
95,219
95,222
95,223
95,224
95,225
95,226
96,214
96,215
96,216
96,217
96,218
96,219
96,312
96,313
97,151
97,152
97,153
97,154
97,155
97,156
97,214
97,215
97,216
97,217
97,218
97,219
97,227
97,228
97,229
98,214
98,215
98,216
98,217
98,218
98,219
99,151
99,152
99,153
99,154
99,155
99,156
99,214
99,215
99,216
99,217
99,218
99,219
99,306
99,307
99,308
100,5
100,6
100,7
101,94
101,95
101,96
101,97
101,98
101,99
101,100
101,101
101,102
101,103
101,104
101,105
101,106
101,107
101,108
101,109
101,110
101,111
101,112
101,113
101,114
101,115
101,116
101,117
101,118
101,119
101,120
101,121
101,122
101,123
101,124
101,125
101,126
101,127
101,128
101,129
101,130
101,131
101,132
101,133
101,134
101,135
101,136
103,5
103,6
103,7
