CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
660,1,1,0,3,3,0,0,0,0,201,3
1202,2,1,0,3,3,0,0,0,0,201,6
2347,3,1,1,6,6,1,1,0,0,200,12
4040,4,1,2,8,8,3,3,0,0,198,20
10369,5,1,20,38,38,23,5,18,0,178,58
10859,6,2,0,3,3,23,5,18,0,178,61
11658,7,2,1,5,5,24,6,18,0,177,66
12819,8,2,1,7,7,25,7,18,0,176,73
14457,9,2,1,6,6,26,8,18,0,175,79
15249,10,2,0,4,4,26,8,18,0,175,83
16733,11,2,0,9,9,26,9,18,0,175,92
17508,12,2,1,5,5,27,10,18,0,174,97
18593,13,2,1,6,6,28,11,18,0,173,103
19088,14,2,0,3,3,28,11,18,0,173,106
19645,15,2,0,3,3,28,11,18,0,173,109
20540,16,2,1,5,5,29,12,18,0,172,114
21802,17,2,1,7,7,30,13,18,0,171,121
22373,18,2,0,3,3,30,13,18,0,171,124
23277,19,2,0,3,3,30,13,18,0,171,127
24342,20,2,1,5,5,31,15,18,0,170,132
25333,21,2,2,6,6,33,18,18,0,168,138
26107,22,2,1,4,4,34,19,18,0,167,142
27471,23,2,1,5,5,35,21,18,0,166,147
28699,24,2,2,6,6,37,24,18,0,164,153
29215,25,2,0,3,3,37,24,18,0,164,156
30131,26,2,1,5,5,38,25,18,0,163,161
30642,27,2,0,3,3,38,25,18,0,163,164
31750,28,2,3,6,6,41,28,18,0,160,170
32282,29,2,0,3,3,41,28,18,0,160,173
33110,30,2,1,4,4,42,28,19,0,159,177
33801,31,2,0,3,3,42,28,19,0,159,180
34937,32,2,1,5,5,43,30,19,0,158,185
35642,33,2,1,3,3,44,31,19,0,157,188
36973,34,2,2,7,7,46,34,20,0,155,195
37586,35,2,0,3,3,46,34,20,0,155,198
38111,36,2,0,3,3,46,34,20,0,155,201
42714,37,2,2,27,27,48,36,20,0,153,228
43254,38,2,6,6,6,54,36,26,0,147,234
43726,39,2,0,6,6,54,36,32,0,147,240
45406,40,2,5,15,15,59,37,41,1,142,255
45898,41,2,0,6,6,59,37,47,1,142,261
46620,42,3,0,4,4,59,38,47,1,142,265
47152,43,3,0,3,3,59,38,47,1,142,268
48480,44,3,2,7,7,61,41,48,1,140,275
51083,45,3,4,14,14,65,44,51,1,136,289
51667,46,3,0,3,3,65,44,51,1,136,292
52930,47,3,1,6,6,66,46,52,1,135,298
55191,48,3,3,10,10,69,51,54,1,132,308
55849,49,3,0,6,6,69,51,60,1,132,314
55850,50,3,0,0,0,69,51,60,1,132,314
55850,51,3,0,0,0,69,51,60,1,132,314
55850,52,3,0,0,0,69,51,60,1,132,314
55850,53,3,0,0,0,69,51,60,1,132,314
55850,54,3,0,0,0,69,51,60,1,132,314
55851,55,3,0,0,0,69,51,60,1,132,314
55851,56,3,0,0,0,69,51,60,1,132,314
56358,57,3,0,6,6,69,51,66,1,132,320
56841,58,3,0,6,6,69,51,72,1,132,326
57368,59,3,0,6,6,69,51,78,1,132,332
57883,60,3,0,6,6,69,51,84,1,132,338
58420,61,3,0,6,6,69,51,90,1,132,344
58923,62,3,0,6,6,69,51,96,1,132,350
59439,63,3,0,6,6,69,51,102,1,132,356
60529,64,3,0,6,6,69,51,108,1,132,362
62010,65,4,2,16,16,71,53,115,1,130,378
62010,66,4,0,0,0,71,53,115,1,130,378
62255,67,4,1,1,1,72,54,115,1,129,379
62255,68,4,0,0,0,72,54,115,1,129,379
63827,69,4,4,16,16,76,58,121,1,125,395
65732,70,4,7,21,21,83,60,132,1,118,416
67855,71,4,1,21,21,84,63,143,1,117,437
68406,72,4,0,6,6,84,63,149,1,117,443
70086,73,4,2,17,17,86,64,157,1,115,460
70804,74,4,0,8,8,86,64,163,1,115,468
72415,75,4,2,17,17,88,65,171,1,113,485
74120,76,5,2,17,17,90,66,179,1,111,502
75267,77,5,0,6,6,90,66,184,2,111,508
76006,78,5,0,8,8,90,66,190,2,111,516
76805,79,5,0,8,8,90,66,196,2,111,524
78842,80,5,6,20,20,96,69,206,2,105,544
79398,81,5,0,6,6,96,69,212,2,105,550
81128,82,5,2,16,16,98,71,219,2,103,566
82178,83,6,2,5,5,100,73,219,2,101,571
82442,84,6,1,1,1,101,74,219,2,100,572
87336,85,7,10,45,45,111,81,235,2,90,617
90771,86,11,0,16,16,111,82,235,2,90,633
90877,87,21,1,4,4,112,83,235,2,89,637
91070,88,69,0,2,2,112,83,235,2,89,639
91688,89,75,0,6,6,112,83,241,2,89,645
95650,90,76,1,12,12,113,85,241,2,88,657
96359,91,76,0,7,7,113,85,244,2,88,664
98088,92,78,4,16,16,117,86,254,2,84,680
104126,93,81,8,51,51,125,97,270,2,76,731
105917,94,84,4,16,16,129,98,280,2,72,747
107881,95,103,2,17,17,131,99,288,2,70,764
108783,96,106,0,8,8,131,99,294,2,70,772
110510,97,113,3,15,15,134,100,303,2,67,787
111740,98,116,0,6,6,134,100,308,3,67,793
113527,99,234,3,15,15,137,101,317,3,64,808
114250,100,240,0,3,3,137,101,317,3,64,811
124090,101,241,5,43,43,142,104,335,3,59,854
124091,102,303,0,0,0,142,104,335,3,59,854
124857,103,311,0,3,3,142,104,335,3,59,857
