TestNo,TestName
1,org.la4j.decomposition.CholeskyDecompositorTest[testDecompose_2x2]
2,org.la4j.decomposition.EigenDecompositorTest[testDecompose_2x2_symmetric_2]
3,org.la4j.decomposition.EigenDecompositorTest[testDecompose_3x3_symmetric_2]
4,org.la4j.decomposition.EigenDecompositorTest[testDecompose_2x2_nonSymmetric_2]
5,org.la4j.decomposition.SingularValueDecompositorTest[testDecompose_3x1]
6,org.la4j.factory.Basic1DFactoryTest[testCreateConstantMatrix_2x5]
7,org.la4j.factory.Basic1DFactoryTest[testCreateConstantMatrix_3x3]
8,org.la4j.factory.Basic1DFactoryTest[testCreateConstantMatrix_4x1]
9,org.la4j.factory.Basic1DFactoryTest[testCreateMatrixFromArray]
10,org.la4j.factory.Basic2DFactoryTest[testCreateConstantMatrix_2x5]
11,org.la4j.factory.Basic2DFactoryTest[testCreateConstantMatrix_3x3]
12,org.la4j.factory.Basic2DFactoryTest[testCreateIdentityMatrix]
13,org.la4j.factory.Basic2DFactoryTest[testCreateMatrixFromArray]
14,org.la4j.factory.Basic2DFactoryTest[testVector]
15,org.la4j.factory.CCSFactoryTest[testCreateConstantMatrix_2x5]
16,org.la4j.factory.CCSFactoryTest[testCreateConstantMatrix_3x3]
17,org.la4j.factory.CCSFactoryTest[testCreateConstantMatrix_4x1]
18,org.la4j.factory.CCSFactoryTest[testCreateMatrixFromArray]
19,org.la4j.factory.CCSFactoryTest[testVector]
20,org.la4j.factory.CRSFactoryTest[testCreateConstantMatrix_3x3]
21,org.la4j.factory.CRSFactoryTest[testCreateConstantMatrix_4x1]
22,org.la4j.factory.CRSFactoryTest[testCreateIdentityMatrix]
23,org.la4j.factory.CRSFactoryTest[testVector]
24,org.la4j.linear.ForwardBackSubstitutionSolverTest[testSolve_1x1]
25,org.la4j.linear.ForwardBackSubstitutionSolverTest[testSolve_2x2]
26,org.la4j.linear.JacobiSolverTest[testSolve_1x1]
27,org.la4j.linear.JacobiSolverTest[testSolve_3x3]
28,org.la4j.linear.LeastSquaresSolverTest[testSolve_3x2]
29,org.la4j.linear.LeastSquaresSolverTest[testSolve_4x1]
30,org.la4j.linear.SeidelSolverTest[testSolve_1x1]
31,org.la4j.linear.SeidelSolverTest[testSolve_3x3]
32,org.la4j.linear.SquareRootSolverTest[testSolve_1x1]
33,org.la4j.linear.SquareRootSolverTest[testSolve_3x3]
34,org.la4j.matrix.dense.Basic1DMatrixTest[testBlank_3x3]
35,org.la4j.matrix.dense.Basic1DMatrixTest[testTestWhetherMatricesContainSameElements]
36,org.la4j.matrix.dense.Basic1DMatrixTest[testDiagonalProduct_3x3]
