MutantNo,[FAIL | TIME | EXC | LIVE]
110,FAIL
111,FAIL
113,FAIL
117,LIVE
118,LIVE
119,LIVE
120,LIVE
121,LIVE
122,FAIL
123,LIVE
124,LIVE
125,LIVE
126,LIVE
127,FAIL
128,LIVE
129,LIVE
130,LIVE
131,LIVE
132,FAIL
133,LIVE
135,LIVE
136,FAIL
137,LIVE
138,LIVE
139,LIVE
140,FAIL
142,FAIL
144,LIVE
146,LIVE
147,FAIL
148,LIVE
151,LIVE
152,LIVE
153,LIVE
154,LIVE
155,LIVE
156,LIVE
157,LIVE
160,LIVE
161,LIVE
162,LIVE
163,LIVE
172,FAIL
173,FAIL
174,LIVE
175,FAIL
176,FAIL
177,FAIL
178,FAIL
179,FAIL
180,FAIL
181,FAIL
182,FAIL
183,FAIL
184,FAIL
185,FAIL
186,FAIL
187,LIVE
188,FAIL
189,LIVE
190,LIVE
191,LIVE
192,FAIL
193,LIVE
194,LIVE
195,FAIL
196,FAIL
197,FAIL
198,FAIL
199,LIVE
200,FAIL
267,LIVE
268,FAIL
269,FAIL
270,FAIL
271,LIVE
272,LIVE
273,LIVE
274,LIVE
275,LIVE
276,FAIL
277,LIVE
278,LIVE
279,LIVE
280,FAIL
281,FAIL
282,FAIL
283,FAIL
284,FAIL
285,FAIL
286,LIVE
287,LIVE
288,FAIL
289,FAIL
290,FAIL
291,LIVE
292,FAIL
293,FAIL
294,FAIL
295,LIVE
296,LIVE
297,LIVE
298,LIVE
299,LIVE
300,FAIL
301,FAIL
302,LIVE
303,FAIL
304,LIVE
305,FAIL
306,FAIL
307,LIVE
308,FAIL
309,FAIL
310,LIVE
311,LIVE
312,LIVE
313,LIVE
314,LIVE
315,LIVE
316,LIVE
317,FAIL
318,LIVE
319,LIVE
320,LIVE
321,LIVE
322,FAIL
323,LIVE
324,LIVE
325,LIVE
326,FAIL
327,LIVE
328,LIVE
329,LIVE
330,LIVE
331,LIVE
332,LIVE
333,LIVE
334,LIVE
335,LIVE
336,LIVE
337,FAIL
338,LIVE
339,LIVE
340,LIVE
341,LIVE
342,LIVE
343,FAIL
344,LIVE
345,LIVE
346,LIVE
347,LIVE
348,LIVE
349,LIVE
350,LIVE
351,LIVE
352,FAIL
353,LIVE
354,LIVE
355,FAIL
356,LIVE
357,LIVE
358,LIVE
359,LIVE
360,LIVE
361,LIVE
362,LIVE
363,LIVE
364,LIVE
365,LIVE
366,LIVE
367,LIVE
368,FAIL
369,FAIL
370,LIVE
371,LIVE
372,LIVE
373,LIVE
374,LIVE
375,LIVE
376,LIVE
377,LIVE
378,LIVE
379,LIVE
380,LIVE
381,FAIL
382,FAIL
383,LIVE
384,FAIL
385,FAIL
386,LIVE
387,LIVE
388,FAIL
389,FAIL
390,FAIL
391,FAIL
392,LIVE
393,LIVE
394,LIVE
395,LIVE
396,LIVE
397,LIVE
398,LIVE
399,LIVE
400,LIVE
401,LIVE
402,LIVE
403,LIVE
404,LIVE
405,LIVE
406,FAIL
407,LIVE
408,LIVE
409,FAIL
410,LIVE
411,LIVE
412,LIVE
413,LIVE
414,LIVE
415,LIVE
416,LIVE
417,LIVE
418,LIVE
419,LIVE
420,LIVE
421,LIVE
422,LIVE
423,LIVE
424,LIVE
425,LIVE
426,LIVE
427,LIVE
428,LIVE
429,FAIL
430,LIVE
431,LIVE
432,LIVE
433,LIVE
434,LIVE
435,LIVE
436,LIVE
437,LIVE
438,LIVE
439,LIVE
440,LIVE
441,LIVE
442,LIVE
443,LIVE
444,LIVE
445,LIVE
446,FAIL
447,LIVE
448,LIVE
449,LIVE
450,LIVE
451,LIVE
452,FAIL
453,LIVE
454,LIVE
455,FAIL
456,FAIL
457,FAIL
458,LIVE
459,LIVE
460,LIVE
461,FAIL
462,LIVE
463,LIVE
464,LIVE
465,LIVE
466,FAIL
467,LIVE
468,LIVE
469,LIVE
470,LIVE
471,LIVE
472,LIVE
473,LIVE
474,LIVE
475,LIVE
476,LIVE
477,LIVE
478,LIVE
479,FAIL
480,LIVE
481,LIVE
482,FAIL
483,FAIL
484,FAIL
485,FAIL
486,FAIL
487,FAIL
488,FAIL
489,FAIL
490,FAIL
491,FAIL
492,FAIL
493,FAIL
494,FAIL
495,FAIL
496,FAIL
497,FAIL
498,FAIL
499,LIVE
500,FAIL
501,FAIL
502,FAIL
503,FAIL
504,FAIL
505,FAIL
506,FAIL
507,FAIL
508,FAIL
509,FAIL
510,FAIL
511,FAIL
512,FAIL
513,FAIL
514,FAIL
515,FAIL
516,FAIL
517,FAIL
518,LIVE
519,LIVE
520,FAIL
521,FAIL
522,FAIL
523,FAIL
524,FAIL
531,LIVE
532,LIVE
533,LIVE
534,LIVE
535,LIVE
536,LIVE
537,LIVE
538,LIVE
539,LIVE
540,LIVE
541,LIVE
542,LIVE
543,LIVE
544,LIVE
545,LIVE
546,LIVE
548,LIVE
549,LIVE
550,LIVE
551,FAIL
552,LIVE
553,FAIL
554,FAIL
555,LIVE
556,LIVE
557,LIVE
558,LIVE
559,LIVE
560,FAIL
561,LIVE
562,LIVE
563,LIVE
564,FAIL
565,FAIL
566,LIVE
567,LIVE
568,LIVE
569,LIVE
570,LIVE
571,LIVE
572,LIVE
573,FAIL
574,LIVE
575,FAIL
576,FAIL
577,LIVE
578,LIVE
589,LIVE
590,LIVE
591,LIVE
592,LIVE
598,LIVE
599,LIVE
600,FAIL
601,LIVE
602,FAIL
603,FAIL
604,FAIL
606,LIVE
607,LIVE
608,LIVE
609,LIVE
610,FAIL
611,FAIL
612,FAIL
613,LIVE
614,FAIL
615,FAIL
616,LIVE
617,FAIL
618,LIVE
619,FAIL
620,FAIL
621,FAIL
622,FAIL
623,FAIL
624,LIVE
625,LIVE
626,LIVE
627,LIVE
628,FAIL
629,FAIL
630,FAIL
631,FAIL
632,FAIL
633,FAIL
634,FAIL
635,FAIL
636,FAIL
637,FAIL
638,LIVE
639,FAIL
640,FAIL
641,FAIL
642,FAIL
643,FAIL
644,FAIL
645,FAIL
646,FAIL
647,FAIL
648,FAIL
649,FAIL
650,FAIL
651,FAIL
652,FAIL
653,FAIL
654,FAIL
655,LIVE
656,LIVE
657,LIVE
658,LIVE
659,FAIL
660,FAIL
662,FAIL
663,FAIL
664,FAIL
665,FAIL
666,FAIL
667,FAIL
668,FAIL
669,FAIL
670,FAIL
671,FAIL
672,FAIL
673,FAIL
674,FAIL
675,FAIL
676,FAIL
677,FAIL
678,FAIL
679,FAIL
680,FAIL
681,FAIL
682,FAIL
683,LIVE
684,LIVE
685,FAIL
686,FAIL
687,FAIL
688,FAIL
689,FAIL
690,FAIL
691,FAIL
692,FAIL
693,FAIL
694,FAIL
702,FAIL
703,LIVE
704,LIVE
705,FAIL
706,FAIL
707,FAIL
708,FAIL
709,FAIL
710,FAIL
711,FAIL
712,LIVE
713,FAIL
714,FAIL
715,LIVE
716,LIVE
717,FAIL
718,FAIL
719,FAIL
720,FAIL
721,FAIL
722,FAIL
723,FAIL
724,FAIL
725,FAIL
726,FAIL
727,FAIL
728,FAIL
749,FAIL
750,FAIL
751,FAIL
752,FAIL
753,FAIL
754,FAIL
755,FAIL
756,LIVE
757,FAIL
758,FAIL
759,LIVE
760,FAIL
767,FAIL
768,FAIL
769,FAIL
770,FAIL
771,FAIL
772,LIVE
773,LIVE
774,LIVE
775,FAIL
776,FAIL
777,LIVE
778,LIVE
779,LIVE
780,LIVE
781,LIVE
782,FAIL
783,LIVE
784,LIVE
787,FAIL
821,FAIL
822,LIVE
823,LIVE
827,FAIL
828,FAIL
831,FAIL
866,FAIL
867,FAIL
868,FAIL
869,FAIL
870,FAIL
871,FAIL
872,FAIL
873,FAIL
874,FAIL
875,FAIL
876,FAIL
877,FAIL
878,FAIL
879,LIVE
880,FAIL
881,LIVE
882,FAIL
883,FAIL
884,FAIL
885,FAIL
886,FAIL
887,FAIL
888,FAIL
889,FAIL
890,FAIL
891,FAIL
892,FAIL
893,FAIL
894,LIVE
895,FAIL
896,FAIL
897,FAIL
898,FAIL
899,FAIL
900,FAIL
901,FAIL
902,LIVE
903,FAIL
904,FAIL
905,FAIL
906,FAIL
907,FAIL
908,FAIL
909,FAIL
910,FAIL
911,FAIL
912,LIVE
913,LIVE
934,FAIL
940,FAIL
941,FAIL
942,FAIL
944,FAIL
945,FAIL
946,LIVE
947,LIVE
948,LIVE
949,LIVE
950,FAIL
951,FAIL
952,LIVE
953,LIVE
954,FAIL
955,LIVE
956,FAIL
957,FAIL
958,FAIL
959,LIVE
960,LIVE
961,LIVE
962,LIVE
963,LIVE
964,LIVE
965,LIVE
966,LIVE
967,LIVE
969,LIVE
971,FAIL
1043,FAIL
1044,FAIL
1045,FAIL
1046,FAIL
1047,FAIL
1048,LIVE
1049,FAIL
1050,FAIL
1051,FAIL
1052,FAIL
1053,FAIL
1054,FAIL
1055,FAIL
1056,FAIL
1057,FAIL
1058,FAIL
1137,FAIL
1138,FAIL
1139,FAIL
1140,FAIL
1141,FAIL
1142,FAIL
1143,FAIL
1144,FAIL
1145,FAIL
1147,FAIL
1148,FAIL
1149,FAIL
1150,LIVE
1151,FAIL
1152,LIVE
1153,LIVE
1204,FAIL
1234,LIVE
1235,FAIL
1236,FAIL
1237,FAIL
1242,FAIL
1243,FAIL
1244,FAIL
1245,FAIL
1266,LIVE
1267,FAIL
1268,FAIL
1298,FAIL
1299,FAIL
1300,FAIL
1301,FAIL
1302,FAIL
1303,LIVE
1304,LIVE
1305,LIVE
1306,FAIL
1307,LIVE
1308,LIVE
1309,LIVE
1310,FAIL
1311,FAIL
1313,FAIL
1314,FAIL
1315,FAIL
1317,FAIL
1318,LIVE
1319,LIVE
1320,LIVE
1321,LIVE
1322,LIVE
1323,LIVE
1324,LIVE
1325,LIVE
1326,FAIL
1327,LIVE
1328,LIVE
1329,LIVE
1330,LIVE
1331,LIVE
1332,LIVE
1333,LIVE
1334,LIVE
1335,LIVE
1336,LIVE
1337,LIVE
1338,LIVE
1339,LIVE
1340,LIVE
1341,LIVE
1342,LIVE
1343,LIVE
1344,FAIL
1345,LIVE
1346,LIVE
1347,FAIL
1348,LIVE
1349,LIVE
1350,FAIL
1354,FAIL
1355,FAIL
1356,FAIL
1357,FAIL
1358,FAIL
1359,FAIL
1360,FAIL
1361,LIVE
1363,LIVE
1364,LIVE
1365,LIVE
1366,LIVE
1367,LIVE
1368,LIVE
1369,FAIL
1375,LIVE
1376,LIVE
1377,LIVE
1378,FAIL
1379,LIVE
1380,LIVE
1381,LIVE
1382,LIVE
1383,LIVE
1384,LIVE
1385,LIVE
1386,LIVE
1387,LIVE
1388,LIVE
1389,LIVE
1390,LIVE
1391,LIVE
1392,LIVE
1393,LIVE
1394,LIVE
1395,LIVE
1396,LIVE
1397,LIVE
1398,LIVE
1399,LIVE
1400,LIVE
1401,LIVE
1402,LIVE
1403,LIVE
1404,LIVE
