CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
170,1,1,4,11,11,4,2,2,0,2469,11
46669,2,1,165,733,733,169,97,67,7,2304,744
104273,3,1,36,790,790,205,200,132,15,2268,1534
162415,4,1,6,771,771,211,301,199,23,2262,2305
196947,5,1,6,566,566,217,362,261,27,2256,2871
256223,6,1,7,771,771,224,468,328,36,2249,3642
267196,7,1,4,427,427,228,488,368,36,2245,4069
275747,8,1,26,351,351,254,512,386,36,2219,4420
286172,9,1,37,389,389,291,557,422,36,2182,4809
303075,10,1,47,498,498,338,633,484,37,2135,5307
319473,11,1,23,470,470,361,699,546,39,2112,5777
333774,12,1,22,442,442,383,759,589,39,2090,6219
346436,13,1,0,466,466,383,819,650,40,2090,6685
353993,14,1,21,311,311,404,820,685,40,2069,6996
368948,15,1,4,457,457,408,884,740,40,2065,7453
409561,16,1,92,866,866,500,994,832,42,1973,8319
434192,17,1,8,552,552,508,1049,886,42,1965,8871
476165,18,1,0,866,866,508,1155,978,44,1965,9737
511176,19,1,21,778,778,529,1233,1051,45,1944,10515
541348,20,1,5,616,616,534,1294,1106,46,1939,11131
577119,21,1,8,857,857,542,1388,1195,47,1931,11988
604777,22,1,2,586,586,544,1445,1250,48,1929,12574
605752,23,1,11,29,29,555,1448,1260,48,1918,12603
606675,24,1,5,29,29,560,1450,1270,48,1913,12632
607929,25,1,17,41,41,577,1459,1285,48,1896,12673
607929,26,1,0,0,0,577,1459,1285,48,1896,12673
608968,27,1,0,29,29,577,1462,1295,48,1896,12702
609924,28,1,5,29,29,582,1464,1305,48,1891,12731
610055,29,1,6,7,7,588,1470,1305,48,1885,12738
610055,30,1,0,0,0,588,1470,1305,48,1885,12738
610583,31,1,1,18,18,589,1473,1310,48,1884,12756
610862,32,1,2,12,12,591,1478,1313,48,1882,12768
611761,33,1,4,29,29,595,1484,1320,48,1878,12797
611913,34,1,1,6,6,596,1488,1321,48,1877,12803
613836,35,1,19,57,57,615,1499,1345,48,1858,12860
613936,36,1,4,5,5,619,1501,1347,48,1854,12865
615125,37,1,5,25,25,624,1504,1350,49,1849,12890
616144,38,1,0,32,32,624,1510,1360,49,1849,12922
617455,39,1,0,41,41,624,1519,1375,49,1849,12963
618180,40,1,5,28,28,629,1526,1382,49,1844,12991
618890,41,1,0,28,28,629,1533,1389,49,1844,13019
620284,42,1,0,41,41,629,1542,1404,49,1844,13060
622273,43,1,6,58,58,635,1556,1422,49,1838,13118
623277,44,1,2,28,28,637,1567,1428,50,1836,13146
623277,45,1,0,0,0,637,1567,1428,50,1836,13146
623789,46,1,0,17,17,637,1570,1431,50,1836,13163
625473,47,1,9,41,41,646,1581,1442,50,1827,13204
625473,48,1,0,0,0,646,1581,1442,50,1827,13204
626155,49,1,0,19,19,646,1583,1447,50,1827,13223
626490,50,1,1,10,10,647,1586,1450,50,1826,13233
626895,51,1,4,15,15,651,1593,1453,50,1822,13248
628177,52,1,0,35,35,651,1602,1462,50,1822,13283
628648,53,1,3,18,18,654,1607,1464,50,1819,13301
629454,54,1,5,23,23,659,1618,1468,50,1814,13324
630285,55,1,0,23,23,659,1629,1472,50,1814,13347
631233,56,1,0,25,25,659,1632,1475,51,1814,13372
632097,57,1,0,24,24,659,1635,1481,51,1814,13396
632388,58,1,0,10,10,659,1638,1484,51,1814,13406
653675,59,1,5,476,476,664,1682,1530,51,1809,13882
677016,60,1,6,465,465,670,1727,1571,52,1803,14347
695236,61,1,1,501,501,671,1767,1616,52,1802,14848
716339,62,1,0,515,515,671,1818,1660,52,1802,15363
739715,63,1,2,486,486,673,1863,1717,53,1800,15849
758241,64,1,3,503,503,676,1910,1777,53,1797,16352
777035,65,1,2,451,451,678,1953,1818,53,1795,16803
799945,66,1,1,501,501,679,2009,1867,53,1794,17304
822073,67,1,21,581,581,700,2076,1936,54,1773,17885
843296,68,1,2,503,503,702,2123,1996,54,1771,18388
865260,69,1,1,476,476,703,2167,2042,54,1770,18864
888922,70,1,4,609,609,707,2234,2110,55,1766,19473
911511,71,1,0,500,500,707,2279,2170,55,1766,19973
942471,72,1,17,619,619,724,2362,2246,56,1749,20592
966171,73,1,0,576,576,724,2416,2306,56,1749,21168
986627,74,1,0,442,442,724,2454,2347,56,1749,21610
1013514,75,1,2,516,516,726,2504,2411,57,1747,22126
1035032,76,1,1,477,477,727,2551,2465,57,1746,22603
1059187,77,1,2,477,477,729,2598,2518,58,1744,23080
1082032,78,1,2,467,467,731,2640,2559,59,1742,23547
1103967,79,1,0,500,500,731,2685,2619,59,1742,24047
1128198,80,1,0,499,499,731,2738,2668,59,1742,24546
1154397,81,1,6,485,485,737,2789,2716,61,1736,25031
1175010,82,1,5,485,485,742,2836,2757,61,1731,25516
1199891,83,1,32,511,511,774,2872,2797,62,1699,26027
1222433,84,1,0,450,450,774,2914,2838,62,1699,26477
1243575,85,1,1,485,485,775,2960,2879,63,1698,26962
1264952,86,1,1,447,447,776,2999,2920,63,1697,27409
1294574,87,1,5,569,569,781,3047,2979,63,1692,27978
1320356,88,1,3,569,569,784,3095,3038,64,1689,28547
1343616,89,1,2,478,478,786,3141,3081,64,1687,29025
1368756,90,1,6,501,501,792,3200,3126,64,1681,29526
1394842,91,1,2,594,594,794,3269,3199,65,1679,30120
1417278,92,1,0,458,458,794,3314,3240,65,1679,30578
1443031,93,1,0,478,478,794,3361,3282,66,1679,31056
1464905,94,1,1,505,505,795,3418,3332,67,1678,31561
1492984,95,1,4,569,569,799,3479,3394,67,1674,32130
1516815,96,1,1,444,444,800,3519,3435,67,1673,32574
1537386,97,1,1,484,484,801,3563,3491,68,1672,33058
1567875,98,1,23,612,612,824,3650,3566,68,1649,33670
1602999,99,1,46,651,651,870,3769,3658,72,1603,34321
1630915,100,1,4,634,634,874,3877,3741,75,1599,34955
1653572,101,1,0,444,444,874,3917,3782,75,1599,35399
1676681,102,1,1,484,484,875,3961,3839,76,1598,35883
1704790,103,1,2,634,634,877,4068,3923,79,1596,36517
1728563,104,1,0,465,465,877,4112,3964,79,1596,36982
1754021,105,1,2,542,542,879,4158,4008,81,1594,37524
1804040,106,1,11,809,809,890,4283,4092,83,1583,38333
1825932,107,1,1,451,451,891,4325,4133,84,1582,38784
1845400,108,1,0,477,477,891,4374,4177,84,1582,39261
1871834,109,1,0,507,507,891,4434,4227,84,1582,39768
1899499,110,1,0,579,579,891,4501,4287,86,1582,40347
1919344,111,1,0,477,477,891,4548,4341,86,1582,40824
1945450,112,1,0,477,477,891,4595,4395,86,1582,41301
1974068,113,1,0,516,516,891,4646,4459,87,1582,41817
1998435,114,1,2,570,570,893,4693,4518,87,1580,42387
2019673,115,1,1,457,457,894,4734,4560,87,1579,42844
