TestNo,MutantNo
1,59
1,60
1,61
1,62
1,63
1,64
1,66
1,67
1,68
1,79
1,80
1,82
1,86
1,87
1,88
1,89
1,94
1,95
1,96
1,97
1,98
1,99
1,118
1,119
1,122
1,141
1,142
1,155
1,156
1,157
1,160
1,161
1,162
1,163
1,164
1,165
1,168
1,172
1,175
1,181
1,184
1,248
1,249
1,250
1,251
1,254
1,255
1,287
1,293
1,295
1,296
1,298
1,299
1,302
1,311
1,312
1,314
1,315
1,316
1,317
1,318
1,319
1,322
1,323
1,324
1,326
1,327
1,331
1,332
1,333
1,334
1,335
1,336
1,337
1,338
1,339
1,340
1,352
1,353
1,354
1,355
1,356
1,361
1,363
1,544
1,546
1,550
1,609
1,613
1,618
1,623
1,624
1,633
1,638
1,639
1,824
1,826
1,830
1,1663
1,1694
1,1695
1,1696
1,1697
1,1699
1,1702
1,1706
1,1707
1,1708
1,1709
1,1710
1,1711
1,1712
1,1713
1,1714
1,1715
1,1717
1,1718
1,1722
1,1723
1,1726
1,1731
1,1732
1,1738
1,1744
1,1748
1,1751
1,1754
1,1755
1,1756
1,1757
1,1759
1,1760
1,1761
1,1762
1,1782
1,1790
1,1800
1,1801
1,1830
1,1837
1,1838
1,1841
1,1846
1,1851
1,1852
1,1854
1,1856
1,1859
1,1860
1,1861
1,1862
1,1863
1,1864
1,1865
1,1866
1,1868
1,1869
1,1870
1,1871
1,1872
2,1
2,8
2,9
2,12
2,13
2,15
2,44
2,45
2,46
2,47
2,48
2,49
2,50
2,51
2,52
2,59
2,60
2,61
2,62
2,63
2,64
2,66
2,67
2,68
2,79
2,80
2,82
2,86
2,87
2,88
2,89
2,94
2,95
2,96
2,97
2,98
2,99
2,118
2,119
2,122
2,141
2,142
2,155
2,156
2,157
2,160
2,161
2,162
2,163
2,164
2,165
2,168
2,172
2,175
2,181
2,184
2,245
2,287
2,293
2,295
2,296
2,298
2,299
2,302
2,311
2,312
2,314
2,315
2,316
2,317
2,318
2,319
2,322
2,323
2,324
2,326
2,327
2,331
2,332
2,333
2,334
2,335
2,336
2,337
2,338
2,339
2,340
2,348
2,352
2,353
2,354
2,355
2,356
2,361
2,362
2,363
2,365
2,366
2,368
2,369
2,370
2,371
2,376
2,377
2,378
2,379
2,380
2,533
2,534
2,535
2,536
2,537
2,538
2,539
2,540
2,541
2,544
2,546
2,550
2,609
2,613
2,618
2,619
2,623
2,624
2,633
2,638
2,639
2,645
2,646
2,648
2,649
2,650
2,651
2,656
2,657
2,658
2,659
2,660
2,813
2,814
2,815
2,816
2,817
2,818
2,819
2,820
2,821
2,824
2,826
2,830
2,889
2,890
2,891
2,892
2,893
2,894
2,899
2,901
2,905
2,906
2,907
2,908
2,909
2,910
2,911
2,913
2,916
2,920
2,921
2,922
2,923
2,924
2,925
2,926
2,927
2,928
2,929
2,931
2,932
2,936
2,937
2,940
2,945
2,946
2,952
2,953
2,954
2,955
2,956
2,961
2,963
2,966
2,967
2,969
2,970
2,971
2,972
2,974
2,975
2,976
2,977
2,980
2,982
2,983
2,985
2,986
2,987
2,989
2,990
2,991
2,992
2,995
2,996
2,999
2,1005
2,1006
2,1009
2,1084
2,1085
2,1087
2,1088
2,1089
2,1090
2,1091
2,1093
2,1094
2,1095
2,1096
2,1097
2,1098
2,1099
2,1100
2,1104
2,1108
2,1109
2,1110
2,1111
2,1112
2,1113
2,1114
2,1152
2,1153
2,1154
2,1155
2,1157
2,1158
2,1159
2,1191
2,1194
2,1195
2,1197
2,1199
2,1200
2,1201
2,1203
2,1205
2,1206
3,1
3,8
3,9
3,11
3,12
3,13
3,15
3,17
3,20
3,21
3,22
3,23
3,24
3,25
3,26
3,27
3,28
3,29
3,30
3,36
3,37
3,38
3,39
3,42
3,43
3,44
3,45
3,46
3,47
3,48
3,49
3,50
3,51
3,52
3,59
3,60
3,63
3,64
3,66
3,67
3,68
3,79
3,80
3,82
