TestNo,MutantNo
1,21
1,87
1,88
1,89
1,90
1,91
1,92
1,93
1,94
1,95
1,96
1,97
1,98
1,99
1,100
1,101
1,102
1,103
1,104
1,105
1,106
1,107
1,108
1,109
1,110
1,111
1,118
1,119
1,120
2,31
2,61
2,63
2,65
2,66
2,67
2,68
2,69
2,71
2,73
2,75
2,76
2,77
2,78
3,21
3,22
3,23
3,24
3,25
3,26
3,27
3,28
3,29
3,30
3,31
3,35
3,36
3,37
3,38
3,39
3,40
3,41
3,42
3,43
3,44
3,45
3,46
3,47
4,21
4,26
4,27
4,28
4,29
4,30
4,31
4,32
4,33
4,34
4,38
4,39
4,40
4,41
4,42
4,43
4,54
4,55
5,21
5,23
5,24
5,25
5,31
5,35
5,38
5,39
5,40
5,41
5,42
5,44
5,46
6,1
6,2
6,3
6,4
6,5
6,6
6,7
6,8
6,9
6,10
6,11
6,12
6,13
7,21
7,31
7,32
7,33
7,34
7,50
7,51
7,52
7,53
7,54
7,55
7,56
7,57
8,21
8,22
8,23
8,24
8,25
8,31
8,32
8,33
8,34
8,35
8,36
8,37
8,58
8,59
8,60
8,61
8,63
8,65
8,66
8,67
8,68
8,69
8,71
8,73
8,75
8,76
8,77
8,78
8,79
8,87
8,88
8,89
8,90
8,91
9,21
9,31
9,32
9,33
9,34
9,54
9,55
10,89
10,90
11,1
11,2
11,3
11,4
11,5
11,6
11,7
11,8
11,9
11,10
11,11
11,12
11,13
12,21
12,22
12,23
12,24
12,25
12,26
12,27
12,28
12,29
12,30
12,31
12,32
12,33
12,34
12,35
12,36
12,37
12,38
12,39
12,40
12,41
12,42
12,43
12,44
12,45
12,46
12,47
12,48
12,49
12,54
12,55
12,61
12,62
12,63
12,64
12,65
12,66
12,67
12,68
12,69
12,70
12,71
12,72
12,73
12,74
12,75
12,81
13,21
13,87
13,88
13,89
13,90
13,91
13,92
13,93
13,94
13,95
13,96
13,97
13,98
13,99
13,100
13,101
13,102
13,103
13,104
13,105
13,106
13,107
13,108
13,109
13,110
13,111
13,118
13,119
13,120
14,21
14,22
14,23
14,24
14,25
14,31
14,32
14,33
14,34
14,35
14,36
14,37
14,46
14,47
14,48
14,49
14,54
14,55
14,58
14,59
14,60
14,61
14,62
14,63
14,64
14,65
14,66
14,67
14,68
14,69
14,70
14,71
14,73
14,74
14,75
14,76
14,77
14,78
14,79
14,80
14,81
14,86
14,87
14,88
14,89
14,90
14,91
14,92
14,93
14,94
14,95
14,96
14,97
14,98
14,99
14,100
14,101
14,102
14,103
14,104
14,105
14,106
14,107
14,108
14,109
14,110
14,111
14,112
14,113
14,114
14,115
14,116
14,117
14,118
14,119
14,120
