MutantNo,[FAIL | TIME | EXC | LIVE]
1,LIVE
2,FAIL
3,LIVE
4,FAIL
5,FAIL
6,FAIL
7,FAIL
8,LIVE
9,LIVE
10,LIVE
11,FAIL
12,LIVE
13,FAIL
21,LIVE
22,FAIL
23,LIVE
24,FAIL
25,FAIL
26,FAIL
27,FAIL
28,FAIL
29,LIVE
30,FAIL
31,FAIL
32,FAIL
33,FAIL
34,FAIL
35,FAIL
36,FAIL
37,FAIL
38,LIVE
39,FAIL
40,FAIL
41,FAIL
42,FAIL
43,FAIL
44,FAIL
45,FAIL
46,FAIL
47,FAIL
48,LIVE
49,LIVE
50,LIVE
51,FAIL
52,LIVE
53,FAIL
54,LIVE
55,FAIL
56,LIVE
57,FAIL
58,LIVE
59,FAIL
60,LIVE
61,LIVE
62,FAIL
63,FAIL
64,FAIL
65,FAIL
66,FAIL
67,FAIL
68,LIVE
69,FAIL
70,FAIL
71,FAIL
72,FAIL
73,FAIL
74,FAIL
75,FAIL
76,FAIL
77,FAIL
78,FAIL
79,FAIL
80,FAIL
81,FAIL
86,LIVE
87,LIVE
88,FAIL
89,FAIL
90,FAIL
91,LIVE
92,FAIL
93,FAIL
94,FAIL
95,FAIL
96,FAIL
97,FAIL
98,FAIL
99,FAIL
100,FAIL
101,FAIL
102,FAIL
103,FAIL
104,FAIL
105,FAIL
106,FAIL
107,FAIL
108,FAIL
109,FAIL
110,FAIL
111,LIVE
112,FAIL
113,FAIL
114,FAIL
115,FAIL
116,FAIL
117,FAIL
118,FAIL
119,FAIL
120,FAIL
