CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
888,1,1,23,29,29,23,21,2,0,86,29
1041,2,1,4,14,14,27,24,3,0,82,43
1256,3,1,5,24,24,32,29,3,0,77,67
1747,4,1,6,18,18,38,29,9,0,71,85
1935,5,1,7,13,13,45,36,9,0,64,98
2214,6,2,7,13,13,52,41,11,0,57,111
2307,7,2,6,13,13,58,47,11,0,51,124
3092,8,4,3,34,34,61,52,16,0,48,158
3278,9,5,0,7,7,61,52,18,0,48,165
3303,10,14,1,2,2,62,53,18,0,47,167
3659,11,22,0,13,13,62,58,20,0,47,180
4748,12,22,9,47,47,71,65,28,0,38,227
5415,13,23,1,29,29,72,87,30,0,37,256
7322,14,34,13,76,76,85,126,43,0,24,332
