TestNo,TestName
1,com.squareup.mimecraft.MultipartWriterTest[singlePart]
2,com.squareup.mimecraft.PartTest[noBodyThrowsException]
3,com.squareup.mimecraft.PartTest[settingHeaderTwiceThrowsException]
4,com.squareup.mimecraft.PartTest[bodyBytesOverridesLength]
5,com.squareup.mimecraft.PartTest[blankHeadersThrowsException]
6,com.squareup.mimecraft.FormWriterTest[encodedPairs]
7,com.squareup.mimecraft.PartTest[settingBodyTwiceThrowsException]
8,com.squareup.mimecraft.PartTest[multipartBodySetsType]
9,com.squareup.mimecraft.PartTest[bodyBytesSetsContentLength]
10,com.squareup.mimecraft.MultipartWriterTest[onePartRequired]
11,com.squareup.mimecraft.FormWriterTest[urlEncoding]
12,com.squareup.mimecraft.PartTest[completePart]
13,com.squareup.mimecraft.MultipartWriterTest[threeParts]
14,com.squareup.mimecraft.ComplexExamplesTest[fieldAndTwoFiles]
