TestNo,MutantNo
1,11
1,12
1,13
2,11
2,12
2,13
3,65
3,68
3,69
3,73
3,74
4,62
4,63
4,65
5,62
5,63
5,65
6,13
6,16
6,17
6,21
6,22
7,1
7,2
7,3
7,4
7,5
7,6
7,7
7,8
7,9
7,10
7,11
7,12
7,13
7,23
7,24
7,25
7,26
7,28
7,29
7,30
7,31
7,32
7,33
7,34
7,38
7,39
7,40
7,41
7,42
7,43
7,46
7,47
7,48
7,49
8,96
8,97
8,98
8,99
8,100
8,101
8,102
8,103
8,104
8,105
8,106
8,107
8,108
8,109
8,110
9,1
9,2
9,3
9,4
9,5
9,6
9,7
9,8
9,9
9,10
9,11
9,12
9,13
9,23
9,24
9,25
9,26
9,28
9,31
9,32
9,34
9,38
9,39
9,40
9,41
9,42
9,43
9,46
9,47
9,48
9,49
10,1
10,2
10,3
10,4
10,5
10,6
10,7
10,8
10,9
10,10
10,12
10,13
10,23
10,24
10,25
10,26
10,28
10,31
10,32
10,34
10,38
10,39
10,40
10,41
10,42
10,43
10,46
10,47
10,48
10,49
11,23
11,24
11,25
11,26
11,28
11,31
11,32
11,34
11,35
11,36
11,37
11,38
11,39
11,40
11,41
11,42
11,43
11,44
11,46
11,47
11,48
11,49
11,51
11,52
11,53
11,54
11,55
11,56
11,57
11,58
11,59
11,60
11,61
11,62
11,63
11,65
12,23
12,24
12,25
12,26
12,28
12,31
12,32
12,34
12,38
12,39
12,40
12,41
12,42
12,43
12,46
12,47
12,48
12,49
12,51
12,52
12,53
12,54
12,55
12,56
12,57
12,58
12,59
12,60
12,61
12,64
12,65
13,23
13,24
13,25
13,26
13,28
13,29
13,30
13,31
13,32
13,33
13,34
13,38
13,39
13,40
13,41
13,42
13,43
13,46
13,47
13,48
13,49
13,51
13,52
13,53
13,54
13,55
13,56
13,57
13,58
13,59
13,60
13,61
13,62
13,63
13,65
14,23
14,24
14,25
14,26
14,28
14,31
14,32
14,34
14,38
14,39
14,40
14,41
14,42
14,43
14,46
14,47
14,48
14,49
14,51
14,52
14,53
14,54
14,55
14,56
14,57
14,58
14,59
14,60
14,61
14,62
14,63
14,65
15,1
15,2
15,3
15,4
15,5
15,6
15,7
15,8
15,9
15,10
15,13
15,16
15,17
15,21
15,22
15,23
15,24
15,25
15,26
15,28
15,31
15,32
15,34
15,38
15,39
15,40
15,41
15,42
15,43
15,46
15,47
15,48
15,49
15,51
15,52
15,53
15,54
15,55
15,56
15,57
15,58
15,59
15,60
15,61
15,62
15,63
15,65
15,95
15,106
15,107
15,108
15,109
15,110
16,1
16,2
16,3
16,4
16,5
16,6
16,7
16,8
16,9
16,10
16,11
16,12
16,13
16,23
16,24
16,25
16,26
16,28
16,31
16,32
16,34
16,38
16,39
16,40
16,41
16,42
16,43
16,46
16,47
16,48
16,49
16,51
16,52
16,53
16,54
16,55
16,56
16,57
16,58
16,59
16,60
16,61
16,62
16,63
16,65
16,95
16,106
16,107
16,108
16,109
16,110
17,23
17,24
17,25
17,26
17,28
17,31
17,32
17,34
17,38
17,39
17,40
17,41
17,42
17,43
17,46
17,47
17,48
17,49
17,51
17,52
17,53
17,54
17,55
17,56
17,57
17,58
17,59
17,60
17,61
17,62
17,63
17,65
17,95
17,106
17,107
17,108
17,109
17,110
18,1
18,2
18,3
18,4
18,5
18,6
18,7
18,8
18,9
18,10
18,13
18,16
18,17
18,21
18,22
18,23
18,24
18,25
18,26
18,28
18,31
18,32
18,34
18,38
18,39
18,40
18,41
18,42
18,43
18,46
18,47
18,48
18,49
18,51
18,52
18,53
18,54
18,55
18,56
18,57
18,58
18,59
18,60
18,61
18,62
18,63
18,65
18,95
18,106
18,107
18,108
18,109
18,110
19,1
19,2
19,3
19,4
19,5
19,6
19,7
19,8
19,9
19,10
19,11
19,12
19,13
19,23
19,24
19,25
19,26
19,28
19,31
19,32
19,34
19,35
19,36
19,37
19,38
19,39
19,40
19,41
19,42
19,43
19,44
19,46
19,47
19,48
19,49
20,62
20,63
20,65
20,66
20,67
21,23
21,24
21,25
21,26
21,28
21,32
22,23
22,24
22,25
22,26
22,28
22,31
22,32
22,34
22,38
22,39
22,40
22,41
22,42
22,43
22,46
22,47
22,48
22,49
22,51
22,52
22,53
22,54
22,55
22,56
22,57
22,58
22,59
22,60
22,61
22,62
22,63
22,65
22,95
22,106
22,107
22,108
22,109
22,110
23,23
23,24
23,25
23,26
23,28
23,31
23,32
23,34
23,38
23,39
23,40
23,41
23,42
23,43
23,46
23,47
23,48
23,49
23,51
23,52
23,53
23,54
23,55
23,56
23,57
23,58
23,59
23,60
23,61
23,62
23,63
23,65
24,11
24,12
24,13
24,14
24,15
25,1
25,2
25,3
25,4
25,5
25,6
25,7
25,8
25,9
25,10
25,13
25,16
25,17
25,21
25,22
25,23
25,24
25,25
25,26
25,28
25,31
25,32
25,34
25,38
25,39
25,40
25,41
25,42
25,43
25,46
25,47
25,48
25,49
25,51
25,52
25,53
25,54
25,55
25,56
25,57
25,58
25,59
25,60
25,61
25,62
25,63
25,65
25,95
25,106
25,107
25,108
25,109
25,110
26,1
26,2
26,3
26,4
26,5
26,6
26,7
26,8
26,9
26,10
26,13
26,16
26,17
26,21
26,22
26,23
26,24
26,25
26,26
26,28
26,31
26,32
26,34
26,38
26,39
26,40
26,41
26,42
26,43
26,46
26,47
26,48
26,49
26,51
26,52
26,53
26,54
26,55
26,56
26,57
26,58
26,59
26,60
26,61
26,62
26,63
26,65
26,95
26,106
26,107
26,108
26,109
26,110
27,23
27,24
27,25
27,26
27,28
27,31
27,32
27,34
27,38
27,39
27,40
27,41
27,42
27,43
27,46
27,47
27,48
27,49
27,51
27,52
27,53
27,54
27,55
27,56
27,57
27,58
27,59
27,60
27,61
27,62
27,63
27,65
27,94
27,95
27,106
27,107
27,108
27,109
27,110
28,23
28,24
28,25
28,26
28,28
28,31
28,32
28,34
28,38
28,39
28,40
28,41
28,42
28,43
28,46
28,47
28,48
28,49
28,51
28,52
28,53
28,54
28,55
28,56
28,57
28,58
28,59
28,60
28,61
28,62
28,63
28,65
28,95
28,106
28,107
28,108
28,109
28,110
29,23
29,24
29,25
29,26
29,28
29,31
29,32
29,34
29,38
29,39
29,40
29,41
29,42
29,43
29,46
29,47
29,48
29,49
29,51
29,52
29,53
29,54
29,55
29,56
29,57
29,58
29,59
29,60
29,61
29,62
29,63
29,65
29,95
29,106
29,107
29,108
29,109
29,110
30,23
30,24
30,25
30,26
30,28
30,31
30,32
30,34
30,38
30,39
30,40
30,41
30,42
30,43
30,46
30,47
30,48
30,49
30,51
30,52
30,53
30,54
30,55
30,56
30,57
30,58
30,59
30,60
30,61
30,62
30,63
30,65
30,95
30,106
30,107
30,108
30,109
30,110
31,1
31,2
31,3
31,4
31,5
31,6
31,7
31,8
31,9
31,10
31,11
31,12
31,13
31,23
31,24
31,25
31,26
31,28
31,31
31,32
31,34
31,38
31,39
31,40
31,41
31,42
31,43
31,46
31,47
31,48
31,49
31,51
31,52
31,53
31,54
31,55
31,56
31,57
31,58
31,59
31,60
31,61
31,62
31,63
31,65
31,95
31,106
31,107
31,108
31,109
31,110
