TestNo,MutantNo
1,13
3,65
3,74
4,65
6,13
6,22
7,2
7,9
7,25
7,28
7,30
7,32
7,34
7,39
7,46
8,96
8,99
8,101
8,104
8,106
8,109
9,2
9,9
9,25
9,28
9,32
9,34
9,39
9,46
10,1
10,3
10,4
10,7
10,8
10,9
11,25
11,28
11,31
11,32
11,34
11,35
11,37
11,41
11,43
11,46
11,52
11,59
11,60
11,61
12,51
12,53
12,54
12,57
12,58
12,59
13,25
13,28
13,30
13,32
13,34
13,39
13,46
13,52
13,59
13,60
14,25
14,28
14,32
14,34
14,39
14,46
14,52
14,59
14,60
15,2
15,9
15,22
15,25
15,28
15,32
15,34
15,39
15,41
15,46
15,52
15,59
15,110
16,2
16,9
16,25
16,28
16,32
16,34
16,39
16,46
16,52
16,59
16,110
17,25
17,28
17,32
17,34
17,39
17,46
17,52
17,59
17,60
17,110
18,2
18,9
18,22
18,25
18,28
18,32
18,34
18,39
18,41
18,46
18,52
18,59
18,110
19,2
19,9
19,10
19,25
19,28
19,31
19,32
19,34
19,35
19,37
19,41
19,43
19,46
20,63
20,67
21,25
22,25
22,28
22,32
22,34
22,39
22,46
22,52
22,59
22,60
22,110
23,25
23,28
23,32
23,34
23,39
23,46
23,52
23,59
23,60
24,12
24,15
25,2
25,9
25,22
25,25
25,28
25,32
25,34
25,39
25,46
25,52
25,59
25,110
26,2
26,9
26,22
26,25
26,28
26,32
26,34
26,39
26,41
26,46
26,52
26,59
26,110
27,25
27,28
27,32
27,34
27,39
27,46
27,52
27,59
27,60
27,94
27,110
28,25
28,28
28,32
28,34
28,39
28,46
28,52
28,59
28,60
28,110
29,25
29,28
29,32
29,34
29,39
29,46
29,52
29,59
29,60
29,110
30,25
30,28
30,32
30,34
30,39
30,46
30,52
30,59
30,60
30,110
31,2
31,9
31,25
31,28
31,32
31,34
31,39
31,46
31,52
31,59
31,110
