MutantNo,[FAIL | TIME | EXC | LIVE]
1,FAIL
2,FAIL
3,FAIL
4,FAIL
5,LIVE
6,LIVE
7,FAIL
8,FAIL
9,FAIL
10,FAIL
11,LIVE
12,FAIL
13,FAIL
14,LIVE
15,FAIL
16,LIVE
17,LIVE
21,LIVE
22,FAIL
23,LIVE
24,LIVE
25,FAIL
26,LIVE
28,FAIL
29,LIVE
30,FAIL
31,FAIL
32,FAIL
33,LIVE
34,FAIL
35,FAIL
36,LIVE
37,FAIL
38,LIVE
39,FAIL
40,LIVE
41,FAIL
42,LIVE
43,FAIL
44,LIVE
46,FAIL
47,LIVE
48,LIVE
49,LIVE
51,FAIL
52,FAIL
53,FAIL
54,FAIL
55,LIVE
56,LIVE
57,FAIL
58,FAIL
59,FAIL
60,FAIL
61,FAIL
62,LIVE
63,FAIL
64,LIVE
65,FAIL
66,LIVE
67,FAIL
68,LIVE
69,LIVE
73,LIVE
74,FAIL
94,FAIL
95,LIVE
96,FAIL
97,LIVE
98,LIVE
99,FAIL
100,LIVE
101,FAIL
102,LIVE
103,LIVE
104,FAIL
105,LIVE
106,FAIL
107,LIVE
108,LIVE
109,FAIL
110,FAIL
