CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
6065,1,1,1,3,3,1,1,0,0,81,3
12139,2,1,0,3,3,1,1,0,0,81,6
22238,3,1,2,5,5,3,3,0,0,79,11
28277,4,1,0,3,3,3,4,0,0,79,14
34328,5,1,0,3,3,3,4,0,0,79,17
44397,6,2,1,5,5,4,6,0,0,78,22
113081,7,2,9,34,34,13,13,2,0,69,56
113311,8,2,6,15,15,19,19,2,0,63,71
176008,9,3,0,31,31,19,25,4,0,63,102
236619,10,3,5,30,30,24,29,6,0,58,132
309299,11,3,9,36,36,33,40,9,0,49,168
371908,12,3,5,31,31,38,44,11,0,44,199
442494,13,3,0,35,35,38,51,14,0,44,234
507162,14,3,0,32,32,38,57,17,0,44,266
608327,15,3,1,53,53,39,65,22,0,43,319
705541,16,3,0,51,51,39,72,26,0,43,370
776377,17,3,0,38,38,39,79,29,0,43,408
877522,18,3,0,53,53,39,87,34,0,43,461
948030,19,4,1,35,35,40,98,36,0,42,496
958085,20,4,2,5,5,42,100,36,0,40,501
970191,21,8,0,6,6,42,101,36,0,40,507
1041028,22,8,0,38,38,42,108,39,0,40,545
1105647,23,11,0,32,32,42,108,48,0,40,577
1115709,24,14,2,5,5,44,110,48,0,38,582
1216866,25,14,0,53,53,44,117,53,0,38,635
1318079,26,36,0,53,53,44,125,58,0,38,688
1394558,27,103,1,39,39,45,132,62,0,37,727
1501302,28,1002,0,38,38,45,139,65,0,37,765
1607990,29,1003,0,38,38,45,146,68,0,37,803
1714810,30,1003,0,38,38,45,153,71,0,37,841
1860826,31,1004,0,51,51,45,160,75,0,37,892
