TestNo,MutantNo
1,2819
1,2819
2,2818
2,2819
2,2820
2,2822
2,2823
2,2825
2,2828
2,2831
2,2834
2,2836
2,2839
2,2840
2,2818
2,2819
2,2820
2,2822
2,2823
2,2825
2,2828
2,2831
2,2834
2,2836
2,2839
2,2840
3,2818
3,2819
3,2822
3,2823
3,2824
3,2825
3,2826
3,2829
3,2834
3,2836
3,2839
3,2840
3,2818
3,2819
3,2822
3,2823
3,2824
3,2825
3,2826
3,2829
3,2834
3,2836
3,2839
3,2840
4,2818
4,2819
4,2822
4,2823
4,2824
4,2825
4,2826
4,2829
4,2834
4,2836
4,2839
4,2840
4,2818
4,2819
4,2822
4,2823
4,2824
4,2825
4,2826
4,2829
4,2834
4,2836
4,2839
4,2840
5,2961
5,2969
5,2970
5,2972
5,2973
5,2974
5,2978
5,2979
5,2986
5,2987
5,2989
5,2990
5,2991
5,2992
5,3005
5,3006
5,3008
5,3009
5,3010
5,2961
5,2969
5,2970
5,2972
5,2973
5,2974
5,2978
5,2979
5,2986
5,2987
5,2989
5,2990
5,2991
5,2992
5,3005
5,3006
5,3008
5,3009
5,3010
6,2647
6,2648
6,2649
6,2650
6,2651
6,2652
6,2653
6,2659
6,2661
6,2663
6,2665
6,2667
6,2675
6,2676
6,2677
6,2685
6,2689
6,2690
6,2693
6,2696
6,2700
6,2702
6,2703
6,2706
6,2709
6,2711
6,2712
6,2713
6,2714
6,2715
6,2716
6,2717
6,2719
6,2739
6,2741
6,2743
6,2746
6,2747
6,2748
6,2749
6,2750
6,2751
6,2752
6,2647
6,2648
6,2649
6,2650
6,2651
6,2652
6,2653
6,2659
6,2661
6,2663
6,2665
6,2667
6,2675
6,2676
6,2677
6,2685
6,2689
6,2690
6,2693
6,2696
6,2700
6,2702
6,2703
6,2706
6,2709
6,2711
6,2712
6,2713
6,2714
6,2715
6,2716
6,2717
6,2719
6,2739
6,2741
6,2743
6,2746
6,2747
6,2748
6,2749
6,2750
6,2751
6,2752
7,2647
7,2648
7,2650
7,2651
7,2652
7,2658
7,2660
7,2647
7,2648
7,2650
7,2651
7,2652
7,2658
7,2660
8,2647
8,2648
8,2649
8,2650
8,2651
8,2652
8,2653
8,2659
8,2661
8,2663
8,2665
8,2667
8,2675
8,2676
8,2677
8,2685
8,2688
8,2689
8,2690
8,2693
8,2696
8,2700
8,2702
8,2703
8,2706
8,2709
8,2711
8,2712
8,2713
8,2714
8,2715
8,2716
8,2717
8,2719
8,2739
8,2741
8,2743
8,2746
8,2747
8,2748
8,2749
8,2750
8,2751
8,2752
8,2647
8,2648
8,2649
8,2650
8,2651
8,2652
8,2653
8,2659
8,2661
8,2663
8,2665
8,2667
8,2675
8,2676
8,2677
8,2685
8,2689
8,2690
8,2693
8,2696
8,2700
8,2702
8,2703
8,2706
8,2709
8,2711
8,2712
8,2713
8,2714
8,2715
8,2716
8,2717
8,2719
8,2739
8,2741
8,2743
8,2746
8,2747
8,2748
8,2749
8,2750
8,2751
8,2752
9,2647
9,2648
9,2649
9,2650
9,2651
9,2652
9,2653
9,2658
9,2661
9,2663
9,2665
9,2667
9,2675
9,2676
9,2677
9,2685
9,2689
9,2690
9,2693
9,2698
9,2700
9,2702
9,2703
9,2706
9,2709
9,2711
9,2712
9,2713
9,2714
9,2715
9,2716
9,2717
9,2719
9,2720
9,2722
9,2723
9,2725
9,2727
9,2730
9,2731
9,2732
9,2733
9,2734
9,2735
9,2736
9,2738
9,2647
9,2648
9,2649
9,2650
9,2651
9,2652
9,2653
9,2658
9,2661
9,2663
9,2665
9,2667
9,2675
9,2676
9,2677
9,2685
9,2689
9,2690
9,2693
9,2698
9,2700
9,2702
9,2703
9,2706
9,2709
9,2711
9,2712
9,2713
9,2714
9,2715
9,2716
9,2717
9,2719
9,2720
9,2722
9,2723
9,2725
9,2727
9,2730
9,2731
9,2732
9,2733
9,2734
9,2735
9,2736
9,2738
10,2647
10,2648
10,2649
10,2650
10,2651
10,2652
10,2653
10,2659
10,2661
10,2663
10,2665
10,2667
10,2675
10,2676
10,2677
10,2679
10,2685
10,2689
10,2690
10,2693
10,2699
10,2700
10,2703
10,2706
10,2709
10,2711
10,2712
10,2713
10,2714
10,2715
10,2716
10,2717
10,2719
10,2720
10,2722
10,2723
10,2725
10,2727
10,2728
10,2729
10,2730
10,2739
10,2744
10,2745
10,2746
10,2747
10,2748
10,2749
10,2750
10,2751
10,2752
10,2647
10,2648
10,2649
10,2650
10,2651
10,2652
10,2653
10,2659
10,2661
10,2663
10,2665
10,2667
10,2675
10,2676
10,2677
10,2679
10,2685
10,2689
10,2690
10,2693
10,2699
10,2700
10,2703
10,2706
10,2709
10,2711
10,2712
10,2713
10,2714
10,2715
10,2716
10,2717
10,2719
10,2720
10,2722
10,2723
10,2725
10,2727
10,2728
10,2729
10,2730
10,2739
10,2744
10,2745
10,2746
10,2747
10,2748
10,2749
10,2750
10,2751
10,2752
11,2647
11,2648
11,2649
11,2650
11,2651
11,2652
11,2653
11,2659
11,2661
11,2663
11,2665
11,2667
11,2675
11,2676
11,2677
11,2685
11,2689
11,2690
11,2693
11,2700
11,2703
11,2705
11,2706
11,2708
11,2709
11,2711
11,2712
11,2713
11,2714
11,2715
11,2716
11,2717
11,2719
11,2720
11,2722
11,2723
11,2725
11,2727
11,2730
11,2739
11,2744
11,2745
11,2746
11,2747
11,2748
11,2749
11,2750
11,2751
11,2752
11,2647
11,2648
11,2649
11,2650
11,2651
11,2652
11,2653
11,2659
11,2661
11,2663
11,2665
11,2667
11,2675
11,2676
11,2677
11,2685
11,2689
11,2690
11,2693
11,2700
11,2703
11,2705
11,2706
11,2708
11,2709
11,2711
11,2712
11,2713
11,2714
11,2715
11,2716
11,2717
11,2719
11,2720
11,2722
11,2723
11,2725
11,2727
11,2730
11,2739
11,2744
11,2745
11,2746
11,2747
11,2748
11,2749
11,2750
11,2751
11,2752
13,2647
13,2648
13,2649
13,2650
13,2651
13,2652
13,2653
13,2659
13,2661
13,2663
13,2665
13,2667
13,2675
13,2676
13,2677
13,2685
13,2689
13,2690
13,2693
13,2700
13,2703
13,2706
13,2708
13,2709
13,2711
13,2712
13,2713
13,2714
13,2715
13,2716
13,2717
13,2719
13,2720
13,2722
13,2723
13,2725
13,2727
13,2730
13,2739
13,2744
13,2745
13,2746
13,2747
13,2748
13,2749
13,2750
13,2751
13,2752
13,2647
13,2648
13,2649
13,2650
13,2651
13,2652
13,2653
13,2659
13,2661
13,2663
13,2665
13,2667
13,2675
13,2676
13,2677
13,2685
13,2689
13,2690
13,2693
13,2700
13,2703
13,2706
13,2708
13,2709
13,2711
13,2712
13,2713
13,2714
13,2715
13,2716
13,2717
13,2719
13,2720
13,2722
13,2723
13,2725
13,2727
13,2730
13,2739
13,2744
13,2745
13,2746
13,2747
13,2748
13,2749
13,2750
13,2751
13,2752
14,2647
14,2648
14,2649
14,2650
14,2651
14,2652
14,2653
14,2659
14,2661
14,2663
14,2665
14,2667
14,2675
14,2676
14,2677
14,2685
14,2689
14,2690
14,2693
14,2700
14,2703
14,2706
14,2708
14,2709
14,2711
14,2712
14,2713
14,2714
14,2715
14,2716
14,2717
14,2719
14,2720
14,2722
14,2723
14,2725
14,2727
14,2730
14,2739
14,2744
14,2745
14,2746
14,2747
14,2748
14,2749
14,2750
14,2751
14,2752
14,2647
14,2648
14,2649
14,2650
14,2651
14,2652
14,2653
14,2659
14,2661
14,2663
14,2665
14,2667
14,2675
14,2676
14,2677
14,2685
14,2689
14,2690
14,2693
14,2700
14,2703
14,2706
14,2708
14,2709
14,2711
14,2712
14,2713
14,2714
14,2715
14,2716
14,2717
14,2719
14,2720
14,2722
