CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
114,1,1,1,8,8,1,0,1,0,2264,8
944,2,1,11,25,25,12,6,2,5,2253,33
1632,3,1,3,25,25,15,13,3,9,2250,58
2408,4,1,0,25,25,15,20,4,13,2250,83
3342,5,1,19,54,54,34,30,10,16,2231,137
4476,6,1,43,88,88,77,55,28,16,2188,225
4660,7,1,2,15,15,79,57,33,16,2186,240
5908,8,1,1,88,88,80,82,51,17,2185,328
7269,9,1,14,85,85,94,110,69,17,2171,413
8269,10,1,6,99,99,100,141,89,17,2165,512
9143,11,1,2,98,98,102,174,105,17,2163,610
9144,12,1,0,0,0,102,174,105,17,2163,610
10038,13,1,0,98,98,102,206,121,17,2163,708
10856,14,1,0,98,98,102,238,137,17,2163,806
10857,15,1,0,0,0,102,238,137,17,2163,806
11112,16,1,13,29,29,115,250,138,17,2150,835
11130,17,1,0,2,2,115,250,139,17,2150,837
11131,18,1,0,0,0,115,250,139,17,2150,837
11131,19,1,0,0,0,115,250,139,17,2150,837
12152,20,1,14,61,61,129,251,153,17,2136,898
12618,21,1,1,25,25,130,252,154,17,2135,923
12619,22,1,0,0,0,130,252,154,17,2135,923
18142,23,1,23,172,172,153,252,188,17,2112,1095
20627,24,1,6,98,98,159,269,188,17,2106,1193
24257,25,1,0,98,98,159,286,188,17,2106,1291
30129,26,1,1,91,91,160,304,188,17,2105,1382
37304,27,1,9,114,114,169,327,191,17,2096,1496
44493,28,1,0,122,122,169,344,191,17,2096,1618
44532,29,1,1,3,3,170,345,191,17,2095,1621
44666,30,1,2,6,6,172,346,192,17,2093,1627
44801,31,1,1,9,9,173,347,192,17,2092,1636
44940,32,1,2,11,11,175,348,193,17,2090,1647
45023,33,1,3,7,7,178,350,194,17,2087,1654
45199,34,1,1,16,16,179,351,196,17,2086,1670
45410,35,1,4,12,12,183,355,198,17,2082,1682
45410,36,1,0,0,0,183,355,198,17,2082,1682
85194,37,1,212,561,561,395,375,392,18,1870,2243
85300,38,1,0,6,6,395,375,392,18,1870,2249
107000,39,1,50,525,525,445,394,579,19,1820,2774
135095,40,1,32,496,496,477,434,760,20,1788,3270
161641,41,1,5,474,474,482,440,926,21,1783,3744
162207,42,1,4,44,44,486,440,937,21,1779,3788
174753,43,1,7,479,479,493,463,1118,22,1772,4267
211837,44,1,7,578,578,500,481,1316,23,1765,4845
248171,45,1,6,575,575,506,498,1515,24,1759,5420
