TestNo,TestName
1,parsii.ParserTest[variables]
2,parsii.ParserTest[trailingDecimalPoint]
3,parsii.ParserTest[signedParentheses]
4,parsii.ParserTest[number]
5,parsii.ParserTest[scopes]
6,parsii.ParserTest[quantifiers]
7,parsii.ParserTest[blockComment]
8,parsii.ParserTest[relationalOperators]
9,parsii.ParserTest[startingWithDecimalPoint]
10,parsii.ParserTest[signed]
11,parsii.ParserTest[getVariables]
12,parsii.ParserTest[precedence]
13,parsii.ParserTest[simple]
14,parsii.ParserTest[errors]
15,parsii.ParserTest[functions]
16,parsii.ParserTest[signedValueAfterOperand]
