TestNo,MutantNo
1,404
1,405
1,406
1,407
1,422
1,423
1,496
1,497
1,498
1,499
1,500
1,501
1,502
1,503
1,504
1,505
1,506
1,507
1,508
1,509
1,510
1,511
1,512
1,513
1,514
1,515
1,516
1,517
1,518
1,519
1,520
1,521
1,522
1,524
1,525
1,526
1,527
1,528
1,529
1,530
1,531
1,532
1,533
1,534
1,535
1,536
1,537
1,538
2,1
2,2
2,3
2,4
2,5
2,6
2,14
2,15
2,18
2,19
2,20
2,21
2,22
2,23
2,24
2,29
2,30
2,35
2,36
2,39
2,40
2,41
2,42
2,43
2,108
2,121
2,130
2,131
2,132
2,164
2,165
2,166
2,167
2,168
2,169
2,170
2,174
2,175
2,176
2,190
2,191
2,192
2,193
2,194
2,195
2,196
2,209
2,286
2,287
2,288
2,289
2,290
2,301
2,304
2,306
2,307
2,308
2,309
2,310
2,311
2,312
2,313
2,314
2,315
2,316
2,317
2,324
2,325
2,326
2,327
2,328
2,329
2,330
2,331
2,333
2,334
2,340
2,341
2,342
2,343
2,1328
2,1329
2,1330
2,1331
2,1332
2,1333
2,1334
2,1335
2,1336
2,1337
2,1338
2,1339
2,1351
2,1352
2,1353
2,1354
2,1355
2,1356
2,1357
2,1359
2,1360
2,1361
2,1362
2,1363
2,1364
2,1365
2,1366
2,1367
2,1368
2,1369
2,1370
2,1371
2,1372
2,1373
2,1413
2,1414
2,1415
2,1419
2,1420
2,1421
2,1422
2,1423
2,1424
2,1425
2,1426
2,1430
2,1431
2,1432
2,1433
2,1436
3,1
3,2
3,3
3,4
3,5
3,6
3,14
3,15
3,16
3,17
3,18
3,19
3,20
3,21
3,22
3,23
3,24
3,29
3,30
3,35
3,36
3,37
3,38
3,49
3,50
3,51
3,52
3,53
3,54
3,55
3,56
3,57
3,58
3,59
3,60
3,61
3,62
3,63
3,64
3,65
3,66
3,67
3,68
3,69
3,108
3,109
3,119
3,130
3,131
3,132
3,133
3,134
3,135
3,136
3,137
3,138
3,139
3,140
3,141
3,142
3,143
3,144
3,145
3,146
3,147
3,148
3,149
3,150
3,151
3,152
3,153
3,154
3,155
3,156
3,157
3,158
3,159
3,160
3,161
3,162
3,163
3,164
3,165
3,166
3,167
3,168
3,169
3,170
3,171
3,172
3,173
3,174
3,175
3,176
3,177
3,178
3,179
3,180
3,181
3,182
3,183
3,184
3,185
3,186
3,187
3,188
3,189
3,190
3,191
3,192
3,193
3,194
3,195
3,196
3,197
3,198
3,199
3,200
3,201
3,202
3,203
3,204
3,205
3,206
3,207
3,208
3,209
3,210
3,211
3,212
3,213
3,214
3,215
3,286
3,287
3,288
3,289
3,290
3,301
3,304
3,306
3,307
3,308
3,309
3,310
3,311
3,312
3,313
3,314
3,315
3,316
3,317
3,324
3,325
3,326
3,327
3,328
3,329
3,330
3,331
3,333
3,334
3,335
3,336
3,337
3,338
3,339
3,340
3,341
3,342
3,343
3,782
3,783
3,784
3,785
3,786
3,787
3,788
3,789
3,790
3,791
3,792
3,793
3,794
3,795
3,796
3,800
3,801
3,802
3,803
3,804
3,805
3,806
3,807
3,808
3,809
3,810
3,811
3,812
3,813
3,814
3,815
3,816
3,817
3,818
3,819
3,820
3,821
3,822
3,823
3,824
3,825
3,826
3,827
3,828
3,1413
3,1414
3,1415
3,1422
3,1423
3,1424
3,1425
3,1426
3,1427
3,1428
3,1429
3,1430
3,1431
3,1432
3,1433
3,1436
4,1
4,2
4,3
4,4
4,5
4,6
4,14
4,15
4,18
4,19
4,20
4,21
4,22
4,23
4,24
4,29
4,30
4,35
4,36
4,37
4,38
4,49
4,50
4,51
4,52
4,53
4,54
4,55
4,56
4,57
4,58
4,59
4,60
4,61
4,62
4,63
4,64
4,65
4,66
4,67
4,68
4,69
4,78
4,79
4,80
4,92
4,93
4,94
4,102
4,103
4,104
4,105
4,106
4,130
4,131
4,132
4,209
4,301
4,304
4,306
4,307
4,308
4,309
4,310
4,311
4,312
4,313
4,314
4,315
4,316
4,317
4,324
4,325
4,326
4,327
4,328
4,329
4,330
4,331
4,333
4,334
4,335
4,336
4,337
4,338
4,339
4,340
4,341
4,782
4,783
4,784
4,785
4,786
4,787
4,788
4,789
4,790
4,791
4,792
4,793
4,794
4,795
4,796
4,800
4,801
4,802
4,803
4,804
4,805
4,806
4,807
4,808
4,809
4,810
4,811
4,812
4,813
4,814
4,815
4,816
4,817
4,818
4,819
4,820
4,821
4,822
4,823
4,824
4,825
4,826
4,827
4,828
4,1413
4,1414
4,1415
4,1422
4,1423
4,1424
4,1425
4,1426
4,1427
4,1428
4,1429
4,1430
4,1431
4,1432
4,1433
4,1436
5,1
5,2
5,3
5,4
5,5
5,6
5,14
5,15
5,16
5,17
5,18
5,19
5,20
5,21
5,22
5,23
5,24
5,29
5,30
5,31
5,32
5,34
5,35
5,36
5,37
5,38
5,49
5,50
5,51
5,52
5,53
5,54
5,55
5,56
5,57
5,58
5,59
5,60
5,61
5,62
5,63
5,64
