CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
1716,1,1,0,14,14,0,0,0,0,263,14
3435,2,1,0,14,14,0,0,0,0,263,28
5175,3,1,1,14,14,1,1,0,0,262,42
6922,4,1,0,14,14,1,2,0,0,262,56
8703,5,1,0,14,14,1,2,0,0,262,70
10853,6,1,0,14,14,1,2,0,0,262,84
12878,7,1,0,14,14,1,2,0,0,262,98
14915,8,1,0,14,14,1,2,0,0,262,112
17329,9,1,0,14,14,1,2,0,0,262,126
19150,10,1,0,14,14,1,2,0,0,262,140
21185,11,1,0,14,14,1,2,0,0,262,154
21779,12,1,2,3,3,3,3,1,0,260,157
23396,13,1,2,8,8,5,5,2,0,258,165
23951,14,1,0,3,3,5,5,3,0,258,168
24480,15,1,0,3,3,5,5,4,0,258,171
26097,16,1,0,7,7,5,5,5,0,258,178
29078,17,1,2,10,10,7,7,7,0,256,188
30002,18,1,1,3,3,8,7,9,0,255,191
30067,19,1,0,1,1,8,7,9,0,255,192
30135,20,1,1,1,1,9,8,9,0,254,193
30667,21,1,1,3,3,10,9,9,0,253,196
30667,22,1,0,0,0,10,9,9,0,253,196
32695,23,2,0,14,14,10,10,9,0,253,210
40464,24,2,2,26,26,12,10,11,0,251,236
43024,25,2,2,13,13,14,11,14,0,249,249
44286,26,2,0,5,5,14,12,16,0,249,254
48813,27,2,2,17,17,16,13,19,0,247,271
53617,28,2,4,20,20,20,18,22,0,243,291
56948,29,2,1,18,18,21,20,25,0,242,309
58344,30,2,3,6,6,24,23,26,0,239,315
62564,31,2,2,21,21,26,24,30,0,237,336
63145,32,2,0,3,3,26,24,32,0,237,339
65910,33,2,1,14,14,27,24,36,0,236,353
68673,34,2,0,14,14,27,26,38,0,236,367
69834,35,2,1,6,6,28,27,39,0,235,373
71030,36,2,0,6,6,28,29,40,0,235,379
76294,37,2,2,23,23,30,35,43,0,233,402
76898,38,2,0,3,3,30,36,44,0,233,405
77571,39,2,0,3,3,30,36,45,0,233,408
78237,40,2,0,3,3,30,37,46,0,233,411
82597,41,2,1,18,18,31,37,48,0,232,429
86919,42,2,0,14,14,31,37,50,0,232,443
90705,43,2,0,14,14,31,37,52,0,232,457
92557,44,2,0,7,7,31,37,53,0,232,464
98790,45,2,0,23,23,31,38,56,0,232,487
102784,46,2,1,15,15,32,41,58,0,231,502
110640,47,2,4,27,27,36,41,65,0,227,529
119649,48,2,0,28,28,36,43,72,0,227,557
125111,49,2,0,18,18,36,47,73,0,227,575
137316,50,2,1,38,38,37,48,82,0,226,613
138211,51,2,0,3,3,37,48,84,0,226,616
145528,52,2,0,24,24,37,48,92,0,226,640
192834,53,2,5,24,24,42,49,95,13,221,664
210539,54,2,0,7,7,42,49,96,19,221,671
217550,55,2,0,3,3,42,49,96,22,221,674
231480,56,2,0,3,3,42,49,96,25,221,677
243967,57,2,0,3,3,42,49,96,28,221,680
312955,58,2,7,18,18,49,49,98,44,214,698
318314,59,2,1,3,3,50,49,98,47,213,701
323468,60,2,0,3,3,50,49,98,50,213,704
356438,61,2,0,14,14,50,49,98,64,213,718
388383,62,2,0,14,14,50,49,98,78,213,732
400952,63,2,0,7,7,50,49,98,86,213,739
408386,64,2,0,3,3,50,49,98,88,213,742
451478,65,2,2,18,18,52,49,98,107,211,760
501242,66,2,0,22,22,52,49,98,128,211,782
576554,67,2,0,23,23,52,49,100,150,211,805
608291,68,2,0,13,13,52,49,100,162,211,818
618615,69,2,0,6,6,52,49,101,168,211,824
667573,70,2,0,19,19,52,49,103,184,211,843
705374,71,2,0,19,19,52,49,104,202,211,862
717196,72,2,0,7,7,52,49,104,209,211,869
722228,73,2,0,3,3,52,49,104,212,211,872
733825,74,2,0,7,7,52,49,105,218,211,879
788058,75,2,1,28,28,53,49,106,245,210,907
794943,76,2,3,3,3,56,49,106,249,207,910
806650,77,2,0,3,3,56,49,106,251,207,913
828229,78,2,4,4,4,60,49,106,255,203,917
828230,79,2,0,0,0,61,49,106,256,202,917
828230,80,2,0,0,0,61,49,106,256,202,917
889669,81,3,22,26,26,83,49,106,281,180,943
1009205,82,3,4,29,29,87,49,108,307,176,972
1111682,83,3,0,26,26,87,49,108,334,176,998
1218068,84,3,8,34,34,95,49,109,366,168,1032
1280974,85,3,1,27,27,96,49,109,394,167,1059
1339422,86,3,1,27,27,97,49,109,420,166,1086
1405990,87,3,1,27,27,98,49,110,446,165,1113
1499323,88,3,0,29,29,98,49,112,473,165,1142
1586882,89,3,5,32,32,103,49,113,500,160,1174
1663886,90,3,0,27,27,103,49,113,526,160,1201
1750052,91,3,2,29,29,105,49,115,553,158,1230
1816048,92,3,0,29,29,105,49,115,582,158,1259
1901171,93,3,0,27,27,105,49,117,607,158,1286
1974903,94,3,0,27,27,105,49,117,634,158,1313
2054188,95,3,2,17,17,107,49,120,649,156,1330
2064556,96,3,1,3,3,108,49,120,650,155,1333
2086151,97,3,3,5,5,111,49,121,654,152,1338
2102331,98,3,1,3,3,112,49,122,655,151,1341
2110062,99,3,0,3,3,112,49,122,659,151,1344
2160342,100,3,0,18,18,112,49,122,677,151,1362
2183310,101,3,0,9,9,112,49,122,685,151,1371
2243120,102,3,0,18,18,112,49,123,702,151,1389
2280372,103,3,0,16,16,112,49,123,718,151,1405
2322429,104,3,0,16,16,112,49,124,733,151,1421
2332315,105,3,0,3,3,112,49,124,737,151,1424
2412542,106,3,0,18,18,112,49,125,752,151,1442
2462946,107,3,3,22,22,115,49,126,773,148,1464
2469939,108,3,1,3,3,116,49,126,776,147,1467
2546202,109,3,6,32,32,122,49,131,804,141,1499
2649114,110,3,0,34,34,122,49,132,836,141,1533
2665250,111,3,0,6,6,122,49,133,842,141,1539
2756526,112,3,0,34,34,122,49,134,874,141,1573
2799814,113,3,0,18,18,122,49,136,889,141,1591
2814746,114,3,0,9,9,122,49,136,899,141,1600
2851508,115,3,0,16,16,122,49,138,912,141,1616
2860972,116,3,0,3,3,122,49,138,915,141,1619
2905246,117,3,0,16,16,122,49,138,932,141,1635
2950174,118,3,0,18,18,122,49,140,947,141,1653
2984986,119,3,0,18,18,122,49,140,965,141,1671
2991282,120,3,0,3,3,122,49,140,969,141,1674
3034211,121,3,0,20,20,122,49,140,988,141,1694
3097370,122,3,0,22,22,122,49,142,1009,141,1716
3146771,123,3,3,26,26,125,49,142,1034,138,1742
3215034,124,3,0,22,22,125,49,145,1052,138,1764
3253066,125,3,7,12,12,132,49,146,1063,131,1776
3281510,126,3,2,10,10,134,49,148,1072,129,1786
3316385,127,3,0,14,14,134,49,148,1086,129,1800
3321534,128,3,0,2,2,134,49,148,1089,129,1802
3337443,129,3,5,8,8,139,49,148,1096,124,1810
3381407,130,3,7,17,17,146,49,149,1112,117,1827
3439157,131,3,12,24,24,158,49,149,1136,105,1851
3443878,132,3,1,2,2,159,49,149,1139,104,1853
3497229,133,3,11,23,23,170,49,150,1161,93,1876
3523624,134,3,0,12,12,170,49,151,1171,93,1888
3598169,135,4,0,27,27,170,49,152,1197,93,1915
3673094,136,4,0,33,33,170,49,152,1230,93,1948
3747526,137,4,0,29,29,170,49,155,1257,93,1977
3837722,138,4,0,34,34,170,49,156,1289,93,2011
3901566,139,4,1,28,28,171,49,158,1315,92,2039
3922360,140,4,0,4,4,171,49,158,1318,92,2043
3930122,141,4,1,3,3,172,49,158,1321,91,2046
3938558,142,4,1,4,4,173,49,158,1325,90,2050
3982112,143,4,7,14,14,180,49,158,1337,83,2064
