TestNo,TestName
1,com.pusher.client.PusherOptionsTest[testAuthorizerIsInitiallyNull]
2,com.pusher.client.PusherOptionsTest[testClusterSetNonSSLURLIsCorrect]
3,com.pusher.client.PusherOptionsTest[testCustomHostAndPortURLIsCorrect]
4,com.pusher.client.PusherOptionsTest[testDefaultURL]
5,com.pusher.client.PusherOptionsTest[testSetAuthorizerReturnsSelf]
6,com.pusher.client.PusherOptionsTest[testCustomHostAndPortNonSSLURLIsCorrect]
7,com.pusher.client.PusherOptionsTest[testEncryptedCanBeSetToTrue]
8,com.pusher.client.PusherOptionsTest[testEncryptedInitializedAsTrue]
9,com.pusher.client.PusherOptionsTest[testSetEncryptedReturnsSelf]
10,com.pusher.client.PusherOptionsTest[testAuthorizerCanBeSet]
11,com.pusher.client.PusherOptionsTest[testNonSSLURLIsCorrect]
12,com.pusher.client.channel.impl.ChannelImplTest[testPrivateChannelName]
13,com.pusher.client.channel.impl.ChannelImplTest[testBindToInternalEventThrowsException]
14,com.pusher.client.channel.impl.ChannelImplTest[testPublicChannelName]
15,com.pusher.client.channel.impl.ChannelImplTest[testGetNameReturnsName]
16,com.pusher.client.channel.impl.PresenceChannelImplTest[testBindWithNullListenerThrowsException]
17,com.pusher.client.channel.impl.PrivateChannelImplTest[testBindWithNullEventNameThrowsException]
18,com.pusher.client.channel.impl.PrivateChannelImplTest[testNullChannelNameThrowsException]
19,com.pusher.client.connection.ConnectionStateChangeTest[testGetters]
20,com.pusher.client.connection.ConnectionStateChangeTest[testFailFastIfPreviousStateIsSameAsCurrentState]
21,com.pusher.client.connection.websocket.WebSocketClientWrapperTest[testOnErrorIsDelegatedToTheProxy]
22,com.pusher.client.util.HttpAuthorizerTest[testConstructWithMalformedURLThrowsRuntimeException]
23,com.pusher.client.PusherOptionsTest[testClusterSetURLIsCorrect]
24,com.pusher.client.PusherTest[testEmptyAPIKeyThrowsIllegalArgumentException]
25,com.pusher.client.channel.impl.ChannelImplTest[testUnbindWithNullEventNameThrowsException]
26,com.pusher.client.channel.impl.ChannelImplTest[testBindWithNullEventNameThrowsException]
27,com.pusher.client.channel.impl.ChannelImplTest[testUpdateStateToSubscribeSentDoesNotNotifyListenerThatSubscriptionSucceeded]
28,com.pusher.client.channel.impl.ChannelImplTest[testUpdateStateToSubscribedNotifiesListenerThatSubscriptionSucceeded]
29,com.pusher.client.channel.impl.ChannelImplTest[testUnbindWhenInUnsubscribedStateThrowsException]
30,com.pusher.client.channel.impl.ChannelImplTest[testReturnsCorrectUnsubscribeMessage]
31,com.pusher.client.channel.impl.ChannelImplTest[testEventIsNotPassedOnIfListenerHasUnboundFromEvent]
32,com.pusher.client.channel.impl.ChannelImplTest[testNullChannelNameThrowsException]
33,com.pusher.client.channel.impl.ChannelImplTest[testUnbindWhenListenerIsNotBoundToEventIsIgnoredAndDoesNotThrowException]
34,com.pusher.client.channel.impl.ChannelImplTest[testBindWhenInUnsubscribedStateThrowsException]
35,com.pusher.client.channel.impl.ChannelImplTest[testUnbindWithNullListenerThrowsException]
36,com.pusher.client.channel.impl.ChannelImplTest[testBindWithNullListenerThrowsException]
37,com.pusher.client.channel.impl.ChannelImplTest[testInternalSubscriptionSucceededMessageIsTranslatedToASubscriptionSuccessfulCallback]
38,com.pusher.client.channel.impl.ChannelImplTest[testPresenceChannelName]
39,com.pusher.client.channel.impl.PresenceChannelImplTest[testPresenceChannelName]
40,com.pusher.client.channel.impl.PresenceChannelImplTest[testConstructWithNonPrivateChannelNameThrowsException]
41,com.pusher.client.channel.impl.PresenceChannelImplTest[testTriggerWhenConnectionIsInDisconnectedStateThrowsException]
42,com.pusher.client.channel.impl.PresenceChannelImplTest[testTriggerWhenChannelIsInSubscribeSentStateThrowsException]
43,com.pusher.client.channel.impl.PresenceChannelImplTest[testTriggerWhenChannelIsInUnsubscribedStateThrowsException]
44,com.pusher.client.channel.impl.PresenceChannelImplTest[testCannotBindIfListenerIsNotAPrivateChannelEventListener]
45,com.pusher.client.channel.impl.PresenceChannelImplTest[testUnbindWithNullEventNameThrowsException]
46,com.pusher.client.channel.impl.PresenceChannelImplTest[testBindWithNullEventNameThrowsException]
47,com.pusher.client.channel.impl.PresenceChannelImplTest[testUpdateStateToSubscribeSentDoesNotNotifyListenerThatSubscriptionSucceeded]
48,com.pusher.client.channel.impl.PresenceChannelImplTest[testUnbindWhenInUnsubscribedStateThrowsException]
49,com.pusher.client.channel.impl.PresenceChannelImplTest[testBindToInternalEventThrowsException]
