TestNo,TestName
1,org.raml.integration.SalesEnablementTestCase[schemas]
2,org.raml.parser.rules.BaseURIRuleTestCase[testBaseURIOptional]
3,org.raml.parser.rules.RamlSpecValidationTestCase[testShouldNotFail]
4,org.raml.parser.rules.SchemaRuleTestCase[validJsonSchemaGlobal]
5,org.raml.parser.rules.DocumentationTestCase[documentation]
6,org.raml.parser.rules.ResourcesTestCase[resourceDescriptionOk]
7,org.raml.parser.rules.SchemaRuleTestCase[validXmlSchema]
8,org.raml.parser.builder.IncludeTestCase[includeResourceTypeNestedOptional]
9,org.raml.parser.rules.UriParametersRuleTestCase[testRequiredFieldValid]
10,org.raml.parser.rules.ResourcesTestCase[resourceURIOk]
11,org.raml.parser.rules.SchemaRuleTestCase[validJsonSchemaGlobalTemplate]
12,org.raml.parser.rules.SchemaRuleTestCase[validXmlSchemaGlobal]
13,org.raml.EmitterTestCase[emitEmptyBody]
14,org.raml.parser.builder.TemplateParamFunctionsTestCase[validate]
15,org.raml.parser.builder.UriParametersTestCase[validate]
16,org.raml.parser.builder.SecurityTestCase[validate]
17,org.raml.parser.builder.ParameterTypesTestCase[validate]
18,org.raml.parser.rules.BaseURIRuleTestCase[testVersionAfterBaseUri]
19,org.raml.parser.rules.UriParametersRuleTestCase[testUriParameters]
20,org.raml.parser.builder.IncludeAbsoluteTestCase[absoluteClasspathValidation]
21,org.raml.EmptyConfigTestCase[emptyConfigTestCase]
22,org.raml.NullValuesTestCase[nullValues]
23,org.raml.parser.builder.IncludeTestCase[includeResourceTypeNested]
24,org.raml.tagresolver.PojoValidatorTestCase[pojoFound]
25,org.raml.parser.builder.DefaultMediaTypeTestCase[validation]
26,org.raml.parser.rules.SchemaRuleTestCase[validJsonSchema]
27,org.raml.parser.rules.ResourcesTestCase[resourceFullOk]
28,org.raml.parser.builder.TemplateDefaultParamsTestCase[validate]
29,org.raml.integration.SalesEnablementTestCase[validation]
