TestNo,MutantNo
2,32
2,35
2,45
2,49
2,89
2,92
2,93
2,209
2,213
2,219
2,231
2,232
2,233
2,234
2,236
2,288
2,289
2,290
2,297
2,298
2,304
2,312
2,314
2,317
2,392
2,393
2,394
2,395
2,397
2,403
2,404
2,434
2,850
2,853
2,856
2,859
2,861
2,864
2,867
2,884
3,209
3,213
3,219
4,205
4,206
4,208
4,210
5,217
5,220
6,33
6,38
6,46
6,50
6,883
7,32
7,35
7,46
7,50
7,146
7,149
7,153
7,157
7,494
7,884
8,36
8,46
8,50
8,156
9,209
9,213
9,219
11,45
11,49
11,790
11,792
11,850
11,853
11,856
11,859
12,45
12,49
12,790
12,792
12,850
12,853
12,856
12,859
13,45
13,49
13,53
13,54
13,57
13,58
13,61
13,63
13,64
13,789
13,790
13,791
13,792
13,850
13,853
13,856
13,859
14,45
14,49
14,53
14,54
14,57
14,58
14,795
14,796
14,798
14,800
14,801
15,45
15,49
15,796
15,798
15,800
15,801
16,45
16,49
16,53
16,54
16,57
16,58
16,61
16,63
16,64
16,730
16,736
16,739
16,740
16,741
16,742
16,743
16,745
16,746
16,747
16,750
16,751
16,753
16,757
16,761
16,765
16,767
16,769
16,771
16,773
16,777
16,781
16,782
16,783
16,784
16,785
16,786
16,790
16,792
16,795
16,796
16,797
16,798
16,799
16,800
16,801
16,802
16,850
16,853
16,856
16,859
17,45
17,49
17,61
17,63
17,64
17,730
17,734
17,736
17,737
17,738
17,739
17,740
17,741
17,742
17,743
17,745
17,746
17,747
17,751
17,753
17,754
17,757
17,761
17,765
17,768
17,769
17,770
17,771
17,773
17,774
17,776
17,777
17,780
17,781
17,782
17,783
17,784
17,785
17,786
17,789
17,790
17,791
17,792
17,795
17,796
17,797
17,798
17,799
17,800
17,801
17,802
17,850
17,853
17,856
17,859
18,45
18,49
18,209
18,213
18,219
18,392
18,393
18,394
18,395
18,419
18,435
19,46
19,50
19,209
19,214
19,219
19,231
19,232
19,234
19,288
19,289
19,290
19,297
19,298
19,304
19,314
19,317
19,318
19,392
19,393
19,394
19,395
19,397
19,434
19,436
19,850
19,853
19,856
19,859
20,32
20,35
20,45
20,49
20,209
20,214
20,219
20,231
20,232
20,234
20,257
20,258
20,317
20,392
20,393
20,394
20,395
20,397
20,403
20,404
20,434
20,436
20,730
20,736
20,743
20,745
20,747
20,784
20,790
20,792
20,798
20,800
20,850
20,853
20,856
20,859
20,861
20,864
20,884
21,209
21,213
21,219
21,392
21,393
21,394
21,395
22,45
22,46
22,49
22,50
22,98
22,113
22,116
22,130
22,133
22,135
22,139
22,209
22,213
22,219
22,231
22,232
22,234
22,288
22,289
22,290
22,297
22,298
22,304
22,314
22,317
22,318
22,392
22,393
22,394
22,395
22,396
22,397
22,403
22,404
22,434
22,442
22,445
22,658
22,662
22,664
22,665
22,666
22,667
22,668
22,669
22,670
22,671
22,672
22,675
22,676
22,677
22,850
22,853
22,861
22,864
22,866
22,867
23,32
23,35
23,45
23,49
23,209
23,213
23,219
23,231
23,232
23,234
23,242
23,245
23,248
23,288
23,289
23,290
23,297
23,298
23,304
23,314
23,317
23,318
23,392
