CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
174,1,1,3,22,22,3,3,0,0,296,22
339,2,1,1,25,25,4,3,1,0,295,47
510,3,1,0,25,25,4,3,2,0,295,72
671,4,1,0,24,24,4,3,3,0,295,96
989,5,1,6,35,35,10,7,5,0,289,131
1198,6,1,1,25,25,11,7,11,0,288,156
1270,7,1,5,17,17,16,7,16,0,283,173
1355,8,1,1,17,17,17,7,21,0,282,190
1432,9,1,1,17,17,18,7,24,0,281,207
1585,10,1,4,29,29,22,8,28,0,277,236
1666,11,1,0,19,19,22,8,30,0,277,255
1755,12,1,1,17,17,23,8,35,0,276,272
1831,13,1,0,17,17,23,8,38,0,276,289
2008,14,1,2,34,34,25,8,41,0,274,323
2224,15,1,3,36,36,28,9,46,0,271,359
2431,16,1,0,36,36,28,10,51,0,271,395
2536,17,1,0,21,21,28,10,53,0,271,416
2756,18,1,0,36,36,28,11,58,0,271,452
2816,19,1,3,11,11,31,14,58,0,268,463
2865,20,1,1,13,13,32,17,58,0,267,476
2893,21,1,0,7,7,32,17,58,0,267,483
3367,22,1,9,58,58,41,21,63,0,258,541
3849,23,1,2,60,60,43,25,70,0,256,601
4222,24,1,13,49,49,56,33,75,0,243,650
4808,25,1,3,67,67,59,37,85,0,240,717
5203,26,1,1,50,50,60,38,90,0,239,767
5593,27,1,3,52,52,63,42,95,0,236,819
5962,28,1,0,50,50,63,42,100,0,236,869
6327,29,1,0,49,49,63,50,102,0,236,918
6888,30,1,19,50,50,82,54,114,3,217,968
6956,31,1,1,18,18,83,55,116,3,216,986
7490,32,1,2,50,50,85,61,123,6,214,1036
7537,33,1,0,14,14,85,61,123,6,214,1050
7613,34,1,3,25,25,88,64,123,6,211,1075
7613,35,1,0,0,0,88,64,123,6,211,1075
7709,36,1,1,17,17,89,67,123,6,210,1092
7777,37,1,0,18,18,89,67,123,6,210,1110
7777,38,1,0,0,0,89,67,123,6,210,1110
7797,39,1,6,6,6,95,72,124,6,204,1116
7800,40,1,1,1,1,96,72,125,6,203,1117
7807,41,1,1,3,3,97,72,126,6,202,1120
7862,42,1,1,16,16,98,73,126,6,201,1136
7924,43,1,1,16,16,99,74,126,6,200,1152
7984,44,1,1,17,17,100,75,126,6,199,1169
8037,45,1,0,16,16,100,75,126,6,199,1185
8096,46,1,1,16,16,101,75,129,6,198,1201
8143,47,1,0,18,18,101,75,130,6,198,1219
8190,48,1,1,18,18,102,76,130,6,197,1237
8238,49,1,0,16,16,102,78,130,6,197,1253
8289,50,1,0,18,18,102,78,131,6,197,1271
8339,51,1,0,18,18,102,79,131,6,197,1289
8391,52,1,0,18,18,102,79,132,6,197,1307
8431,53,1,0,16,16,102,80,135,6,197,1323
8492,54,1,3,22,22,105,80,139,6,194,1345
8523,55,1,0,12,12,105,82,139,6,194,1357
8566,56,1,0,16,16,105,84,139,6,194,1373
8620,57,1,1,17,17,106,84,144,6,193,1390
9274,58,2,12,77,77,118,95,154,6,181,1467
9958,59,2,3,77,77,121,107,164,6,178,1544
10202,60,2,4,35,35,125,111,166,6,174,1579
10269,61,2,0,17,17,125,111,169,6,174,1596
10365,62,2,4,25,25,129,112,173,6,170,1621
10516,63,2,0,29,29,129,113,177,6,170,1650
10584,64,2,1,20,20,130,114,180,6,169,1670
10744,65,2,2,31,31,132,119,182,6,167,1701
10910,66,2,4,35,35,136,127,184,6,163,1736
11070,67,2,0,31,31,136,132,186,6,163,1767
11405,68,2,2,44,44,138,140,188,6,161,1811
11977,69,2,0,68,68,138,143,198,6,161,1879
12570,70,2,2,67,67,140,151,208,6,159,1946
12885,71,2,0,39,39,140,160,210,6,159,1985
12975,72,2,0,24,24,140,160,210,6,159,2009
13056,73,2,1,26,26,141,164,210,6,158,2035
13160,74,2,1,18,18,142,167,210,6,157,2053
13195,75,2,4,10,10,146,176,211,6,153,2063
13211,76,2,4,6,6,150,178,213,6,149,2069
13268,77,2,1,16,16,151,178,216,6,148,2085
13336,78,2,0,18,18,151,178,217,6,148,2103
13385,79,2,0,18,18,151,179,217,6,148,2121
13790,80,2,0,31,31,151,182,222,9,148,2152
14525,81,3,1,79,79,152,195,232,9,147,2231
15221,82,3,2,73,73,154,206,242,9,145,2304
15958,83,3,0,77,77,154,215,252,9,145,2381
16708,84,3,1,77,77,155,227,262,9,144,2458
16780,85,3,0,17,17,155,227,262,9,144,2475
16844,86,3,1,13,13,156,227,265,9,143,2488
16981,87,4,0,29,29,156,228,269,9,143,2517
17208,88,4,0,36,36,156,229,274,9,143,2553
17406,89,4,3,35,35,159,239,276,9,140,2588
17985,90,4,0,50,50,159,243,288,12,140,2638
18047,91,4,0,16,16,159,244,288,12,140,2654
18108,92,5,2,11,11,161,245,292,12,138,2665
18246,93,6,0,25,25,161,245,293,12,138,2690
18435,94,6,1,25,25,162,245,299,12,137,2715
18912,95,7,7,54,54,169,247,308,12,130,2769
19398,96,7,0,60,60,169,250,315,12,130,2829
20109,97,12,1,73,73,170,261,325,12,129,2902
20397,98,38,2,30,30,172,262,328,12,127,2932
20486,99,42,2,7,7,174,263,330,12,125,2939
