TestNo,TestName
1,org.scribe.builder.ServiceBuilderTest[shouldNotAcceptNullAsCallback]
2,org.scribe.builder.ServiceBuilderTest[shouldAcceptValidCallbackUrl]
3,org.scribe.builder.ServiceBuilderTest[shouldAcceptAnScope]
4,org.scribe.builder.ServiceBuilderTest[shouldReturnConfigDefaultValues]
5,org.scribe.extractors.BaseStringExtractorTest[shouldThrowExceptionIfRquestHasNoOAuthParameters]
6,org.scribe.extractors.BaseStringExtractorTest[shouldThrowExceptionIfRquestIsNull]
7,org.scribe.extractors.JsonTokenExtractorTest[shouldThrowExceptionIfForNullParameters]
8,org.scribe.extractors.TokenExtractor20Test[shouldThrowExceptionIfResponseIsNull]
9,org.scribe.extractors.TokenExtractor20Test[shouldThrowExceptionIfResponseIsEmptyString]
10,org.scribe.extractors.TokenExtractor20Test[shouldExtractTokenFromResponseWithManyParameters]
11,org.scribe.extractors.TokenExtractor20Test[shouldThrowExceptionIfTokenIsAbsent]
12,org.scribe.extractors.TokenExtractorTest[shouldThrowExceptionIfResponseIsNull]
13,org.scribe.extractors.TokenExtractorTest[shouldThrowExceptionIfResponseIsEmptyString]
14,org.scribe.extractors.TokenExtractorTest[shouldThrowExceptionIfSecretIsAbsent]
15,org.scribe.extractors.TokenExtractorTest[shouldExtractTokenFromInvertedOAuthStandardResponse]
16,org.scribe.extractors.TokenExtractorTest[shouldExtractTokenWithEmptySecret]
17,org.scribe.extractors.TokenExtractorTest[shouldThrowExceptionIfTokenIsAbsent]
18,org.scribe.extractors.TokenExtractorTest[shouldExtractTokenFromResponseWithCallbackConfirmed]
19,org.scribe.model.OAuthRequestTest[shouldThrowExceptionIfParameterIsNotOAuth]
20,org.scribe.model.ParameterListTest[shouldThrowExceptionWhenAppendingNullMapToQuerystring]
21,org.scribe.model.ParameterListTest[shouldNotModifyTheOriginalParameterList]
22,org.scribe.model.RequestTest[shouldAutomaticallyAddContentTypeForPostRequestsWithBytePayload]
23,org.scribe.model.RequestTest[shouldAutomaticallyAddContentTypeForPostRequestsWithStringPayload]
24,org.scribe.model.RequestTest[shouldGetQueryStringParameters]
25,org.scribe.model.RequestTest[shouldAutomaticallyAddContentTypeForPostRequestsWithBodyParameters]
26,org.scribe.model.RequestTest[shouldNotAddContentTypeForGetRequests]
27,org.scribe.model.RequestTest[shouldAddRequestHeaders]
28,org.scribe.model.RequestTest[shouldSetRequestVerb]
29,org.scribe.model.RequestTest[shouldHandleQueryStringSpaceEncodingProperly]
30,org.scribe.model.ResponseTest[shouldParseBodyContents]
31,org.scribe.model.ResponseTest[shouldPopulateResponseHeaders]
32,org.scribe.model.ResponseTest[shouldHandleAConnectionWithErrors]
33,org.scribe.model.TokenTest[shouldNotBeEqualToNullOrOtherObjects]
34,org.scribe.model.TokenTest[shouldNotDependOnRawString]
35,org.scribe.services.HMACSha1SignatureServiceTest[shouldReturnSignatureMethodString]
36,org.scribe.services.HMACSha1SignatureServiceTest[shouldThrowExceptionIfBaseStringIsEmpty]
37,org.scribe.services.HMACSha1SignatureServiceTest[shouldThrowExceptionIfApiSecretIsNull]
38,org.scribe.services.RSASha1SignatureServiceTest[shouldReturnSignatureMethodString]
39,org.scribe.services.TimestampServiceTest[shouldReturnTimestampInSeconds]
40,org.scribe.utils.MapUtilsTest[shouldHandleNullInputs]
41,org.scribe.utils.MapUtilsTest[shouldHandleEmptyMap]
42,org.scribe.utils.OAuthEncoderTest[shouldNotPercentEncodeReservedCharacters]
43,org.scribe.utils.OAuthEncoderTest[shouldPercentEncodeCorrectlyTwitterCodingExamples]
44,org.scribe.utils.OAuthEncoderTest[shouldPercentEncodeAllSpecialCharacters]
45,org.scribe.utils.OAuthEncoderTest[shouldFormURLDecodeString]
46,org.scribe.utils.OAuthEncoderTest[shouldThrowExceptionIfStringToDecodeIsNull]
47,org.scribe.utils.PreconditionsTest[shouldAllowSSLUrls]
48,org.scribe.utils.PreconditionsTest[shouldNotAllowUnderscoreInScheme]
49,org.scribe.utils.PreconditionsTest[shouldThrowExceptionForSpacesOnlyStrings]
50,org.scribe.utils.PreconditionsTest[shouldAllowSpecialCharsInScheme]
51,org.scribe.utils.PreconditionsTest[shouldNotAllowStrangeProtocolNames]
52,org.scribe.utils.PreconditionsTest[shouldAllowNonStandarProtocolsForAndroid]
53,org.scribe.utils.PreconditionsTest[shouldThrowExceptionForNullStrings]
54,org.scribe.utils.PreconditionsTest[shouldAllowOutOfBandAsValidCallbackValue]
55,org.scribe.utils.PreconditionsTest[shouldThrowExceptionForNullObjects]
56,org.scribe.utils.PreconditionsTest[shouldThrowExceptionForEmptyStrings]
57,org.scribe.utils.PreconditionsTest[shouldThrowExceptionForNullUrls]
58,org.scribe.extractors.BaseStringExtractorTest[shouldIncludePort8080]
59,org.scribe.extractors.BaseStringExtractorTest[shouldExcludePort443]
60,org.scribe.extractors.HeaderExtractorTest[shouldExceptionIfRequestHasNoOAuthParams]
61,org.scribe.extractors.JsonTokenExtractorTest[shouldThrowExceptionIfForEmptyStrings]
62,org.scribe.extractors.JsonTokenExtractorTest[shouldParseResponse]
63,org.scribe.extractors.TokenExtractor20Test[shouldExtractTokenFromResponseWithExpiresParam]
64,org.scribe.model.ParameterListTest[shouldAppendNothingToQuerystringIfGivenEmptyMap]
65,org.scribe.model.ParameterListTest[shouldProperlySortParameters]
66,org.scribe.model.ParameterListTest[shouldAppendParametersToUrlWithQuerystring]
67,org.scribe.model.ParameterListTest[shouldProperlySortParametersWithTheSameName]
68,org.scribe.model.RequestTest[shouldAllowAddingQuerystringParametersAfterCreation]
69,org.scribe.model.RequestTest[shouldBeAbleToOverrideItsContentType]
70,org.scribe.model.RequestTest[shouldSetBodyParamsAndAddContentLength]
71,org.scribe.model.RequestTest[shouldReturnTheCompleteUrl]
72,org.scribe.model.TokenTest[shouldReturnSameHashCodeForEqualObjects]
73,org.scribe.model.TokenTest[shouldTestEqualityBasedOnTokenAndSecret]
74,org.scribe.services.HMACSha1SignatureServiceTest[shouldThrowExceptionIfApiSecretIsEmpty]
75,org.scribe.services.TimestampServiceTest[shouldReturnNonce]
76,org.scribe.utils.MapUtilsTest[shouldPrettyPrintMap]
77,org.scribe.utils.OAuthEncoderTest[shouldThrowExceptionIfStringToEncodeIsNull]
78,org.scribe.utils.PreconditionsTest[shouldAllowValidUrls]
79,org.scribe.utils.PreconditionsTest[shouldThrowExceptionForInvalidUrls]
80,org.scribe.utils.StreamUtilsTest[shouldCorrectlyDecodeAStream]
81,org.scribe.extractors.BaseStringExtractorTest[shouldProperlyEncodeSpaces]
82,org.scribe.extractors.BaseStringExtractorTest[shouldExcludePort80]
83,org.scribe.extractors.BaseStringExtractorTest[shouldExtractBaseStringFromOAuthRequest]
84,org.scribe.extractors.BaseStringExtractorTest[shouldExcludePort443_2]
85,org.scribe.services.HMACSha1SignatureServiceTest[shouldThrowExceptionIfBaseStringIsNull]
86,org.scribe.utils.StreamUtilsTest[shouldFailForNullParameter]
87,org.scribe.extractors.TokenExtractor20Test[shouldExtractTokenFromOAuthStandardResponse]
88,org.scribe.extractors.TokenExtractorTest[shouldExtractTokenFromOAuthStandardResponse]
89,org.scribe.model.ParameterListTest[shouldAppendParametersToSimpleUrl]
90,org.scribe.model.ResponseTest[shouldParseBodyContentsOnlyOnce]
91,org.scribe.utils.OAuthEncoderTest[shouldPercentEncodeString]
92,org.scribe.model.OAuthRequestTest[shouldAddOAuthParamters]
93,org.scribe.builder.ServiceBuilderTest[shouldAcceptASignatureType]
94,org.scribe.extractors.HeaderExtractorTest[shouldExceptionIfRequestIsNull]
95,org.scribe.extractors.HeaderExtractorTest[shouldExtractStandardHeader]
96,org.scribe.model.RequestTest[shouldSetPayloadAndHeaders]
97,org.scribe.extractors.BaseStringExtractorTest[shouldExcludePort80_2]
98,org.scribe.services.HMACSha1SignatureServiceTest[shouldReturnSignature]
99,org.scribe.services.RSASha1SignatureServiceTest[shouldReturnSignature]
