TestNo,MutantNo
1,1
1,480
1,485
1,486
1,509
1,532
1,542
1,569
1,622
1,624
1,634
1,636
1,638
1,639
1,640
1,650
1,651
1,657
1,661
1,662
1,675
1,676
1,678
1,679
1,680
1,681
1,682
1,683
1,685
1,686
1,687
1,688
1,690
1,693
1,694
1,695
1,696
1,1487
1,1488
1,1490
1,1491
1,1610
1,1779
2,480
2,485
2,486
2,509
2,532
2,542
2,569
2,622
2,624
2,634
2,636
2,638
2,639
2,640
2,650
2,651
2,657
2,661
2,662
2,675
2,676
2,678
2,679
2,680
2,681
2,682
2,683
2,685
2,686
2,687
2,688
2,690
2,693
2,694
2,695
2,696
2,1757
3,391
3,480
3,485
3,486
3,509
3,532
3,542
3,569
3,622
3,624
3,634
3,636
3,638
3,639
3,640
3,650
3,651
3,657
3,661
3,662
3,675
3,676
3,678
3,679
3,680
3,681
3,682
3,683
3,685
3,686
3,687
3,688
3,690
3,693
3,694
3,695
3,696
3,1509
3,1510
3,1512
3,1513
3,1610
3,1779
4,480
4,698
4,699
4,700
5,480
5,698
5,699
5,700
6,472
6,475
6,1869
7,1942
8,54
8,456
8,991
8,994
8,995
8,996
8,997
8,998
8,999
8,1000
8,1001
8,1002
8,1003
8,1004
8,1005
8,1006
8,1007
8,1008
8,1009
8,1010
8,1011
8,1012
8,1013
8,1014
8,1015
8,1016
8,1018
8,1020
8,1022
8,1024
9,654
9,655
9,657
9,663
9,665
9,1579
9,1581
9,1582
9,1585
10,1869
10,1870
10,1872
10,1873
11,480
11,509
11,569
11,622
11,624
11,634
11,636
11,638
11,640
11,657
11,662
11,675
11,676
11,680
11,681
11,682
11,683
11,685
11,686
11,687
11,688
11,690
11,693
11,695
12,1138
13,391
13,480
13,485
13,486
13,509
13,532
13,542
13,569
13,622
13,624
13,634
13,636
13,638
13,639
13,640
13,650
13,651
13,657
13,661
13,662
13,675
13,676
13,678
13,679
13,680
13,681
13,682
13,683
13,685
13,686
13,687
13,688
13,690
13,693
13,694
13,695
13,696
13,1509
13,1510
13,1512
13,1513
13,1610
13,1779
14,391
14,480
14,485
14,486
14,509
14,532
14,542
14,569
14,622
14,624
14,634
14,636
14,638
14,639
14,640
14,650
14,651
14,657
14,661
14,662
14,675
14,676
14,678
14,679
14,680
14,681
14,682
14,683
14,685
14,686
14,687
14,688
14,690
14,693
14,694
14,695
14,696
14,1509
14,1510
14,1512
14,1513
14,1610
14,1779
15,480
15,482
15,485
15,486
15,487
15,488
15,489
15,490
15,491
15,493
15,494
15,496
15,509
15,532
