MutantNo,[FAIL | TIME | EXC | LIVE]
1,FAIL
54,FAIL
57,LIVE
140,LIVE
141,FAIL
142,LIVE
143,FAIL
144,FAIL
145,FAIL
146,FAIL
147,FAIL
148,FAIL
149,FAIL
150,LIVE
151,FAIL
152,FAIL
153,FAIL
154,LIVE
155,FAIL
156,FAIL
157,FAIL
158,FAIL
159,FAIL
160,FAIL
161,FAIL
162,LIVE
163,FAIL
164,FAIL
165,FAIL
269,FAIL
291,FAIL
294,LIVE
298,FAIL
391,FAIL
456,FAIL
470,LIVE
471,LIVE
472,FAIL
473,LIVE
474,LIVE
475,FAIL
476,LIVE
479,LIVE
480,FAIL
481,LIVE
482,FAIL
483,LIVE
484,LIVE
485,FAIL
486,FAIL
487,FAIL
488,FAIL
489,FAIL
490,FAIL
491,FAIL
492,LIVE
493,FAIL
494,FAIL
495,LIVE
496,FAIL
502,LIVE
503,LIVE
504,LIVE
505,LIVE
506,LIVE
507,LIVE
508,LIVE
509,FAIL
510,LIVE
511,LIVE
512,LIVE
513,LIVE
514,LIVE
515,LIVE
516,LIVE
517,LIVE
518,LIVE
519,LIVE
520,LIVE
532,FAIL
533,LIVE
534,LIVE
535,LIVE
536,LIVE
537,LIVE
538,LIVE
539,LIVE
540,LIVE
541,LIVE
542,FAIL
543,LIVE
560,LIVE
561,LIVE
562,LIVE
563,LIVE
564,LIVE
565,LIVE
566,LIVE
567,LIVE
568,LIVE
569,FAIL
573,LIVE
597,LIVE
598,LIVE
599,LIVE
600,LIVE
615,LIVE
616,LIVE
617,LIVE
621,LIVE
622,FAIL
623,FAIL
624,FAIL
625,FAIL
627,LIVE
628,LIVE
629,LIVE
630,LIVE
631,LIVE
632,LIVE
633,LIVE
634,FAIL
635,FAIL
636,FAIL
637,LIVE
638,FAIL
639,FAIL
640,FAIL
641,LIVE
642,LIVE
649,LIVE
650,FAIL
651,FAIL
652,FAIL
654,FAIL
655,FAIL
656,LIVE
657,FAIL
658,LIVE
659,LIVE
660,LIVE
661,FAIL
662,FAIL
663,FAIL
664,LIVE
665,FAIL
666,LIVE
667,LIVE
668,LIVE
669,LIVE
672,LIVE
673,FAIL
674,LIVE
675,FAIL
676,FAIL
677,LIVE
678,FAIL
679,FAIL
680,FAIL
681,FAIL
682,FAIL
683,FAIL
684,FAIL
685,FAIL
686,FAIL
687,FAIL
688,FAIL
689,LIVE
690,FAIL
691,FAIL
692,FAIL
693,FAIL
694,FAIL
695,FAIL
696,FAIL
697,LIVE
698,FAIL
699,FAIL
700,FAIL
701,LIVE
991,FAIL
994,FAIL
995,FAIL
996,FAIL
997,FAIL
998,FAIL
999,FAIL
1000,FAIL
1001,FAIL
1002,FAIL
1003,FAIL
1004,FAIL
1005,FAIL
1006,FAIL
1007,FAIL
1008,FAIL
1009,FAIL
1010,FAIL
1011,FAIL
1012,FAIL
1013,FAIL
1014,FAIL
1015,FAIL
1016,FAIL
1017,LIVE
1018,FAIL
1019,LIVE
1020,FAIL
1021,LIVE
1022,FAIL
1023,LIVE
1024,FAIL
1025,LIVE
1079,LIVE
1080,FAIL
1081,FAIL
1082,LIVE
1083,FAIL
1084,FAIL
1093,LIVE
1094,FAIL
1095,LIVE
1138,FAIL
1289,LIVE
1290,FAIL
1295,FAIL
1296,FAIL
1314,FAIL
1315,FAIL
1317,FAIL
1318,FAIL
1319,FAIL
1320,FAIL
1321,FAIL
1322,FAIL
1437,FAIL
1450,FAIL
1452,LIVE
1453,LIVE
1485,LIVE
1487,FAIL
1488,FAIL
1489,LIVE
1490,FAIL
1491,FAIL
1500,FAIL
1509,FAIL
1510,FAIL
1511,LIVE
1512,FAIL
1513,FAIL
1578,LIVE
1579,FAIL
1580,LIVE
1581,FAIL
1582,FAIL
1585,FAIL
1610,FAIL
1752,FAIL
1755,LIVE
1756,LIVE
1757,FAIL
1758,LIVE
1760,LIVE
1762,LIVE
1764,LIVE
1771,LIVE
1773,LIVE
1777,LIVE
1778,LIVE
1779,FAIL
1794,FAIL
1795,FAIL
1796,FAIL
1797,FAIL
1798,FAIL
1799,FAIL
1800,FAIL
1801,LIVE
1831,LIVE
1869,FAIL
1870,FAIL
1871,LIVE
1872,FAIL
1873,FAIL
1875,LIVE
1936,LIVE
1942,FAIL
1943,LIVE
