TestNo,MutantNo
1,44
2,322
2,323
2,324
2,325
3,331
4,44
5,44
6,116
6,117
6,118
6,119
7,128
7,129
7,130
7,131
7,132
7,133
7,134
7,135
7,136
7,137
7,138
7,139
7,140
7,141
7,142
7,143
7,144
7,145
7,146
7,147
8,128
8,129
8,130
8,131
8,132
8,133
8,134
8,135
8,136
8,137
8,138
8,139
8,140
8,141
8,142
8,143
8,144
8,145
8,146
8,147
9,128
9,129
9,130
9,131
9,132
9,133
9,134
9,135
9,136
9,137
9,138
9,139
9,140
9,141
9,142
9,143
9,144
9,145
9,146
9,147
10,128
10,129
10,130
10,131
10,132
10,133
10,134
10,135
10,136
10,137
10,138
10,139
10,140
10,141
10,142
10,143
10,144
10,145
10,146
10,147
11,128
11,129
11,130
11,131
11,132
11,133
11,134
11,135
11,136
11,137
11,138
11,139
11,140
11,141
11,142
11,143
11,144
11,145
11,146
11,147
12,128
12,129
12,130
12,131
12,132
13,44
14,44
15,1
15,2
15,3
15,4
15,5
15,6
15,7
15,8
15,9
15,10
15,11
15,12
15,13
15,14
15,15
15,16
15,17
15,18
15,27
15,28
15,29
15,30
15,31
15,32
15,39
15,40
15,41
15,44
15,45
16,1
16,2
16,3
16,4
16,5
16,6
16,7
16,8
16,9
16,10
16,11
16,12
16,13
16,14
16,15
16,16
16,17
16,18
16,27
16,28
16,29
16,30
16,31
16,32
16,39
16,40
16,41
16,44
16,45
18,113
19,254
20,148
20,149
20,150
20,151
20,152
20,153
20,154
20,155
20,156
21,44
22,114
22,128
22,129
22,130
22,131
22,132
22,133
22,134
22,146
22,147
23,128
23,129
23,130
23,131
23,132
23,133
23,134
23,135
23,136
23,137
23,138
23,139
23,140
23,141
23,142
23,143
23,144
23,145
23,146
23,147
24,255
24,257
25,322
25,323
25,324
25,325
26,114
26,115
26,128
27,116
27,117
27,118
27,119
28,255
28,256
28,331
28,332
28,333
28,334
28,335
28,336
28,337
28,338
28,339
28,340
28,341
28,342
28,343
28,344
28,345
28,346
28,347
28,348
28,349
28,350
29,1
29,2
29,3
29,4
29,5
29,6
29,7
29,8
29,9
29,10
29,11
29,12
29,13
29,14
29,15
29,16
29,17
29,18
29,27
29,28
29,29
29,30
29,31
29,32
29,39
29,40
29,41
29,44
29,45
30,148
30,149
30,150
30,151
30,156
31,331
31,332
31,333
31,334
31,335
31,336
31,337
31,338
31,339
31,340
31,341
31,342
31,343
31,344
31,345
31,346
31,347
31,348
31,349
31,350
