TestNo,TestName
1,org.sonar.objectivec.lexer.ObjectiveCLexerTest[lexInlineComment]
2,org.sonar.plugins.objectivec.violations.OCLintSensorTest[shouldExecuteOnProjectShouldBeTrueWhenProjectIsObjc]
3,org.sonar.plugins.objectivec.violations.OCLintXMLStreamHandlerTest[streamLeavesTheCollectionEmptyWhenNoLinesAreFound]
4,org.sonar.objectivec.lexer.ObjectiveCLexerTest[lexEndOflineComment]
5,org.sonar.objectivec.lexer.ObjectiveCLexerTest[lexLineOfCode]
6,org.sonar.plugins.objectivec.coverage.CoberturaSensorTest[shouldExecuteOnProjectShouldBeTrueWhenProjectIsObjc]
7,org.sonar.plugins.objectivec.coverage.CoberturaXMLStreamHandlerTest[streamRecordsHitsForLinesWithBranch]
8,org.sonar.plugins.objectivec.coverage.CoberturaXMLStreamHandlerTest[streamRecordsConditionsHitsForLinesWithBranch]
9,org.sonar.plugins.objectivec.coverage.CoberturaXMLStreamHandlerTest[streamRecordsConditionsForLinesWithBranch]
10,org.sonar.plugins.objectivec.coverage.CoberturaXMLStreamHandlerTest[streamRecordsHitsForLinesWithNoBranch]
11,org.sonar.plugins.objectivec.coverage.CoberturaXMLStreamHandlerTest[streamRecords0HitsForLinesWithNoHits]
12,org.sonar.plugins.objectivec.coverage.CoberturaXMLStreamHandlerTest[streamLeavesTheMapEmptyWhenNoLinesAreFound]
13,org.sonar.objectivec.lexer.ObjectiveCLexerTest[lexEmptyLine]
14,org.sonar.objectivec.lexer.ObjectiveCLexerTest[lexSampleFile]
15,org.sonar.objectivec.ObjectiveCAstScannerTest[lines_of_code]
16,org.sonar.objectivec.ObjectiveCAstScannerTest[lines]
17,org.sonar.objectivec.api.ObjectiveCPunctuatorTest[test]
18,org.sonar.plugins.objectivec.coverage.CoberturaParserTest[parseReportShouldReturnAnEmptyMapWhenTheFileIsInvalid]
19,org.sonar.plugins.objectivec.violations.OCLintParserTest[parseReportShouldReturnAnEmptyMapWhenTheFileIsInvalid]
20,org.sonar.plugins.objectivec.coverage.CoberturaMeasuresPersistorTest[shouldPersistMeasuresForKnownFiles]
21,org.sonar.objectivec.lexer.ObjectiveCLexerTest[lexMultiLinesComment]
22,org.sonar.plugins.objectivec.coverage.CoberturaParserTest[parseReportShouldReturnAMapOfFileToMeasuresWhenTheReportIsValid]
23,org.sonar.plugins.objectivec.coverage.CoberturaXMLStreamHandlerTest[streamAddsACoverageMeasureBuilderForClassesInTheReport]
24,org.sonar.plugins.objectivec.violations.OCLintParserTest[parseReportShouldReturnAnEmptyCollectionWhenTheReportIsInvalid]
25,org.sonar.plugins.objectivec.violations.OCLintSensorTest[shouldExecuteOnProjectShouldBeFalseWhenProjectIsSomethingElse]
26,org.sonar.plugins.objectivec.coverage.CoberturaParserTest[parseReportShouldReturnAnEmptyMapWhenTheReportIsInvalid]
27,org.sonar.plugins.objectivec.coverage.CoberturaSensorTest[shouldExecuteOnProjectShouldBeFalseWhenProjectIsSomethingElse]
28,org.sonar.plugins.objectivec.violations.OCLintParserTest[parseReportShouldReturnACollectionOfViolationsWhenTheReportIsNotEmpty]
29,org.sonar.objectivec.ObjectiveCAstScannerTest[comments]
30,org.sonar.plugins.objectivec.coverage.CoberturaMeasuresPersistorTest[shouldNotPersistMeasuresForUnknownFiles]
31,org.sonar.plugins.objectivec.violations.OCLintXMLStreamHandlerTest[streamAddAviolationForALineInTheReport]
