TestNo,MutantNo
3,1
3,4
3,52
3,53
3,73
3,74
3,76
3,130
3,131
3,133
3,146
3,147
3,148
3,149
3,150
3,154
3,156
3,157
3,161
3,183
3,186
3,187
4,154
4,156
4,157
4,183
4,188
4,189
4,190
4,191
4,192
5,1
5,4
5,52
5,53
5,73
5,74
5,76
5,130
5,131
5,133
5,146
5,147
5,148
5,149
5,150
5,154
5,156
5,157
5,161
5,183
5,186
5,187
6,4
6,73
6,74
6,154
6,156
6,157
6,183
6,186
6,187
7,52
7,53
7,133
7,137
7,138
7,139
7,140
7,141
7,142
7,143
7,144
7,145
7,154
7,156
7,157
7,161
7,183
7,186
7,187
8,104
8,112
8,113
8,115
8,116
8,117
8,127
8,133
8,134
8,135
9,80
9,81
9,82
9,83
9,84
9,85
9,86
9,87
9,88
9,89
9,91
9,92
9,93
9,94
9,95
9,130
9,131
10,110
10,119
10,120
10,122
10,123
10,124
10,129
10,133
10,134
10,135
11,104
11,119
11,120
12,137
12,138
12,139
12,140
12,141
12,142
12,143
12,144
12,145
14,133
14,134
14,135
14,136
15,80
15,81
15,82
15,83
15,84
15,85
15,86
15,87
16,80
16,81
16,83
16,84
16,85
16,86
16,87
16,88
16,89
16,90
16,91
16,92
16,93
16,94
16,95
16,96
16,97
16,130
16,131
17,137
17,138
17,139
17,140
17,141
17,142
17,143
17,144
17,145
18,104
18,112
18,113
18,133
18,134
18,135
20,133
20,137
20,138
20,139
20,140
20,141
20,142
20,143
20,144
20,145
25,153
25,200
25,201
25,202
25,203
25,204
25,205
25,206
25,207
25,208
25,209
25,210
25,211
25,212
25,213
25,214
25,215
25,216
26,153
26,200
26,201
26,202
26,203
26,204
26,205
26,206
26,207
26,208
26,209
26,210
26,211
26,212
26,213
26,214
26,215
26,216
28,153
28,200
28,201
28,202
28,203
28,204
28,205
28,206
28,207
28,208
28,209
28,210
28,211
28,212
28,213
28,214
28,215
28,216
29,153
29,208
29,209
29,210
30,222
31,9
31,11
31,12
31,104
31,112
31,113
31,114
31,127
31,154
31,156
31,157
31,158
31,161
31,183
31,184
31,186
31,187
32,1
32,4
32,73
32,74
32,76
32,81
32,83
32,84
32,85
32,86
32,87
32,88
32,89
32,90
32,91
32,92
32,93
32,94
32,95
32,96
32,97
32,112
32,113
32,115
32,117
32,119
32,120
32,122
32,123
32,130
32,131
32,154
32,155
32,156
32,157
32,160
32,161
32,162
32,169
32,170
32,172
32,174
32,175
32,176
32,177
32,178
32,183
32,186
32,187
32,217
32,218
33,1
33,4
33,73
33,74
33,76
33,81
33,83
33,84
33,85
33,86
33,87
33,88
33,89
33,90
33,91
33,92
33,93
33,94
33,95
33,96
33,97
33,112
33,113
33,115
33,117
33,119
33,120
33,122
33,123
33,130
33,131
33,154
33,155
33,156
33,157
33,160
33,161
33,162
33,169
33,170
33,172
33,174
33,175
33,176
33,177
33,178
33,183
33,186
33,187
33,217
33,218
34,5
34,73
34,74
34,76
34,130
34,131
34,146
34,147
34,149
34,154
34,156
34,157
34,161
34,183
34,186
34,187
35,1
35,4
35,73
35,74
35,76
35,81
35,83
35,84
35,85
35,86
35,87
35,88
35,89
35,90
35,91
35,92
35,93
35,94
35,95
35,96
35,97
35,112
35,113
35,115
35,117
35,119
35,120
35,122
35,123
35,130
35,131
35,154
35,155
35,156
35,157
35,160
35,161
35,162
35,169
35,170
35,172
35,174
35,175
35,176
35,177
35,178
35,183
35,186
35,187
35,217
35,218
36,1
36,7
36,52
36,53
36,81
36,82
36,83
36,84
36,85
36,86
36,87
36,88
36,89
36,90
36,91
36,92
36,93
36,94
36,95
36,96
36,97
36,130
36,131
36,133
36,154
36,156
36,157
36,161
36,162
36,169
36,170
36,172
36,174
36,175
36,183
36,186
36,187
36,222
37,110
37,119
37,120
37,122
37,123
37,129
38,110
38,112
38,113
39,104
39,112
39,113
39,115
39,117
39,127
40,110
40,119
40,120
40,122
40,123
40,129
41,110
41,119
41,120
41,122
41,123
41,124
41,129
41,133
41,134
41,135
42,104
42,112
42,113
42,115
42,116
42,117
42,127
42,133
42,134
42,135
43,110
43,119
43,120
43,122
43,123
43,124
43,129
43,133
43,134
43,135
44,104
44,112
44,113
44,115
44,117
44,127
45,104
45,112
45,113
45,115
45,116
45,117
45,127
45,133
45,134
45,135
46,142
46,143
46,144
46,145
47,110
47,119
47,120
47,133
47,134
47,135
47,136
49,1
49,79
49,81
49,83
49,84
49,85
49,86
49,87
49,88
49,89
49,90
49,91
49,92
49,93
49,94
49,95
49,96
49,97
49,112
49,113
49,115
49,117
49,119
49,120
49,122
49,123
49,130
49,131
49,154
49,155
49,156
49,157
49,160
49,161
49,162
49,169
49,170
49,172
49,174
49,175
49,176
49,177
49,178
49,183
49,186
49,187
49,220
49,221
51,1
51,7
51,12
51,81
51,83
51,84
51,85
51,86
51,87
51,88
51,89
51,90
51,91
51,92
51,93
51,94
51,95
51,96
51,97
51,104
51,130
51,131
51,154
51,156
51,157
51,161
51,162
51,169
51,170
51,172
51,174
51,175
51,183
51,186
51,187
51,222
52,153
52,200
52,201
52,202
52,203
52,204
52,205
52,206
52,207
52,208
52,209
52,210
52,211
52,212
52,213
52,214
52,215
52,216
53,1
53,9
53,11
53,12
53,76
53,81
53,83
53,84
53,85
53,86
53,87
53,88
53,89
53,90
53,91
53,92
53,93
53,94
53,95
53,96
53,97
53,104
53,112
53,113
53,114
53,119
53,120
53,121
53,127
53,130
53,131
53,154
53,155
53,156
53,157
53,160
53,161
53,162
53,169
53,170
53,172
53,174
53,175
53,176
53,177
53,178
53,183
53,186
53,187
53,217
53,218
54,80
54,81
54,82
54,83
54,84
54,85
54,86
54,87
54,88
54,89
54,90
54,91
54,92
54,93
54,94
54,95
54,96
54,97
54,130
54,131
54,133
55,217
55,218
57,5
57,73
57,74
57,76
57,81
57,83
57,84
57,85
57,86
57,87
57,88
57,89
57,90
57,91
57,92
57,93
57,94
57,95
57,96
57,97
57,112
57,113
57,115
57,117
57,119
57,120
57,122
57,123
57,130
57,131
57,154
57,155
57,156
57,157
57,160
57,161
57,162
57,169
57,170
57,172
57,174
57,175
57,176
57,177
57,178
57,183
57,186
57,187
57,217
57,218
58,154
58,156
58,157
58,183
59,12
59,104
59,154
59,156
59,157
59,183
59,186
59,187
60,1
60,4
60,73
60,74
60,76
60,81
60,83
60,84
60,85
60,86
60,87
60,88
60,89
60,90
60,91
60,92
60,93
60,94
60,95
60,96
60,97
60,112
60,113
60,115
60,117
60,119
60,120
60,122
60,123
60,130
60,131
60,154
60,155
60,156
60,157
60,160
60,161
60,162
60,169
60,170
60,172
60,174
60,175
60,176
60,177
60,178
60,183
60,186
60,187
60,217
60,218
61,1
61,57
61,58
61,79
61,81
61,83
61,84
61,85
61,86
61,87
61,88
61,89
61,90
61,91
61,92
61,93
61,94
61,95
61,96
61,97
61,112
61,113
61,115
61,117
61,119
61,120
61,122
61,123
61,130
61,131
61,153
61,154
61,155
61,156
61,157
61,160
61,161
61,164
61,169
61,170
61,171
61,172
61,174
61,175
61,176
61,177
61,178
61,183
61,186
61,187
61,188
61,189
61,190
61,191
61,200
61,201
61,202
61,203
61,204
61,205
61,206
61,207
61,208
61,209
61,210
61,211
61,212
61,213
61,214
61,215
61,216
61,220
61,221
