TestNo,MutantNo
3,1
3,52
3,74
3,76
3,130
3,131
3,146
3,148
3,149
3,150
3,154
3,186
3,187
4,188
4,190
4,191
4,192
5,1
5,74
5,76
5,130
5,131
5,146
5,148
5,149
5,154
5,186
5,187
6,4
6,73
6,186
7,52
7,139
7,143
7,144
7,154
7,186
7,187
8,104
8,117
8,127
9,80
9,82
9,85
9,89
9,92
9,93
9,130
10,110
10,120
10,122
10,123
10,124
10,129
10,135
12,137
12,138
12,141
12,145
14,133
14,134
14,136
15,80
15,82
15,85
15,87
16,83
16,88
16,90
16,91
16,92
16,94
16,96
16,97
16,130
16,131
17,139
17,143
17,144
18,113
20,137
20,138
20,141
20,145
25,202
25,206
25,209
25,212
25,214
26,153
26,200
26,212
26,215
26,216
28,153
28,205
28,211
28,212
28,215
28,216
29,153
29,210
30,222
31,9
31,11
31,12
31,104
31,112
31,114
31,127
31,154
31,156
31,158
31,184
31,186
31,187
32,1
32,74
32,76
32,83
32,88
32,90
32,91
32,92
32,94
32,96
32,97
32,115
32,123
32,130
32,131
32,154
32,155
32,160
32,161
32,162
32,170
32,174
32,175
32,177
32,186
32,187
32,217
32,218
33,1
33,74
33,76
33,83
33,88
33,90
33,91
33,92
33,94
33,96
33,97
33,115
33,123
33,130
33,131
33,154
33,155
33,160
33,161
33,162
33,170
33,174
33,175
33,177
33,186
33,187
33,217
33,218
34,74
34,130
34,147
34,149
34,186
35,1
35,74
35,76
35,83
35,88
35,90
35,91
35,92
35,94
35,96
35,97
35,115
35,123
35,130
35,131
35,154
35,155
35,160
35,161
35,162
35,170
35,174
35,175
35,177
35,186
35,187
35,217
35,218
36,1
36,7
36,52
36,81
36,83
36,84
36,87
36,88
36,90
36,91
36,92
36,94
36,96
36,97
36,130
36,131
36,154
36,170
36,175
36,186
36,187
36,222
37,110
37,122
37,123
37,129
39,104
39,115
39,117
39,127
40,110
40,122
40,123
40,129
41,110
41,122
41,129
42,104
42,113
42,115
42,116
42,117
42,127
42,135
43,110
43,120
43,122
43,123
43,124
43,129
43,135
44,104
44,115
44,117
44,127
45,104
45,113
45,115
45,116
45,117
45,127
45,135
46,144
47,120
47,133
47,134
47,136
49,1
49,79
49,83
49,88
49,90
49,91
49,92
49,94
49,96
49,97
49,115
49,123
49,130
49,131
49,154
49,155
49,160
49,161
49,162
49,170
49,174
49,175
49,177
49,186
49,187
49,220
49,221
51,1
51,7
51,83
51,88
51,90
51,91
51,92
51,94
51,96
51,97
51,130
51,131
51,154
51,157
51,170
51,175
51,183
51,186
51,187
51,222
52,202
52,206
52,209
52,212
52,214
53,1
53,9
53,11
53,12
53,76
53,83
53,88
53,90
53,91
53,92
53,94
53,96
53,97
53,104
53,112
53,114
53,127
53,130
53,131
53,154
53,162
53,170
53,174
53,175
53,178
53,186
53,187
53,217
53,218
54,81
54,83
54,84
54,87
54,88
54,90
54,91
54,92
54,94
54,96
54,97
54,130
54,131
55,217
55,218
57,74
57,76
57,83
57,88
57,89
57,90
57,91
57,92
57,94
57,96
57,97
57,115
57,123
57,130
57,131
57,154
57,155
57,160
57,161
57,162
57,170
57,174
57,175
57,177
57,186
57,187
57,217
57,218
58,154
59,154
59,157
59,183
59,186
60,1
60,74
60,76
60,83
60,88
60,90
60,91
60,92
60,94
60,96
60,97
60,115
60,123
60,130
60,131
60,154
60,155
60,160
60,161
60,162
60,170
60,174
60,175
60,177
60,186
60,187
60,217
60,218
61,1
61,57
61,58
61,79
61,83
61,88
61,90
61,91
61,92
61,94
61,96
61,97
61,115
61,123
61,130
61,131
61,154
61,155
61,160
61,161
61,164
61,174
61,175
61,177
61,186
61,187
61,189
61,202
61,206
61,209
61,212
61,214
61,220
61,221
