CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
1,1,1,0,0,0,0,0,0,0,119,0
1,2,1,0,0,0,0,0,0,0,119,0
511,3,1,13,22,22,13,9,4,0,106,22
674,4,1,4,9,9,17,13,4,0,102,31
1137,5,1,0,22,22,17,20,8,0,102,53
1319,6,1,2,9,9,19,22,9,0,100,62
1690,7,1,3,19,19,22,28,10,0,97,81
1770,8,1,3,10,10,25,31,10,0,94,91
1917,9,1,6,17,17,31,33,15,0,88,108
1995,10,1,7,10,10,38,39,16,0,81,118
2019,11,1,0,3,3,38,39,16,0,81,121
2092,12,1,4,9,9,42,40,19,0,77,130
2092,13,1,0,0,0,42,40,19,0,77,130
2119,14,1,3,4,4,45,43,19,0,74,134
2172,15,1,1,8,8,46,44,22,0,73,142
2330,16,1,7,19,19,53,47,29,0,66,161
2396,17,1,0,9,9,53,50,29,0,66,170
2441,18,1,1,6,6,54,51,29,0,65,176
2441,19,1,0,0,0,54,51,29,0,65,176
2512,20,1,0,10,10,54,52,32,0,65,186
2512,21,1,0,0,0,54,52,32,0,65,186
2512,22,1,0,0,0,54,52,32,0,65,186
2512,23,1,0,0,0,54,52,32,0,65,186
2512,24,1,0,0,0,54,52,32,0,65,186
2590,25,1,5,18,18,59,52,37,0,60,204
2684,26,1,4,18,18,63,55,39,0,56,222
2684,27,1,0,0,0,63,55,39,0,56,222
2756,28,1,2,18,18,65,60,40,0,54,240
2772,29,1,1,4,4,66,62,40,0,53,244
2777,30,2,1,1,1,67,63,40,0,52,245
3106,31,2,8,17,17,75,75,41,0,44,262
4046,32,2,11,51,51,86,81,63,0,33,313
5074,33,2,0,51,51,86,87,85,0,33,364
5351,34,2,1,16,16,87,88,89,0,32,380
6309,35,2,0,51,51,87,94,111,0,32,431
7004,36,2,3,38,38,90,94,133,0,29,469
7049,37,2,0,6,6,90,97,134,0,29,475
7070,38,2,0,3,3,90,97,134,0,29,478
7115,39,2,0,6,6,90,100,135,0,29,484
7161,40,2,0,6,6,90,103,136,0,29,490
7230,41,2,0,10,10,90,106,136,0,29,500
7330,42,2,1,10,10,91,112,137,0,28,510
7404,43,2,0,10,10,91,118,138,0,28,520
7446,44,2,0,6,6,91,121,139,0,28,526
7522,45,2,0,10,10,91,127,140,0,28,536
7548,46,2,0,4,4,91,128,140,0,28,540
7602,47,2,0,7,7,91,132,140,0,28,547
7602,48,2,0,0,0,91,132,140,0,28,547
8573,49,3,3,48,48,94,138,161,0,25,595
8574,50,3,0,0,0,94,138,161,0,25,595
9271,51,3,2,36,36,96,140,179,0,23,631
9341,52,3,0,18,18,96,140,184,0,23,649
10345,53,4,1,51,51,97,151,202,0,22,700
10499,54,4,0,21,21,97,156,210,0,22,721
10510,55,5,0,2,2,97,158,210,0,22,723
10510,56,5,0,0,0,97,158,210,0,22,723
11504,57,10,0,50,50,97,164,232,0,22,773
11561,58,17,0,4,4,97,165,232,0,22,777
11697,59,26,0,8,8,97,168,233,0,22,785
12662,60,26,0,51,51,97,174,255,0,22,836
14227,61,48,4,73,73,101,180,283,0,18,909
