TestNo,TestName
1,com.github.oxo42.stateless4j.IgnoredTriggerBehaviourTests[WhenGuardConditionTrue_IsGuardConditionMetIsTrue]
2,com.github.oxo42.stateless4j.IgnoredTriggerBehaviourTests[WhenGuardConditionFalse_IsGuardConditionMetIsFalse]
3,com.github.oxo42.stateless4j.StateMachineTests[PermittedTriggersIncludeSuperstatePermittedTriggers]
4,com.github.oxo42.stateless4j.StateMachineTests[TriggerParametersAreImmutableOnceSet]
5,com.github.oxo42.stateless4j.StateMachineTests[PermittedTriggersAreDistinctValues]
6,com.github.oxo42.stateless4j.StateMachineTests[ImplicitReentryIsDisallowed]
7,com.github.oxo42.stateless4j.StateMachineTests[SubstateIsIncludedInCurrentState]
8,com.github.oxo42.stateless4j.StateRepresentationTests[WhenTransitioningFromSubToSuperstate_SubstateEntryActionsExecuted]
9,com.github.oxo42.stateless4j.StateRepresentationTests[WhenTransitionExistsButGuardConditionNotMet_TriggerCanBeFired]
10,com.github.oxo42.stateless4j.StateRepresentationTests[WhenLeavingSubstate_SuperExitActionsExecuted]
11,com.github.oxo42.stateless4j.StateRepresentationTests[UponLeaving_EnteringActionsNotExecuted]
12,com.github.oxo42.stateless4j.StateRepresentationTests[IsNotIncludedInUnrelatedState]
13,com.github.oxo42.stateless4j.StateRepresentationTests[IncludesUnderlyingState]
14,com.github.oxo42.stateless4j.StateRepresentationTests[IncludesSubstate]
15,com.github.oxo42.stateless4j.StateRepresentationTests[WhenTransitionExists_TriggerCanBeFired]
16,com.github.oxo42.stateless4j.StateRepresentationTests[WhenTransitionDoesNotExist_TriggerCannotBeFired]
17,com.github.oxo42.stateless4j.StateRepresentationTests[IsIncludedInSuperstate]
18,com.github.oxo42.stateless4j.StateRepresentationTests[WhenTransitioningToSuperFromSubstate_SuperEntryActionsNotExecuted]
19,com.github.oxo42.stateless4j.StateRepresentationTests[DoesNotIncludeUnrelatedState]
20,com.github.oxo42.stateless4j.StateRepresentationTests[IsNotIncludedInSubstate]
21,com.github.oxo42.stateless4j.StateRepresentationTests[DoesNotIncludeSuperstate]
22,com.github.oxo42.stateless4j.TransitionTests[IdentityTransitionIsNotChange]
23,com.github.oxo42.stateless4j.TriggerBehaviourTests[WhenGuardConditionTrue_IsGuardConditionMetIsTrue]
24,com.github.oxo42.stateless4j.TriggerBehaviourTests[WhenGuardConditionFalse_IsGuardConditionMetIsFalse]
25,com.github.oxo42.stateless4j.TriggerWithParametersTests[ParametersArePolymorphic]
26,com.github.oxo42.stateless4j.TriggerWithParametersTests[TooFewParametersDetected]
