TestNo,MutantNo
1,13
1,14
1,17
1,18
1,19
1,21
1,22
2,13
2,14
2,17
2,18
2,19
2,20
2,21
2,22
2,27
2,28
2,29
2,30
2,34
3,13
3,14
3,17
3,18
3,19
3,20
3,21
3,22
3,27
3,31
3,34
4,13
4,14
4,17
4,18
4,19
4,20
4,21
4,22
4,28
4,34
5,16
5,19
5,21
6,13
6,14
6,17
6,18
6,19
6,20
6,21
6,22
6,27
6,28
6,34
7,13
7,14
7,17
7,18
7,19
7,20
7,21
7,22
7,27
7,28
7,34
8,79
9,75
9,76
9,77
9,78
9,79
11,13
11,14
11,17
11,18
11,19
11,20
11,21
11,22
11,27
11,28
11,34
12,13
12,14
12,17
12,18
12,19
12,20
12,21
12,22
12,28
12,34
13,13
13,14
13,17
13,18
13,19
13,20
13,21
13,22
13,27
13,31
13,32
13,34
14,19
14,21
15,8
16,65
16,66
16,67
16,69
16,145
16,146
16,147
16,148
16,149
16,150
16,151
17,65
17,145
17,146
18,145
18,146
18,147
18,148
18,149
18,150
18,151
19,79
20,71
20,72
20,73
20,74
20,79
22,155
22,156
22,157
22,158
22,159
22,160
22,161
22,162
23,165
24,13
24,14
24,17
24,18
24,19
24,20
24,21
24,22
24,27
24,31
24,32
24,34
25,152
26,19
26,21
26,28
27,19
27,21
28,10
28,13
28,14
28,17
28,18
28,19
28,20
28,21
28,22
28,27
28,28
28,34
28,145
28,146
29,13
29,14
29,17
29,18
29,19
29,20
29,21
29,22
29,27
29,28
29,34
29,166
30,13
30,14
30,17
30,18
30,19
30,20
30,21
30,22
30,27
30,28
30,34
30,163
31,9
31,13
31,14
31,17
31,18
31,19
31,20
31,21
31,22
31,27
31,28
31,34
32,13
32,14
32,17
32,18
32,19
32,20
32,21
32,22
32,27
32,28
32,34
33,12
33,13
33,14
33,17
33,18
33,19
33,20
33,21
33,22
33,27
33,28
33,34
