MutantNo,[FAIL | TIME | EXC | LIVE]
8,FAIL
9,FAIL
10,FAIL
11,LIVE
12,FAIL
13,FAIL
14,FAIL
15,LIVE
16,FAIL
17,FAIL
18,FAIL
19,FAIL
20,FAIL
21,FAIL
22,FAIL
23,LIVE
24,LIVE
25,LIVE
26,LIVE
27,FAIL
28,FAIL
29,FAIL
30,FAIL
31,FAIL
32,FAIL
33,LIVE
34,FAIL
65,FAIL
66,FAIL
67,FAIL
68,LIVE
69,FAIL
70,LIVE
71,FAIL
72,FAIL
73,FAIL
74,FAIL
75,FAIL
76,FAIL
77,FAIL
78,FAIL
79,FAIL
132,LIVE
133,LIVE
134,LIVE
135,LIVE
136,LIVE
145,FAIL
146,FAIL
147,FAIL
148,FAIL
149,FAIL
150,FAIL
151,FAIL
152,FAIL
154,LIVE
155,FAIL
156,FAIL
157,FAIL
158,FAIL
159,FAIL
160,FAIL
161,FAIL
162,FAIL
163,FAIL
164,LIVE
165,FAIL
166,FAIL
