CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
99,1,1,7,10,10,7,7,0,0,61,10
310,2,1,6,20,20,13,9,11,0,55,30
523,3,1,1,19,19,14,9,22,0,54,49
707,4,1,0,20,20,14,9,32,0,54,69
778,5,1,1,10,10,15,12,32,0,53,79
958,6,1,0,20,20,15,12,43,0,53,99
1131,7,1,0,20,20,15,12,54,0,53,119
1214,8,1,1,5,5,16,13,54,0,52,124
1284,9,1,4,5,5,20,15,57,0,48,129
1285,10,1,0,0,0,20,15,57,0,48,129
1446,11,2,0,20,20,20,15,68,0,48,149
1621,12,2,0,20,20,20,15,78,0,48,169
1814,13,2,1,20,20,21,15,90,0,47,189
1916,14,2,0,13,13,21,17,90,0,47,202
1924,15,2,1,1,1,22,18,90,0,46,203
2031,16,2,11,13,13,33,28,91,0,35,216
2055,17,2,0,4,4,33,30,92,0,35,220
2089,18,2,0,7,7,33,36,93,0,35,227
2159,19,2,0,5,5,33,37,93,0,35,232
2285,20,2,4,9,9,37,42,93,0,31,241
2285,21,2,0,0,0,37,42,93,0,31,241
2327,22,2,8,9,9,45,50,93,0,23,250
2338,23,2,1,2,2,46,51,93,0,22,252
2518,24,3,0,20,20,46,51,105,0,22,272
2526,25,5,1,1,1,47,52,105,0,21,273
2652,26,8,0,16,16,47,52,108,0,21,289
2732,27,9,0,10,10,47,54,108,0,21,299
2970,28,9,1,27,27,48,56,120,0,20,326
3194,29,9,1,25,25,49,57,131,0,19,351
3433,30,10,1,25,25,50,58,142,0,18,376
3648,31,11,1,24,24,51,59,153,0,17,400
6188,32,186,0,23,23,51,59,164,0,17,423
10297,33,216,1,26,26,52,59,176,0,16,449
