TestNo,MutantNo
1,7
1,10
1,11
1,12
1,13
1,14
1,15
1,18
2,7
2,10
2,11
2,12
2,13
2,14
2,15
2,18
4,7
4,10
4,11
4,12
4,13
4,14
4,15
4,16
4,17
4,18
5,7
5,10
5,11
5,12
5,13
5,14
5,15
5,16
5,17
5,18
6,8
6,10
6,11
6,12
6,13
6,14
6,15
6,16
6,17
6,18
7,4
7,5
7,19
8,5
8,19
9,5
9,19
10,5
10,7
10,10
10,11
10,12
10,13
10,14
10,15
10,16
10,17
10,18
10,19
11,795
11,2346
11,2347
11,2348
11,2349
12,795
12,796
12,797
12,798
12,799
12,800
12,801
12,802
12,803
12,804
12,805
12,806
12,807
12,808
12,2346
12,2347
12,2348
12,2349
13,2
13,3
14,237
14,238
14,239
14,241
14,242
14,243
14,2346
14,2347
14,2348
14,2349
14,2364
14,2365
15,237
15,238
15,239
15,241
15,242
15,243
15,2346
15,2347
15,2348
15,2349
15,2364
15,2365
16,20
16,21
16,22
16,23
16,24
16,25
16,26
16,27
16,28
16,29
16,30
16,31
16,32
16,33
16,34
16,35
16,36
16,37
16,38
16,39
16,40
16,41
16,43
16,131
16,132
16,135
16,189
16,190
16,191
16,192
16,193
16,291
16,292
16,293
16,294
16,295
16,324
16,325
16,326
16,327
16,2340
16,2342
16,2343
16,2344
16,2345
16,2346
16,2347
16,2348
16,2349
16,2364
16,2365
16,2379
17,20
17,21
17,22
17,23
17,24
17,25
17,26
17,27
17,28
17,29
17,30
17,31
17,32
17,33
17,34
17,35
17,36
17,37
17,38
17,39
17,40
17,41
17,43
17,136
17,137
17,138
17,139
17,140
17,189
17,190
17,191
17,192
17,193
17,194
17,195
17,196
17,197
17,198
17,199
17,200
17,291
17,292
17,293
17,294
17,295
17,324
17,325
17,326
17,327
17,2346
17,2347
17,2348
17,2349
17,2364
17,2365
17,2367
17,2369
17,2379
18,352
18,353
18,354
18,355
18,356
18,357
18,359
19,353
19,354
19,355
19,356
19,357
19,359
20,515
20,516
20,517
20,518
20,519
20,520
20,521
20,522
20,523
20,524
20,525
20,526
20,527
20,528
20,529
20,530
20,531
20,532
20,533
20,534
20,535
20,536
20,537
20,538
20,539
20,540
20,541
20,542
20,543
20,544
20,545
20,546
20,547
20,548
20,549
20,550
20,551
20,552
20,553
20,554
20,555
20,556
20,557
20,558
20,559
20,560
20,561
20,562
20,563
20,564
20,565
20,566
20,567
20,568
20,569
20,570
20,571
20,572
20,573
20,574
20,575
20,576
20,577
20,578
20,579
20,580
20,581
20,582
20,583
20,584
20,585
20,586
20,587
20,588
20,589
20,590
20,591
20,592
20,593
20,594
20,595
20,596
20,597
20,598
20,599
20,600
20,601
20,602
20,603
20,604
20,605
20,606
20,607
20,608
20,609
20,610
20,611
20,612
20,613
20,614
20,615
20,616
20,617
20,618
20,619
20,620
20,621
20,622
20,623
20,624
20,625
20,626
20,627
20,628
20,629
20,630
20,631
20,632
20,633
20,634
20,635
20,636
20,637
20,638
20,639
20,640
20,642
20,643
20,644
20,645
20,646
20,647
20,648
20,649
20,650
20,651
20,652
20,653
20,654
20,655
20,656
20,657
20,658
20,659
20,660
20,661
20,662
20,663
20,664
20,665
20,666
20,667
20,668
20,669
20,670
20,671
20,672
20,673
20,674
20,675
20,676
20,677
20,678
20,679
20,680
20,681
20,682
20,683
20,684
20,685
20,686
20,687
20,688
20,689
20,690
20,691
20,692
20,693
20,694
20,695
20,696
20,697
20,698
20,699
20,700
20,701
20,702
20,703
20,704
20,705
20,706
20,707
20,708
20,709
20,710
20,711
20,712
20,713
20,714
20,715
20,716
20,717
20,718
20,719
20,720
20,721
20,722
20,723
20,724
20,725
20,726
20,727
20,728
20,729
20,730
20,731
20,732
20,733
20,734
20,735
20,736
20,737
20,738
20,739
20,740
20,741
20,742
20,743
20,744
20,745
20,746
20,747
21,515
21,516
21,517
21,518
21,519
21,520
21,521
21,522
21,523
21,524
21,525
21,526
21,527
21,528
21,529
21,530
21,531
21,532
21,533
21,534
21,535
21,536
21,537
21,538
21,539
21,540
21,541
21,542
21,543
21,544
21,545
21,546
21,547
21,548
21,549
21,550
21,551
21,552
21,553
21,554
21,555
21,556
21,557
21,558
21,559
21,560
21,561
21,562
21,563
21,564
21,565
21,566
21,567
21,568
21,569
21,570
21,571
21,572
21,573
21,574
21,575
21,576
21,577
21,578
21,579
21,580
21,581
21,582
21,583
21,584
21,585
21,586
21,587
21,588
21,589
21,590
21,591
21,592
21,593
21,594
21,595
21,596
21,597
21,598
21,599
21,600
21,601
21,602
21,603
21,604
21,605
21,606
21,607
21,608
21,609
21,610
21,611
21,612
21,613
21,614
21,615
21,616
21,617
21,618
21,619
21,620
21,621
21,622
21,623
21,624
21,625
21,626
21,627
21,628
21,629
21,630
21,631
21,632
21,633
21,634
21,635
21,636
21,637
21,638
21,639
21,640
21,642
21,643
21,644
21,645
21,646
21,647
21,648
21,649
21,650
21,651
21,652
21,653
21,654
21,655
21,656
21,657
21,658
21,659
21,660
21,661
21,662
21,663
21,664
21,665
21,666
21,667
21,668
21,669
21,670
21,671
21,672
21,673
21,674
21,675
21,676
21,677
21,678
21,679
21,680
21,681
21,682
21,683
21,684
21,685
21,686
21,687
21,688
21,689
21,690
21,691
21,692
21,693
21,694
21,695
21,696
21,697
21,698
21,699
21,700
21,701
21,702
21,703
21,704
21,705
21,706
21,707
21,708
21,709
21,710
21,711
21,712
21,713
21,714
21,715
21,716
21,717
21,718
21,719
21,720
21,721
21,722
21,723
21,724
21,725
21,726
21,727
21,728
21,729
21,730
21,731
21,732
21,733
21,734
21,735
21,736
21,737
21,738
21,739
21,740
21,741
21,742
21,743
21,744
21,745
21,746
21,747
22,515
22,516
22,517
22,518
22,519
22,520
22,521
22,522
22,523
22,524
22,525
22,526
22,527
22,528
22,529
22,530
22,531
22,532
22,533
22,534
22,642
22,643
22,644
22,645
22,646
23,515
23,516
23,517
23,518
23,519
23,520
23,521
23,522
23,523
23,524
23,525
23,526
23,527
23,528
23,529
23,530
23,531
23,532
23,533
23,534
23,535
23,536
23,537
23,538
23,539
23,540
23,541
23,542
23,543
23,544
23,545
23,546
23,547
23,548
23,549
23,550
23,551
23,552
23,553
23,554
23,555
23,558
23,559
23,560
23,561
23,562
23,563
23,564
23,565
23,566
23,567
23,568
23,569
23,570
23,571
23,572
23,573
23,574
23,575
23,576
23,577
23,578
23,579
23,580
23,581
23,582
23,583
23,584
23,585
23,586
23,587
23,588
23,589
23,590
23,591
23,592
23,593
23,594
23,595
23,596
23,597
23,598
23,599
23,600
23,601
23,602
23,603
23,604
23,605
23,606
23,607
23,608
23,609
23,610
23,611
23,612
23,613
23,614
23,615
23,616
23,617
23,618
23,619
23,620
23,621
23,622
23,623
23,624
23,625
23,626
23,627
23,628
23,629
23,630
23,631
23,632
23,633
23,634
23,635
23,636
23,637
23,638
23,639
23,640
23,642
23,643
23,644
23,645
23,646
23,647
23,648
23,649
23,650
23,651
23,652
23,653
23,654
23,655
23,656
23,657
23,658
23,659
23,660
23,661
23,662
23,663
23,664
23,665
23,666
23,667
23,668
23,669
23,670
23,671
23,672
23,673
23,674
23,675
23,676
23,677
23,678
23,679
23,680
23,681
23,682
23,683
23,684
23,685
23,686
23,687
23,688
23,689
23,690
23,691
23,692
23,693
23,694
23,695
23,696
23,697
23,698
23,699
23,700
23,701
23,702
23,703
23,704
23,705
23,706
23,707
23,708
23,709
23,710
23,711
23,712
23,713
23,714
23,715
23,716
23,717
23,718
23,719
23,720
23,721
23,722
23,723
23,724
23,725
23,726
23,727
23,728
23,729
23,730
23,731
23,732
23,733
23,734
23,735
23,736
23,737
23,738
23,739
23,740
23,741
23,742
23,743
23,744
23,745
23,746
23,747
24,515
24,516
24,517
24,518
24,519
24,520
24,521
24,522
24,523
24,524
24,525
24,526
24,527
24,528
24,529
24,530
24,531
24,532
24,533
24,534
24,535
24,536
24,537
24,538
24,539
24,540
24,541
24,542
24,543
24,544
24,545
24,546
24,547
24,548
24,549
24,550
24,551
24,552
24,553
24,554
24,555
24,556
24,557
24,558
24,559
24,560
24,561
24,562
24,563
24,564
24,565
24,566
24,567
24,568
24,569
24,570
24,571
24,572
24,573
24,574
24,575
24,576
24,577
24,578
24,579
24,580
24,581
24,582
24,583
24,584
24,585
24,586
24,587
24,588
24,589
24,590
24,591
24,592
24,593
24,594
24,595
24,596
24,597
24,598
24,599
24,600
24,601
24,602
24,603
24,604
24,605
24,606
24,607
24,608
24,609
24,610
24,611
24,612
24,613
24,614
24,615
24,616
24,617
24,618
24,619
24,620
24,621
24,622
24,623
24,624
24,625
24,626
24,627
24,628
24,629
24,630
24,631
24,632
24,633
24,634
24,635
24,636
24,637
24,638
24,639
24,640
24,641
24,642
24,643
24,644
24,645
24,646
24,647
24,648
24,649
24,650
24,651
24,652
24,653
24,654
24,655
24,656
24,657
24,658
24,659
24,660
24,661
24,662
24,663
24,664
24,665
24,666
24,667
24,668
24,669
24,670
24,671
24,672
24,673
24,674
24,675
24,676
24,677
24,678
24,679
24,680
24,681
24,682
24,683
24,684
24,685
24,686
24,687
24,688
24,689
24,690
24,691
24,692
24,693
24,694
24,695
24,696
24,697
24,698
24,699
24,700
24,701
24,702
24,703
24,704
24,705
24,706
24,707
24,708
24,709
24,710
24,711
24,712
24,713
24,714
24,715
24,716
24,717
24,718
24,719
24,720
24,721
24,722
24,723
24,724
24,725
24,726
24,727
24,728
24,729
24,730
24,731
24,732
24,733
24,734
24,735
24,736
24,737
24,738
24,739
24,740
24,741
24,742
24,743
24,744
24,745
24,746
24,747
24,748
24,749
26,795
26,796
26,797
26,798
26,799
26,800
26,801
26,802
26,803
26,804
26,805
26,806
26,807
26,808
27,795
27,796
27,797
27,798
27,799
27,800
27,801
27,802
27,803
27,804
27,805
27,806
27,807
27,808
28,795
28,796
28,797
28,798
28,799
28,800
28,801
28,802
28,803
28,806
28,807
28,808
28,809
28,810
29,795
29,796
29,797
29,798
29,799
29,800
29,801
29,802
29,803
29,804
29,805
29,806
29,807
29,808
29,809
29,810
30,429
30,430
30,431
30,432
30,433
30,434
30,435
30,436
30,437
30,438
30,439
30,440
30,441
30,442
30,443
30,444
30,445
30,446
30,447
30,448
30,449
30,450
30,451
30,452
30,453
30,454
30,455
30,456
30,457
30,458
30,459
30,817
30,818
30,819
30,820
30,821
30,822
30,823
30,824
30,825
30,826
30,827
30,828
30,829
30,830
30,831
30,832
30,833
30,834
30,835
30,836
30,837
30,838
30,839
30,840
30,841
30,842
30,843
30,844
30,845
30,846
30,847
30,848
30,849
30,850
30,851
30,852
30,853
30,854
30,855
30,856
30,857
30,858
30,859
30,860
30,861
30,862
30,863
30,864
30,865
30,866
30,867
30,868
30,869
30,870
30,871
30,872
30,873
30,874
30,875
30,876
30,877
30,878
30,879
30,880
30,881
30,882
30,883
30,884
30,885
30,886
30,887
30,888
30,889
30,890
30,891
30,892
30,893
30,894
30,895
30,896
30,897
30,898
30,899
30,900
30,901
30,902
30,903
30,904
30,905
30,906
30,907
30,908
30,909
30,910
30,911
30,912
30,913
30,914
30,915
30,916
30,917
30,918
30,919
30,920
30,921
30,922
30,923
30,924
30,925
30,926
30,927
30,928
30,929
30,930
30,931
30,932
30,933
30,934
30,935
30,936
30,937
30,938
30,939
30,940
30,941
30,942
30,943
30,944
30,945
30,946
30,947
30,948
30,949
30,950
30,951
30,952
30,953
30,954
30,955
30,956
30,957
30,958
30,959
30,960
30,961
30,962
30,963
30,964
30,965
30,966
30,967
30,968
30,969
30,970
30,971
30,972
30,973
30,974
30,975
30,976
30,977
30,978
30,979
30,980
30,981
30,982
30,983
30,984
30,985
30,986
30,987
30,988
30,989
30,990
30,991
30,992
30,993
30,994
30,995
30,996
30,997
30,998
30,999
30,1000
30,1001
30,1002
30,1003
30,1004
30,1005
30,1006
30,1007
30,1008
30,1009
30,1010
30,1011
30,1012
30,1013
30,1014
30,1015
30,1016
30,1017
30,1018
30,1019
30,1020
30,1021
30,1022
30,1023
30,1024
30,1025
30,1026
30,1027
30,1028
30,1029
30,1030
30,1031
30,1032
30,1033
30,1034
30,1035
30,1036
30,1037
30,1038
30,1039
30,1040
30,1041
30,1042
30,1043
30,1044
30,1045
30,1046
30,1047
30,1048
30,1049
30,1050
30,1051
30,1052
30,1053
30,1054
30,1055
30,1056
30,1057
30,1058
30,1059
30,1060
30,1061
30,1062
30,1063
30,1064
30,1065
30,1066
30,1067
30,1068
30,1069
30,1070
30,1071
30,1072
30,1073
30,1074
30,1075
30,1076
30,1077
30,1078
30,1079
30,1080
30,1081
30,1082
30,1083
30,1084
30,1085
30,1086
30,1087
30,1088
30,1089
30,1090
30,1091
30,1092
30,1093
30,1094
30,1095
30,1096
30,1097
30,1098
30,1099
30,1100
30,1101
30,1102
30,1103
30,1104
30,1105
30,1106
30,1107
30,1108
30,1109
30,1110
30,1111
30,1112
30,1113
30,1114
30,1115
30,1116
30,1117
30,1118
30,1119
30,1120
30,1121
30,1122
30,1123
30,1124
30,1125
30,1126
30,1127
30,1128
30,1129
30,1130
30,1131
30,1132
30,1133
30,1134
30,1135
30,1136
30,1137
30,1138
30,1139
30,1140
30,1141
30,1142
30,1143
30,1144
30,1145
30,1146
30,1147
30,1148
30,1149
30,1150
30,1151
30,1152
30,1153
30,1154
30,1155
30,1156
30,1157
30,1158
30,1159
30,1160
30,1161
30,1162
30,1163
30,1164
30,1165
30,1166
30,1167
30,1168
30,1169
30,1170
