TestNo,TestName
1,org.webbitserver.EventSourceMessageTest[buildsMessageWithNullId]
2,org.webbitserver.EventSourceMessageTest[skipsColonIfValueEmpty]
3,org.webbitserver.EventSourceMessageTest[emptyBuild]
4,org.webbitserver.EventSourceMessageTest[encodesIdAsString]
5,org.webbitserver.EventSourceMessageTest[encodesIdAsLong]
6,org.webbitserver.EventSourceMessageTest[encodesEvent]
7,org.webbitserver.EventSourceMessageTest[buildsMessageWithEmptyData]
8,org.webbitserver.EventSourceMessageTest[encodesSingleLine]
9,org.webbitserver.EventSourceMessageTest[encodesSeveralLines]
10,org.webbitserver.EventSourceMessageTest[encodesId]
11,org.webbitserver.HttpRequestTest[alwaysReturnsEmptyListWhenThereIsNoQueryString]
12,org.webbitserver.HttpRequestTest[returnsEmptyListWhenThereIsNoSuchParameter]
13,org.webbitserver.WebbitExceptionTest[does_not_puke_on_nulls]
14,org.webbitserver.handler.PathMatchHandlerTest[matchesRequestWithRegexpPath]
15,org.webbitserver.handler.PathMatchHandlerTest[matchesRequestWithPathOnly]
16,org.webbitserver.handler.StaticFileHandlerTest[shouldNotAllowAccessToFilesOutsideTheRoot]
17,org.webbitserver.handler.StaticFileHandlerTest[redirectAddingSlashPreservesQuery]
18,org.webbitserver.handler.authentication.InMemoryPasswordsTest[authenticateWithBadPassword]
19,org.webbitserver.handler.authentication.InMemoryPasswordsTest[authenticateWithBadUsernamePassword]
20,org.webbitserver.helpers.Base64Test[handlesZeroByte]
21,org.webbitserver.helpers.Base64Test[padsDoubleMissingByteWhenNotMultipleOfThree]
22,org.webbitserver.helpers.Base64Test[producesEmptyStringWhenNoBytesGiven]
23,org.webbitserver.helpers.Base64Test[padsSingleMissingByteWhenNotMultipleOfThree]
24,org.webbitserver.helpers.Base64Test[handlesAllPositiveBytes]
25,org.webbitserver.helpers.InboundCookieParserTest[testParseEmpty]
26,org.webbitserver.helpers.QueryParametersTest[parsesTwoParameters]
27,org.webbitserver.helpers.QueryParametersTest[parsesMixOfPresentAndEmptyParameters]
28,org.webbitserver.helpers.QueryParametersTest[parsesEmptyParameter]
29,org.webbitserver.helpers.QueryParametersTest[parsesOneParameter]
30,org.webbitserver.helpers.UTF8OutputTest[throwsOnIncompleteUtf8Char]
31,org.webbitserver.helpers.UTF8OutputTest[decodesLatin]
32,org.webbitserver.helpers.UTF8OutputTest[decodesChinese]
33,org.webbitserver.helpers.UTF8OutputTest[autobahn_6_22_1]
34,org.webbitserver.helpers.UTF8OutputTest[autobahn_6_22_2]
35,org.webbitserver.helpers.UTF8OutputTest[autobahn_6_22_3]
36,org.webbitserver.helpers.UTF8OutputTest[decodesManyTimes]
37,org.webbitserver.helpers.UTF8OutputTest[throwsOnNonUTF8Bytes]
38,org.webbitserver.netty.NettyHttpRequestTest[decodesQueryParams]
39,org.webbitserver.stub.StubConnectionTest[testData]
40,org.webbitserver.stub.StubConnectionTest[testVersion]
41,org.webbitserver.stub.StubConnectionTest[testHandlerExecutor]
42,org.webbitserver.stub.StubConnectionTest[testClosed]
43,org.webbitserver.stub.StubHttpRequestTest[testData]
44,org.webbitserver.stub.StubHttpRequestTest[testId]
45,org.webbitserver.stub.StubHttpRequestTest[testQueryParamKeys]
46,org.webbitserver.stub.StubHttpRequestTest[testTimestamp]
47,org.webbitserver.stub.StubHttpRequestTest[testHeader]
48,org.webbitserver.stub.StubHttpRequestTest[testMethod]
49,org.webbitserver.EventSourceMessageTest[buildsMessageWithData]
50,org.webbitserver.EventSourceMessageTest[encodesRetry]
51,org.webbitserver.EventSourceMessageTest[encodesComment]
52,org.webbitserver.HttpRequestTest[extractsMultipleQueryParameters]
53,org.webbitserver.handler.EmbeddedResourceHandlerTest[should404ForMissingFiles]
54,org.webbitserver.handler.PathMatchHandlerTest[handsOffWhenIllegalURIPath]
55,org.webbitserver.handler.StaticFileHandlerTest[prefersWelcomeFileToDirectoryListing]
56,org.webbitserver.handler.StaticFileHandlerTest[should404ForMissingFiles]
57,org.webbitserver.handler.StaticFileHandlerTest[escapesFilenames]
58,org.webbitserver.handler.StaticFileHandlerTest[shouldSupportBoundedRangeRequests]
59,org.webbitserver.handler.StaticFileHandlerTest[shouldSupportUnboundedStartRangeRequests]
60,org.webbitserver.handler.StaticFileHandlerTest[shouldReturnInvalidRangeIfBeyondSizeOfContent]
61,org.webbitserver.handler.StaticFileHandlerTest[allowsCustomDirectoryListingFormatters]
62,org.webbitserver.handler.authentication.InMemoryPasswordsTest[authenticateWithEmptyUsernamePassword]
63,org.webbitserver.handler.authentication.InMemoryPasswordsTest[authenticateWithGoodUsernamePassword]
64,org.webbitserver.helpers.Base64Test[doesNotPadWhenMultipleOfThree]
65,org.webbitserver.helpers.Base64Test[wrapsLinesAt76Chars]
66,org.webbitserver.helpers.Base64Test[handlesAllNegativeBytes]
67,org.webbitserver.helpers.HexTest[testEncodesByteArray]
68,org.webbitserver.helpers.UTF8OutputTest[acceptsCompleteUtf8Char]
69,org.webbitserver.stub.StubConnectionTest[testSendMultipleStringMessages]
70,org.webbitserver.stub.StubConnectionTest[testSendEventSourceMessages]
71,org.webbitserver.stub.StubConnectionTest[testRunnable]
72,org.webbitserver.stub.StubHttpRequestTest[testUri]
73,org.webbitserver.stub.StubHttpRequestTest[testBody]
74,org.webbitserver.stub.StubHttpRequestTest[testQueryParam]
75,org.webbitserver.handler.StaticFileHandlerTest[shouldServeDirectoryListingForDirectories]
76,org.webbitserver.handler.StaticFileHandlerTest[shouldSupportUnboundedEndRangeRequests]
77,org.webbitserver.handler.StaticFileHandlerTest[shouldIgnoreQueryParams]
78,org.webbitserver.helpers.Base64Test[testEncodesEntireByteArrayAsString]
79,org.webbitserver.helpers.HexTest[testEncodesMultilineByteArray]
80,org.webbitserver.stub.StubConnectionTest[testNullHttpRequest]
81,org.webbitserver.stub.StubConnectionTest[testPing]
82,org.webbitserver.handler.PathMatchHandlerTest[matchesRequestWithFullUri]
83,org.webbitserver.handler.StaticFileHandlerTest[shouldServeExistingFiles]
84,org.webbitserver.helpers.InboundCookieParserTest[testParse]
85,org.webbitserver.netty.NettyWebServerTest[startServerAndTestIsRunning]
