TestNo,MutantNo
1,7324
1,7325
1,7326
1,7327
1,7328
1,7329
1,7330
1,7331
1,7332
1,7333
1,7341
1,7342
1,7343
1,7346
1,7347
1,7348
1,7349
1,7350
1,7351
1,7352
1,7353
1,7355
1,7358
1,7361
1,7365
1,7369
1,7374
1,7375
1,7379
1,7401
1,7403
1,7404
1,7405
1,7406
1,7407
1,7408
1,7409
1,7410
1,7411
1,7412
1,7413
1,7415
1,7416
1,7417
1,7418
1,7419
1,7421
1,7422
1,7423
1,7426
1,7427
1,7428
1,7429
1,7432
1,7433
1,7434
1,7436
1,7437
1,7438
1,7439
1,7441
1,7442
1,7445
1,7446
1,7447
1,7450
1,7452
1,7456
1,7457
1,7458
1,7462
1,7463
2,7323
2,7324
2,7325
2,7326
2,7327
2,7328
2,7329
2,7330
2,7331
2,7332
2,7333
2,7346
2,7347
2,7348
2,7349
2,7350
2,7353
2,7355
2,7358
2,7361
2,7365
2,7369
2,7372
2,7374
2,7375
2,7376
2,7379
2,7382
2,7383
2,7386
2,7387
2,7388
2,7389
2,7393
2,7395
2,7397
2,7398
2,7399
2,7400
2,7401
2,7403
2,7404
2,7405
2,7406
2,7407
2,7408
2,7409
2,7410
2,7411
2,7413
2,7415
2,7416
2,7417
2,7418
2,7419
2,7421
2,7422
2,7423
2,7427
2,7428
2,7429
2,7432
2,7433
2,7436
2,7437
2,7439
2,7442
2,7445
2,7446
2,7447
2,7450
2,7452
2,7456
2,7457
2,7458
2,7461
2,7462
2,7463
3,7324
3,7325
3,7326
3,7327
3,7328
3,7329
3,7330
3,7331
3,7332
3,7333
3,7346
3,7347
3,7348
3,7349
3,7355
3,7358
3,7361
3,7365
3,7369
3,7374
3,7375
3,7376
3,7379
3,7387
3,7388
3,7393
3,7398
3,7401
3,7403
3,7404
3,7406
3,7407
3,7408
3,7409
3,7411
3,7415
3,7419
3,7422
3,7426
3,7427
3,7428
3,7429
3,7432
3,7433
3,7436
3,7437
3,7439
3,7442
3,7445
3,7446
3,7448
3,7450
3,7456
3,7457
3,7458
3,7462
3,7463
4,7324
4,7325
4,7326
4,7327
4,7328
4,7329
4,7330
4,7331
4,7332
4,7333
4,7341
4,7342
4,7343
4,7346
4,7347
4,7348
4,7349
4,7350
4,7351
4,7352
4,7355
4,7361
4,7365
4,7369
4,7404
4,7405
4,7406
4,7410
4,7411
4,7412
4,7413
4,7415
4,7416
4,7417
4,7418
4,7419
4,7421
4,7422
4,7423
4,7426
4,7427
4,7428
4,7429
4,7430
4,7433
4,7436
4,7439
4,7442
4,7445
4,7446
4,7451
4,7456
4,7458
4,7463
5,7323
5,7326
5,7327
5,7328
5,7329
5,7330
5,7331
5,7332
5,7333
5,7341
5,7342
5,7343
5,7346
5,7347
5,7348
5,7350
5,7351
5,7352
5,7353
5,7355
5,7358
5,7361
5,7365
5,7369
