TestNo,MutantNo
1,3
2,3
3,3
4,3
5,3
6,3
7,343
7,344
7,345
7,346
7,349
7,350
7,351
7,352
7,353
7,354
8,343
8,344
8,345
8,346
8,347
8,348
9,7
9,8
9,9
9,10
9,11
9,12
9,23
9,25
9,32
9,33
9,36
9,37
9,38
9,39
9,40
9,41
9,42
9,43
9,44
9,48
9,62
9,63
9,64
9,65
9,68
9,69
9,76
9,355
9,452
9,453
9,454
9,455
9,456
9,457
9,458
9,470
10,7
10,8
10,9
10,10
10,11
10,12
10,23
10,25
10,32
10,33
10,36
10,37
10,38
10,39
10,40
10,41
10,42
10,43
10,44
10,48
10,62
10,63
10,64
10,65
10,68
10,69
10,76
10,345
10,346
10,349
10,350
10,351
10,352
10,353
10,354
10,355
10,473
10,474
11,7
11,8
11,9
11,10
11,11
11,12
11,23
11,25
11,32
11,33
11,36
11,37
11,38
11,39
11,40
11,41
11,42
11,43
11,44
11,48
11,62
11,63
11,64
11,65
11,68
11,69
11,76
11,345
11,346
11,347
11,348
11,355
11,471
11,472
12,343
12,344
12,345
12,346
12,347
12,348
12,349
12,350
12,351
12,352
12,353
12,354
13,5
13,7
13,8
13,9
13,10
13,11
13,12
13,17
13,23
13,25
13,32
13,33
13,36
13,37
13,38
13,39
13,40
13,41
13,42
13,43
13,44
13,48
13,62
13,63
13,64
13,65
13,68
13,69
13,70
13,74
13,76
13,79
13,80
13,81
13,82
13,83
13,84
13,85
13,86
13,87
13,88
13,95
13,98
13,99
13,100
13,103
13,137
13,138
13,143
13,149
13,289
15,5
15,7
15,8
15,9
15,10
15,11
15,12
15,17
15,23
15,25
15,32
15,33
15,36
15,37
15,38
15,39
15,40
15,41
15,42
15,43
15,44
15,48
15,62
15,63
15,64
15,65
15,68
15,69
15,76
15,79
15,80
15,81
15,82
15,83
15,84
15,89
15,90
15,91
15,95
15,98
15,137
15,138
16,5
16,7
16,8
16,9
16,10
16,11
16,12
16,19
16,23
16,25
16,32
16,33
16,36
16,37
16,38
16,39
16,40
16,41
16,42
16,43
16,44
16,48
16,62
16,63
16,64
16,65
16,68
16,69
16,76
16,79
16,80
16,81
16,82
16,83
16,84
16,85
16,86
16,87
16,88
16,95
16,98
16,99
16,100
16,101
16,104
16,105
16,106
16,107
16,137
16,138
16,142
16,153
16,154
16,157
16,160
16,162
16,163
16,164
16,166
16,168
16,170
16,173
16,174
16,175
16,176
16,179
16,180
16,181
16,182
16,184
16,185
16,186
16,187
16,188
16,189
16,193
16,194
16,195
16,198
16,199
16,200
16,203
16,204
16,205
16,206
16,207
16,208
16,209
16,210
16,211
16,212
16,258
16,259
16,260
16,261
16,263
16,265
16,267
16,450
16,451
16,452
16,453
16,454
16,455
16,456
16,457
16,458
16,459
16,460
16,461
16,464
16,465
17,2
17,5
17,7
17,8
17,9
17,10
17,11
17,12
17,17
17,23
17,25
17,32
17,33
17,36
17,37
17,38
17,39
17,40
17,41
17,42
17,43
17,44
17,48
17,49
17,50
17,51
17,52
17,53
17,54
17,61
17,62
17,63
17,64
17,65
17,68
17,69
17,76
17,78
17,79
17,80
17,81
17,82
17,83
17,84
17,85
17,86
17,87
17,88
17,95
17,98
17,99
17,100
17,101
17,104
17,105
17,106
17,112
17,113
17,137
17,138
17,142
17,153
17,154
17,157
17,160
17,162
17,163
17,164
17,166
17,168
17,170
17,173
17,174
17,175
17,176
17,179
17,180
17,181
17,182
17,184
17,185
17,186
17,187
17,188
17,189
17,190
17,191
17,193
17,194
17,195
17,198
17,199
17,200
17,203
17,204
17,205
17,206
17,207
17,208
17,209
17,210
17,211
17,212
17,258
17,259
17,260
17,261
17,263
17,265
17,267
17,450
17,451
17,452
17,453
17,454
17,455
17,456
17,457
17,458
17,459
17,460
17,461
17,464
17,465
18,5
18,7
18,8
18,9
18,10
18,11
18,12
18,17
18,23
18,25
18,32
18,33
18,36
18,37
18,38
18,39
18,40
18,41
18,42
18,43
18,44
18,48
18,62
18,63
18,64
18,65
18,68
18,69
18,76
18,79
18,80
18,81
18,82
18,83
18,84
18,85
18,86
18,87
18,88
18,95
18,98
18,99
18,100
18,101
18,104
18,105
18,106
18,107
18,137
18,138
18,142
18,153
18,154
18,157
18,160
18,162
18,163
18,164
18,166
18,168
18,170
18,173
18,174
18,175
18,176
18,179
18,180
18,181
18,182
18,184
18,185
18,186
18,187
18,188
18,189
18,190
18,191
18,193
18,194
18,195
18,198
18,199
18,200
18,203
18,204
18,205
18,206
18,207
18,208
18,209
18,210
18,211
18,212
18,258
18,259
18,260
18,261
18,263
18,265
18,267
18,345
18,346
18,347
18,348
18,349
18,350
18,351
18,352
18,353
18,354
18,355
18,356
18,357
18,358
18,362
18,363
18,364
18,365
18,366
18,368
18,369
18,370
18,371
18,372
18,373
18,374
18,375
18,384
18,385
18,386
18,387
18,388
18,389
18,390
18,391
18,392
18,393
18,394
18,395
18,396
18,397
18,398
