TestNo,MutantNo
1,3
2,3
3,3
4,3
5,3
6,3
7,343
7,344
7,345
7,346
7,349
7,350
7,351
7,353
7,354
8,347
9,25
9,37
9,38
9,48
9,62
9,69
10,25
10,37
10,38
10,48
10,62
10,69
10,345
10,346
10,349
10,350
10,351
10,353
10,354
10,473
10,474
11,25
11,37
11,38
11,48
11,62
11,69
11,347
12,343
12,344
12,345
12,348
12,349
12,350
12,351
12,353
12,354
13,17
13,25
13,37
13,38
13,48
13,62
13,65
13,69
13,81
13,86
13,88
15,17
15,25
15,37
15,38
15,48
15,62
15,69
15,81
16,19
16,25
16,37
16,38
16,48
16,62
16,69
16,81
16,86
16,106
16,107
16,164
16,166
16,168
16,170
16,176
16,207
16,208
16,209
16,212
16,267
16,454
17,12
17,17
17,23
17,25
17,37
17,38
17,48
17,62
17,64
17,69
17,81
17,86
17,87
17,101
17,104
17,106
17,154
17,163
17,164
17,166
17,168
17,170
17,176
17,208
17,209
17,212
17,267
17,457
17,458
18,17
18,25
18,37
18,38
18,48
18,62
18,69
18,81
18,86
18,106
18,107
18,164
18,166
18,168
18,170
18,176
18,207
18,208
18,209
18,212
18,267
18,385
18,387
18,393
18,394
18,398
18,401
18,405
18,420
18,424
18,427
18,433
18,436
18,454
19,17
19,25
19,37
19,38
19,48
19,62
19,65
19,69
19,81
19,86
19,88
19,99
19,106
19,107
19,207
19,208
19,209
19,212
19,258
19,267
20,17
20,25
20,37
20,38
20,48
20,62
20,69
20,70
20,74
20,81
20,86
20,105
20,106
20,107
20,142
20,143
20,149
20,150
20,152
20,164
20,166
20,168
20,170
20,176
20,206
20,207
20,208
20,209
20,212
20,267
20,290
20,291
20,454
20,457
20,458
20,460
21,16
21,18
21,25
21,37
21,38
21,48
21,62
21,69
21,81
21,86
21,106
21,107
21,164
21,166
21,168
21,170
21,176
21,207
21,208
21,209
21,212
21,267
21,454
22,12
22,17
22,23
22,25
22,37
22,38
22,48
22,62
22,64
22,69
22,81
22,86
22,87
22,101
22,104
22,106
22,107
22,154
22,163
22,164
22,166
22,168
22,170
22,176
22,208
22,209
22,212
22,267
22,385
22,387
22,393
22,394
22,398
22,401
22,405
22,407
22,409
22,410
22,411
22,413
22,420
22,424
22,427
22,433
22,435
22,436
22,457
22,458
23,17
23,25
23,37
23,38
23,48
23,62
23,69
23,81
23,86
23,106
23,107
23,164
23,166
23,168
23,170
23,176
23,207
23,208
23,209
23,212
23,267
23,454
24,12
24,14
24,17
24,23
24,25
24,37
24,38
24,48
24,62
24,64
24,69
24,74
24,79
24,81
24,86
24,87
24,101
24,104
24,105
24,106
24,142
24,143
24,149
24,150
24,151
24,154
24,163
24,164
24,166
24,168
24,170
24,176
24,205
24,208
24,209
24,212
24,267
24,456
24,457
24,458
25,1
25,17
25,25
25,37
25,38
25,48
25,62
25,69
25,81
25,106
25,107
25,164
25,166
25,168
25,170
25,176
25,204
25,207
25,210
25,221
25,267
25,454
26,1
26,17
26,25
26,37
26,38
26,48
26,62
26,69
26,81
26,106
26,164
26,166
26,168
26,170
26,176
26,204
26,207
26,210
26,221
26,267
26,450
27,17
27,25
27,37
27,38
27,48
27,62
27,69
27,81
27,86
27,106
27,164
27,166
27,168
27,170
27,176
27,207
27,208
27,209
27,212
27,267
28,12
28,17
28,23
28,25
28,37
28,38
28,48
28,62
28,64
28,69
28,81
28,86
28,87
28,101
28,104
28,106
28,107
28,154
28,163
28,164
28,166
28,168
28,170
28,176
28,208
28,209
28,212
28,267
28,457
28,458
29,12
29,17
29,23
29,25
29,37
29,38
29,48
29,62
29,64
29,69
29,81
29,86
29,87
29,101
29,104
29,106
29,154
29,163
29,164
29,166
29,168
29,170
29,176
29,203
29,208
29,209
29,212
29,259
29,267
29,385
29,387
29,393
29,394
29,398
29,401
29,405
29,407
29,409
29,410
29,413
29,420
29,424
29,425
29,426
29,427
29,428
29,429
29,433
29,435
29,436
29,437
29,438
29,439
29,440
29,441
29,442
29,443
29,450
29,451
29,452
29,454
29,455
29,456
29,457
29,458
29,459
29,460
29,461
29,464
29,471
29,472
30,2
30,5
30,7
30,12
30,16
30,20
30,23
30,25
30,32
30,33
30,36
30,37
30,38
30,39
30,48
30,49
30,51
30,52
30,62
30,63
30,64
30,65
30,69
30,81
30,82
30,83
30,84
30,85
30,86
30,87
30,95
30,99
30,100
30,101
30,104
30,106
30,107
30,137
30,138
30,142
30,153
30,154
30,157
30,163
30,164
30,166
30,168
30,170
30,173
30,174
30,175
30,176
30,179
30,180
30,181
30,182
30,186
30,191
30,193
30,194
30,198
30,199
30,200
30,204
30,206
30,207
30,208
30,209
30,211
30,212
30,258
30,259
30,260
30,265
30,267
30,450
30,451
30,452
30,453
30,454
30,456
30,457
30,458
30,459
30,460
30,461
30,464
30,465
31,2
31,5
31,9
31,10
31,12
31,14
31,17
31,23
31,25
31,32
31,36
31,37
31,38
31,39
31,40
