name,y,x1,ms,mutTotal,mutKilled,testMethodNum,SLOC,testPer100Mut,averageTestSuiteSize,lnms,lnmutTotal,lnmutKilled,lntestMethodNum,lnSLOC,lntestPer100Mut,lnaverageTestSuiteSize,neginvms,neginvmutTotal,neginvmutKilled,neginvtestMethodNum,neginvSLOC,neginvtestPer100Mut,neginvaverageTestSuiteSize
invokebinder,0.862360902,1,0.670870113,793,532,108,1623,13.61916772,67.904,-0.399179732,6.675823222,6.276643489,4.682131227,7.392031568,2.611478191,4.218094943,-1.490601504,-0.001261034,-0.001879699,-0.009259259,-0.000616143,-0.073425926,-0.014726673
gdx-artemis,0.741013423,1,0.422695035,705,298,36,1951,5.106382979,16.766,-0.861104316,6.558197803,5.697093487,3.583518938,7.576097341,1.630491322,2.819353026,-2.365771812,-0.00141844,-0.003355705,-0.027777778,-0.000512558,-0.195833333,-0.059644519
nar-maven-plugin,0.91988,1,0.097583257,12041,1175,466,23665,3.870110456,271.312,-2.327049345,9.396072772,7.069023427,6.144185634,10.07175244,1.353283048,5.60326945,-10.24765957,-8.30E-05,-0.000851064,-0.002145923,-4.23E-05,-0.258390558,-0.003685793
clj-ds,0.938471939,1,0.141210375,8328,1176,34,15521,0.408261287,26.731,-1.957504482,9.02737861,7.069874128,3.526360525,9.649949225,-0.8958479,3.285823941,-7.081632653,-0.000120077,-0.00085034,-0.029411765,-6.44E-05,-2.449411765,-0.037409749
computoser,0.898930403,1,0.053639847,10179,546,13,11626,0.127713921,9.088,-2.925463078,9.228082053,6.302618976,2.564949357,9.360999248,-2.05796251,2.206954862,-18.64285714,-9.82E-05,-0.001831502,-0.076923077,-8.60E-05,-7.83,-0.110035211
glacieruploader,0.62505,1,0.192307692,312,60,23,987,7.371794872,8.2,-1.648658626,5.743003188,4.094344562,3.135494216,6.894670039,1.997661214,2.104134154,-5.2,-0.003205128,-0.016666667,-0.043478261,-0.001013171,-0.135652174,-0.12195122
gson-fire,0.568607143,1,0.692579505,283,196,37,895,13.07420495,11.893,-0.367332238,5.645446898,5.278114659,3.610917913,6.796823718,2.570641201,2.475949992,-1.443877551,-0.003533569,-0.005102041,-0.027027027,-0.001117318,-0.076486486,-0.084083074
java-uuid-generator,0.89290596,1,0.420144686,1797,755,46,1764,2.559821925,29.123,-0.867156138,7.493873887,6.626717749,3.828641396,7.475339237,0.939937696,3.37152824,-2.38013245,-0.000556483,-0.001324503,-0.02173913,-0.000566893,-0.390652174,-0.034337122
efflux,0.918961268,1,0.36755824,2318,852,42,3529,1.811906816,31.342,-1.000873497,7.748460024,6.747586527,3.737669618,8.168769824,0.59437978,3.444959051,-2.720657277,-0.000431406,-0.001173709,-0.023809524,-0.000283366,-0.551904762,-0.031906069
jitescript,0.67474359,1,0.089244851,437,39,7,1397,1.601830664,2.403,-2.416371549,6.079933195,3.663561646,1.945910149,7.242082359,0.47114714,0.876717957,-11.20512821,-0.00228833,-0.025641026,-0.142857143,-0.00071582,-0.624285714,-0.416146484
