name,y,x1,ms,mutTotal,mutKilled,testMethodNum,SLOC,testPer100Mut,averageTestSuiteSize,lnms,lnmutTotal,lnmutKilled,lntestMethodNum,lnSLOC,lntestPer100Mut,lnaverageTestSuiteSize,neginvms,neginvmutTotal,neginvmutKilled,neginvtestMethodNum,neginvSLOC,neginvtestPer100Mut,neginvaverageTestSuiteSize
invokebinder,0.849154699,1,0.447789878,1561,699,107,1623,6.854580397,55.0395,-0.803431178,7.353081921,6.549650742,4.672828834,7.392031568,1.9249171,4.008051109,-2.233190272,-0.000640615,-0.001430615,-0.009345794,-0.000616143,-0.14588785,-0.01816877
gdx-artemis,0.902475444,1,0.570581257,1686,962,35,1951,2.075919336,53.4035,-0.561099688,7.430114139,6.869014451,3.555348061,7.576097341,0.730404109,3.977876287,-1.752598753,-0.00059312,-0.001039501,-0.028571429,-0.000512558,-0.481714286,-0.018725364
nar-maven-plugin,0.952247948,1,0.092810083,27928,2592,465,23665,1.664995703,35.366,-2.377199991,10.23738505,7.860185057,6.142037406,10.07175244,0.509822543,3.565750907,-10.77469136,-3.58E-05,-0.000385802,-0.002150538,-4.23E-05,-0.600602151,-0.028275745
clj-ds,0.956300071,1,0.069743859,26626,1857,19,15521,0.071358822,17.953,-2.6629259,10.18964346,7.526717561,2.944438979,9.649949225,-2.640034296,2.887757232,-14.33817986,-3.76E-05,-0.000538503,-0.052631579,-6.44E-05,-14.01368421,-0.055700997
computoser,0.936869961,1,0.049948683,14615,730,12,11626,0.082107424,17.971,-2.996759143,9.589803678,6.593044534,2.48490665,9.360999248,-2.499726842,2.888759348,-20.02054795,-6.84E-05,-0.001369863,-0.083333333,-8.60E-05,-12.17916667,-0.055645206
glacieruploader,0.720952314,1,0.305825243,824,252,22,987,2.669902913,231.588,-1.184741442,6.71417053,5.529429088,3.091042453,6.894670039,0.982042109,5.444959931,-3.26984127,-0.001213592,-0.003968254,-0.045454545,-0.001013171,-0.374545455,-0.004318013
gson-fire,0.828252789,1,0.688741722,755,520,36,895,4.768211921,234.1645,-0.372888938,6.626717749,6.253828812,3.583518938,6.796823718,1.561971375,5.45602386,-1.451923077,-0.001324503,-0.001923077,-0.027777778,-0.001117318,-0.209722222,-0.004270502
java-uuid-generator,0.892293436,1,0.394310937,2039,804,45,1764,2.206964198,123.1275,-0.930615501,7.620214771,6.689599269,3.80666249,7.475339237,0.791617905,4.813220404,-2.536069652,-0.000490436,-0.001243781,-0.022222222,-0.000566893,-0.453111111,-0.008121663
efflux,0.917922985,1,0.419014085,2840,1190,41,3529,1.443661972,9.949,-0.869850745,7.951559331,7.081708586,3.713572067,8.168769824,0.367182922,2.297472044,-2.386554622,-0.000352113,-0.000840336,-0.024390244,-0.000283366,-0.692682927,-0.100512614
jitescript,0.577230159,1,0.219973009,1482,326,14,1397,0.944669366,9.9325,-1.514250424,7.301147806,5.786897381,2.63905733,7.242082359,-0.05692029,2.295812209,-4.54601227,-0.000674764,-0.003067485,-0.071428571,-0.00071582,-1.058571429,-0.100679587
patricia-trie,0.916947496,1,0.441108545,3031,1337,17,2782,0.560871,6.541,-0.8184643,8.016647877,7.198183577,2.833213344,7.930925372,-0.578264347,1.878090059,-2.267015707,-0.000329924,-0.000747943,-0.058823529,-0.000359454,-1.782941176,-0.152881822
greplin-bloom-filter,0.736580113,1,0.578313253,830,480,16,674,1.927710843,6.5355,-0.547639597,6.721425701,6.173786104,2.772588722,6.513230111,0.656333207,1.877248855,-1.729166667,-0.001204819,-0.002083333,-0.0625,-0.00148368,-0.51875,-0.153010481
aho-corasick,0.801901958,1,0.85862069,580,498,31,499,5.344827586,8.9385,-0.152428027,6.363028104,6.210600077,3.433987204,6.212606096,1.676129287,2.19036779,-1.164658635,-0.001724138,-0.002008032,-0.032258065,-0.002004008,-0.187096774,-0.111875594
pusher-websocket-java,0.877112424,1,0.578911565,1470,851,204,1634,13.87755102,11.4265,-0.546605551,7.29301768,6.746412129,5.318119994,7.398786275,2.6302725,2.435935219,-1.727379553,-0.000680272,-0.001175088,-0.004901961,-0.000611995,-0.072058824,-0.087515862
scribe-java,0.82916407,1,0.351901446,1867,657,99,2778,5.302624531,11.65,-1.044404125,7.532088144,6.487684018,4.59511985,7.929486523,1.668201893,2.45530618,-2.841704718,-0.000535619,-0.00152207,-0.01010101,-0.000359971,-0.188585859,-0.08583691
xsoup,0.8868945,1,0.529895025,2191,1161,27,2031,1.232314012,18.52,-0.635076358,7.69211334,7.057036982,3.295836866,7.616283562,0.208893712,2.918851229,-1.887166236,-0.000456413,-0.000861326,-0.037037037,-0.000492368,-0.811481481,-0.05399568
jInstagram,0.57537004,1,0.076989996,2299,177,74,3476,3.218790779,18.1595,-2.564079792,7.740229525,5.176149733,4.304065093,8.153637486,1.169005754,2.89919384,-12.98870057,-0.000434972,-0.005649718,-0.013513514,-0.000287687,-0.310675676,-0.055067595
metrics-statsd,0.782948263,1,0.757352941,408,309,11,310,2.696078431,20.5685,-0.277925898,6.011267174,5.733341277,2.397895273,5.736572297,0.991798284,3.023760779,-1.32038835,-0.00245098,-0.003236246,-0.090909091,-0.003225806,-0.370909091,-0.048618032
dropwizard-guice,0.585223625,1,1,154,154,15,381,9.74025974,23.6445,0,5.036952602,5.036952602,2.708050201,5.942799375,2.276267785,3.16313053,-1,-0.006493506,-0.006493506,-0.066666667,-0.002624672,-0.102666667,-0.042293134
gelfj,0.754015376,1,0.348560079,1007,351,28,1120,2.780536246,22.571,-1.053944669,6.914730893,5.860786223,3.33220451,7.021083964,1.022643803,3.116665896,-2.868945869,-0.000993049,-0.002849003,-0.035714286,-0.000892857,-0.359642857,-0.044304639
wsc,0.98320952,1,0.094082873,17931,1687,16,13016,0.089230941,21.0815,-2.363579255,9.794286337,7.430707083,2.772588722,9.473934649,-2.416527429,3.048395879,-10.62892709,-5.58E-05,-0.000592768,-0.0625,-7.68E-05,-11.206875,-0.047434955
sonar-objective-c,0.763089956,1,0.256794752,1067,274,31,1441,2.905342081,20.942,-1.359478145,6.972606251,5.613128106,3.433987204,7.273092596,1.066551139,3.041756712,-3.894160584,-0.000937207,-0.003649635,-0.032258065,-0.000693963,-0.344193548,-0.047750931
Confucius,0.772768128,1,0.927419355,620,575,84,503,13.5483871,13.997,-0.075349437,6.429719478,6.354370041,4.430816799,6.22059017,2.606267507,2.638843021,-1.07826087,-0.001612903,-0.00173913,-0.011904762,-0.001988072,-0.073809524,-0.071443881
JActor,0.542453757,1,0.095860566,1377,132,60,2413,4.357298475,7.6175,-2.344860576,7.227662499,4.882801923,4.094344562,7.788626066,1.471852249,2.030448232,-10.43181818,-0.000726216,-0.007575758,-0.016666667,-0.000414422,-0.2295,-0.131276666
protoparser,0.954543716,1,0.720659341,4550,3279,166,2115,3.648351648,7.623,-0.327588735,8.422882512,8.095293777,5.111987788,7.656810091,1.294275462,2.031169993,-1.387618176,-0.00021978,-0.000304971,-0.006024096,-0.000472813,-0.274096386,-0.131181949
multi-thread-context,1,1,0.034883721,258,9,31,580,12.01550388,8.7895,-3.355735008,5.552959585,2.197224577,3.433987204,6.363028104,2.486197806,2.173557827,-28.66666667,-0.003875969,-0.111111111,-0.032258065,-0.001724138,-0.083225806,-0.113772114
