subject,rSquare,proportion,mutationScore, mutTotal, mutKilled, testMethodNum,SLOC,testPer100Mut
patricia-trie,0.860969323,1%,0.441109,3031,1337,17,2782,0.5609
patricia-trie,0.932329628,2%,0.441109,3031,1337,17,2782,0.5609
patricia-trie,0.954466095,3%,0.441109,3031,1337,17,2782,0.5609
patricia-trie,0.960555015,4%,0.441109,3031,1337,17,2782,0.5609
patricia-trie,0.965487442,5%,0.441109,3031,1337,17,2782,0.5609
cucumber-reporting,0.85446825,1%,0.653787,2614,1709,124,2245,4.7437
cucumber-reporting,0.936042475,2%,0.653787,2614,1709,124,2245,4.7437
cucumber-reporting,0.941596755,3%,0.653787,2614,1709,124,2245,4.7437
cucumber-reporting,0.957009166,4%,0.653787,2614,1709,124,2245,4.7437
cucumber-reporting,0.963930045,5%,0.653787,2614,1709,124,2245,4.7437
efflux,0.833952243,1%,0.419014,2840,1190,41,3529,1.4437
efflux,0.920182696,2%,0.419014,2840,1190,41,3529,1.4437
efflux,0.95287196,3%,0.419014,2840,1190,41,3529,1.4437
efflux,0.959982257,4%,0.419014,2840,1190,41,3529,1.4437
efflux,0.972163504,5%,0.419014,2840,1190,41,3529,1.4437
jackson-module-afterburner,0.859525884,1%,0.545914,3365,1837,118,3343,3.5067
jackson-module-afterburner,0.92742067,2%,0.545914,3365,1837,118,3343,3.5067
jackson-module-afterburner,0.950787438,3%,0.545914,3365,1837,118,3343,3.5067
jackson-module-afterburner,0.962201641,4%,0.545914,3365,1837,118,3343,3.5067
jackson-module-afterburner,0.970087741,5%,0.545914,3365,1837,118,3343,3.5067
greplin-lucene-utils,0.753241784,1%,0.151653,2631,399,14,3476,0.5321
greplin-lucene-utils,0.883375362,2%,0.151653,2631,399,14,3476,0.5321
greplin-lucene-utils,0.91570077,3%,0.151653,2631,399,14,3476,0.5321
greplin-lucene-utils,0.921887247,4%,0.151653,2631,399,14,3476,0.5321
greplin-lucene-utils,0.945233145,5%,0.151653,2631,399,14,3476,0.5321
greplin-bloom-filter,0.562534521,1%,0.578313,830,480,16,674,1.9277
greplin-bloom-filter,0.765323938,2%,0.578313,830,480,16,674,1.9277
greplin-bloom-filter,0.848306807,3%,0.578313,830,480,16,674,1.9277
greplin-bloom-filter,0.824731536,4%,0.578313,830,480,16,674,1.9277
greplin-bloom-filter,0.911289362,5%,0.578313,830,480,16,674,1.9277
aho-corasick,0.670810498,1%,0.858621,580,498,31,499,5.3448
aho-corasick,0.818206072,2%,0.858621,580,498,31,499,5.3448
aho-corasick,0.881534218,3%,0.858621,580,498,31,499,5.3448
aho-corasick,0.878517045,4%,0.858621,580,498,31,499,5.3448
aho-corasick,0.932973786,5%,0.858621,580,498,31,499,5.3448
cors-filter,0.626519654,1%,0.829412,510,423,72,588,14.1176
cors-filter,0.686571971,2%,0.829412,510,423,72,588,14.1176
cors-filter,0.830970433,3%,0.829412,510,423,72,588,14.1176
cors-filter,0.869165033,4%,0.829412,510,423,72,588,14.1176
cors-filter,0.888525654,5%,0.829412,510,423,72,588,14.1176
flip-tables,0.598840775,1%,0.875,336,294,21,170,6.25
flip-tables,0.633317302,2%,0.875,336,294,21,170,6.25
flip-tables,0.764080935,3%,0.875,336,294,21,170,6.25
flip-tables,0.783596564,4%,0.875,336,294,21,170,6.25
flip-tables,0.827208109,5%,0.875,336,294,21,170,6.25
redline,0.908283889,1%,0.340198,4759,1619,41,3809,0.8615
redline,0.955828944,2%,0.340198,4759,1619,41,3809,0.8615
redline,0.964070323,3%,0.340198,4759,1619,41,3809,0.8615
redline,0.975983515,4%,0.340198,4759,1619,41,3809,0.8615
redline,0.982398942,5%,0.340198,4759,1619,41,3809,0.8615
exp4j,0.717888925,1%,0.870761,1563,1361,284,1086,18.1702
exp4j,0.801862247,2%,0.870761,1563,1361,284,1086,18.1702
exp4j,0.879268508,3%,0.870761,1563,1361,284,1086,18.1702
exp4j,0.905726107,4%,0.870761,1563,1361,284,1086,18.1702
exp4j,0.923436919,5%,0.870761,1563,1361,284,1086,18.1702
Confucius,0.653085544,1%,0.927419,620,575,84,503,13.5484
